ref	verse
EPH 4:18	គំនិតពួកគេងងឹតសូន្យសុង នៅឆ្ងាយពីព្រះជាម្ចាស់ ព្រោះតែពួកគេមិនស្គាល់ព្រះជាម្ចាស់គង់នៅក្នុងពួកគេ និងព្រោះពួកគេមានចិត្តរឹងរូស។
EPH 4:19	ពួកគេមិនចេះខ្មាស និងបណ្តោយខ្លួនប្រព្រឹត្តអំពើអបាយមុខ ហើយនៅតែបន្តប្រព្រឹត្តអំពើប្រាកចាកសីលធម៌គ្រប់យ៉ាង។
EPH 4:2	ខ្ញុំដាស់តឿនបងប្អូនឲ្យចេះរស់នៅ ដោយការបន្ទាបខ្លួន ស្លូតបូត និងអត់ធ្មត់ ព្រមទាំងចេះទ្រាំទ្រគ្នាទៅវិញទៅមក ដោយក្តីស្រឡាញ់។
EPH 4:20	ប៉ុន្តែ នេះមិនមែនជារបៀបបងប្អូនរៀនអំពីព្រះគ្រិស្តឡើយ។
EPH 4:21	បងប្អូនបានឮគេនិយាយអំពីគាត់ ហើយបងប្អូនក៏បានរៀនអំពីគាត់ដែរ ដូចជាសេចក្តីពិតក្នុងព្រះយេស៊ូ។
EPH 4:22	បងប្អូនត្រូវលះបង់កិរិយាមាយាទចាស់​ គឺត្រូវដោះជីវិតចាស់ចោល។ ជីវិតចាស់តែងតែពុករលួយ តាម​ការ​លោភលន់​បញ្ឆោត​ចិត្ត​នេះ​ចោល​ទៅ។
EPH 4:23	បងប្អូនទទួលការបង្រៀន ដើម្បីកែប្រែចិត្តគំនិតខាងវិញ្ញាណ ជាថ្មីឡើងវិញ
EPH 4:24	និងត្រូវបំពាក់មនុស្សថ្មីដោយសេចក្តីសុចរិត ដែលព្រះអង្គបានបង្កើតបងប្អូនឲ្យមានលក្ខណៈដូចព្រះជាម្ចាស់​​ គឺមានសេចក្តីសុចរិត​ និងវិសុទ្ធភាពពិតប្រាកដ។
EPH 4:25	ហេតុដូច្នេះហើយ ចូរបងប្អូនម្នាក់ៗឈប់និយាយកុហក និង​និយាយសេចក្តីពិតទៅកាន់អ្នកជិតខាងរបស់ខ្លួន ព្រោះយើងជាសមាជិកនៃសរីរាង្គរបស់គ្នាទៅវិញទៅមក។
EPH 4:26	ចូរខឹងចុះ តែកុំប្រព្រឹត្តអំពើបាបសោះឡើយ។ កុំឲ្យខឹងរហូតទាល់តែថ្ងៃលិចនោះឡើយ។
EPH 4:27	កុំឲ្យអារក្សមានឱកាសសោះ។
EPH 4:28	បងប្អូនដែលធ្លាប់លួចយករបស់គេពីមុនមក ចូរឈប់លួចទៀត។ អ្នកនោះត្រូវចេះបំពេញការងារចិញ្ចឹមជីវិត ដោយដៃរបស់ខ្លួន ដូច្នេះហើយអ្នកនឹងមានរបស់ ចែកដល់អ្នកមានតម្រូវការចាំបាច់។
EPH 4:29	កុំឲ្យមានពាក្យសម្តីអាក្រក់ណា ចេញពីមាត់អ្នករាល់គ្នាឡើយ។ ចូរប្រើពាក្យសម្តីណា ដែលមានប្រយោជន៍ជួយកសាង អ្នកដែលស្តាប់តាមបងប្អូន។
EPH 4:3	ចូរយកចិត្តទុកដាក់រក្សាឯកភាពមកពីព្រះវិញ្ញាណ ដោយរក្សាចំណងនៃសេចក្តីសុខសាន្ត។
EPH 4:30	ហើយសូមកុំធ្វើឲ្យព្រះវិញ្ញាណដ៏វិសុទ្ធរបស់ព្រះជាម្ចាស់ ព្រួយព្រះហប្ញទ័យ ព្រោះដោយសារព្រះអង្គហើយ ដែលបងប្អូនទទួលសញ្ញាសម្គាល់ ទុកសម្រាប់ថ្ងៃព្រះអង្គយាងមកលោះបងប្អូន។
EPH 4:31	ចូរកំចាត់ចោលភាពល្វីងជូរចត់ ក្តៅក្រហាយ កំហឹង ស្រែកឡូឡា និងការប្រមាថ ព្រមទាំងសេចក្តីអាក្រក់គ្រប់យ៉ាងចេញពីបងប្អូន។
EPH 4:32	ចូរប្រព្រឹត្តដោយចិត្តសប្បុរស មានចិត្តអាណិតអាសូរ និងអត់ទោសគ្នាទៅវិញទៅមក ដូចព្រះជាម្ចាស់តាមរយៈព្រះគ្រិស្តបានអត់ទោសបាបបងប្អូនរាល់គ្នាដែរ។
EPH 4:4	មានព្រះកាយតែមួយ និងមានព្រះវិញ្ញាណតែមួយ ដូចជាព្រះជាម្ចាស់បានត្រាស់ហៅបងប្អូន ឲ្យមានសេចក្តីសង្ឃឹមតែមួយដូច្នោះដែរ។
EPH 4:5	មានព្រះអម្ចាស់តែមួយ មានជំនឿតែមួយ មានពិធីជ្រមុជទឹកតែមួយ
EPH 4:6	និង​មានព្រះជាម្ចាស់តែមួយ ជាព្រះបិតាលើអ្វីៗទាំងអស់ តាមរយៈមនុស្សទាំងអស់ និងក្នុងមនុស្សទាំងអស់។
EPH 4:7	ព្រះជាម្ចាស់បានប្រទានព្រះគុណមកយើងម្នាក់ៗ ស្របតាមកម្រិតនៃអំណោយទានរបស់ព្រះគ្រិស្ត។
EPH 4:8	បទគម្ពីរបានចែងទុកមកថា៖ «ពេលព្រះអង្គ​បាន​យាង​ឡើង​ទៅ​ស្ថាន​ខ្ពស់ ព្រះអង្គ​បាន​នាំ​ពួក​ជាប់​ជា​ឈ្លើយ​ទៅឃុំឃាំង ហើយ​ព្រះអង្គ​ប្រទាន​ព្រះអំណោយ​ទានផ្សេងៗ​ដល់​មនុស្ស​លោក»។
EPH 4:9	តើពាក្យថា «យាងឡើងទៅ» មានន័យដូចម្តេច? លើកលែងតែព្រះអង្គយាងចុះមកផែនដីដ៏ទាបនេះជាមុនសិន។
EPH 5:1	ដូច្នេះ សូមយកតម្រាប់តាមព្រះជាម្ចាស់ ក្នុងនាមបុត្រដ៏ជាទីស្រឡាញ់របស់ព្រះអង្គ។
EPH 5:10	និងស្វែងរកអ្វីគាប់ព្រះហប្ញទ័យរបស់ព្រះអម្ចាស់។
EPH 5:11	ចូរកុំសេពគប់នឹងកិច្ចការខាងសេចក្តីងងឹត គ្មានផលផ្លែនោះឡើយ ផ្ទុយទៅវិញត្រូវបង្ហាញឲ្យគេឃើញអំពើនោះផង។
EPH 5:12	ដ្បិត វាជារឿងអាម៉ាសទៅហើយ សូម្បីតែលើកយកមកនិយាយពីអំពើ ពួកគេប្រព្រឹត្តដោយលួចលាក់។
EPH 5:13	ប៉ុន្តែ កាលណាអំពើទាំងនេះបើកបង្ហាញហើយ គេនឹងឃើញវាច្បាស់នៅក្នុងពន្លឺ។ ដ្បិតអ្វីៗដែលមើលឃើញ គឺជាពន្លឺ។
EPH 5:14	ដូច្នេះ ដ្បិតមានសេចក្តីចែងទុកមកថា៖ «ចូរ​ភ្ញាក់​ឡើង អ្នកដេកលក់អើយ ចូរ​ក្រោក​ឡើង​ចេញ​ពី​ចំណោម​មនុស្ស​ស្លាប់ ព្រះគ្រិស្ដ​នឹងជះពន្លឺ​មក​លើ​អ្នករាល់គ្នា»។
EPH 5:15	ចូររស់នៅដោយប្រុងប្រយ័ត្ន កុំឲ្យដូចមនុស្សឥតប្រាជ្ញាឡើយ តែត្រូវរស់ដូចមនុស្សមានប្រាជ្ញាវិញ។
EPH 5:16	ត្រូវចេះប្រើប្រាស់ពេលវេលា ដ្បិត សម័យនេះអាក្រក់ណាស់។
EPH 5:17	ដូច្នេះ កុំប្រព្រឹត្តដូចមនុស្សល្ងីល្ងើ តែត្រូវស្វែងយល់អំពីអ្វី ដែលជាបំណងព្រះហប្ញទ័យរបស់ព្រះអម្ចាស់វិញ។
EPH 5:18	កុំឲ្យស្រវឹងស្រា ដែលនាំខ្លួនឲ្យព្រើលចិត្តឡើយ។ ផ្ទុយទៅវិញ ចូរឲ្យបានពេញដោយព្រះវិញ្ញាណដ៏វិសុទ្ធ
EPH 5:19	ចូរនិយាយគ្នាទៅវិញទៅមក ដោយទំនុកតម្កើង ទំនុកសរសើរព្រះជាម្ចាស់ និងចម្រៀងមកពីព្រះវិញ្ញាណ ចូរច្រៀង និងលើកតម្កើងព្រះអម្ចាស់ឲ្យអស់ពីចិត្ត
EPH 5:2	ចូរដើរក្នុងក្តីស្រឡាញ់ ដូចព្រះគ្រិស្តស្រឡាញ់យើង និងប្រទានព្រះជន្មព្រះអង្គផ្ទាល់ទុកជាតង្វាយ និងយញ្ញបូជាថ្វាយព្រះជាម្ចាស់។
EPH 5:20	ត្រូវចេះអរព្រះគុណព្រះជាម្ចាស់គ្រប់រឿងរ៉ាងទំាងអស់ ក្នុងព្រះនាមព្រះយេស៊ូគ្រិស្តថ្វាយព្រះជាម្ចាស់ជាព្រះបិតានៃយើង
EPH 5:21	ចុះចូលគ្នាទៅវិញទៅមក ដោយគោរពដល់ព្រះគ្រិស្ត។
EPH 5:22	ភរិយារាល់គ្នាអើយ ចូរចុះចូលនឹងស្វាមីរបស់ខ្លួន ដូចព្រះអម្ចាស់ដែរ។
EPH 5:23	ដ្បិត ស្វាមីនាំមុខភរិយាយ៉ាងណា ដូចជាព្រះគ្រិស្តនាំមុខក្រុមជំនុំយ៉ាងនោះដែរ ហើយព្រះគ្រិស្តជាព្រះសង្រ្គោះរបស់ក្រុមជំនុំ។
EPH 5:24	ប៉ុន្តែ កាលណាក្រុមជំនុំចុះចូលនឹងព្រះគ្រិស្តយ៉ាងណា ដូច្នេះ ភរិយាក៏ត្រូវចុះនឹងស្វាមីរបស់ខ្លួន ក្នុងគ្រប់កិច្ចការទាំងអស់យ៉ាងនោះដែរ។
EPH 5:25	ស្វាមីរាល់គ្នាអើយ ចូរស្រឡាញ់ភរិយារបស់ខ្លួន ដូចព្រះគ្រិស្តស្រឡាញ់ក្រុមជំនុំ និងបូជាព្រះជន្មសម្រាប់ក្រុមជំនុំយ៉ាងនោះដែរ។
EPH 5:26	ព្រះគ្រិស្តបានបូជាព្រះជន្មសម្រាប់ក្រុមជំនុំ ដើម្បីឲ្យក្រុមជំនុំបានទៅជាវិសុទ្ធ និងសម្អាតដោយការលាងនឹងទឹក
EPH 5:27	និងដោយសារព្រះបន្ទូលព្រះអង្គ ដូច្នេះ ព្រះអង្គ​សព្វ​ព្រះហឫទ័យ​នាំ​ក្រុមជំនុំ​នេះ​មក​ថ្វាយ​ព្រះអង្គ​ផ្ទាល់ ជា​ក្រុមជំនុំ​ដ៏​រុងរឿង ឥត​ស្លាកស្នាម ឥត​ជ្រីវជ្រួញ និង​ឥត​ខ្ចោះ​ត្រង់​ណា​ឡើយ គឺ​ឲ្យ​បាន​ទៅ​ជា​វិសុទ្ធ ឥត​សៅហ្មង។
EPH 5:28	ដូចគ្នានេះដែរ ស្វាមីគួរគប្បីស្រឡាញ់ភរិយា ដូចជាស្រឡាញ់រូបកាយរបស់ខ្លួន។ ស្វាមីណាស្រឡាញ់ភរិយា ស្វាមីនោះស្រឡាញ់រូបកាយខ្លួនឯង។
EPH 5:29	ដ្បិត គ្មាននរណាស្អប់រូបកាយរបស់ខ្លួនសោះឡើយ ផ្ទុយទៅវិញ អ្នកនោះតែង​ចិញ្ចឹម​បី​បាច់​ថែរក្សា​រូប​កាយ​នោះ ដូច​ព្រះគ្រិស្ដ​ចិញ្ចឹម​បី​បាច់​ថែរក្សា​ក្រុមជំនុំផងដែរ
EPH 5:3	បងប្អូនអើយ កុំឲ្យមានឮគេនិយាយអំពីអំពើប្រាសចាកសីលធ៌ម ឬអំពើអបាយមុខ ឬសេចក្តីលោភលន់ណាកើតមានក្នុងចំណោមបងប្អូនរាល់គ្នាឡើយ ដ្បិត ពាក្យមិនសមរម្យទាំងនេះ គ្មានអ្វីគាប់ប្រសើរចំពោះប្រជាជនដ៏វិសុទ្ធរបស់ព្រះជាម្ចាស់ទេ។
EPH 5:30	ព្រោះយើងទាំងអស់គ្នាជាសរីរាង្គនៃរូបកាយនោះ។
EPH 5:31	ដោយហេតុនេះហើយ​បាន​ជា​បុរស​ត្រូវ​ចាក​ចេញ​ពី​ឪពុក​ម្ដាយ ទៅ​រួម​រស់​ជា​មួយ​ភរិយា​របស់​ខ្លួន ហើយ​អ្នក​ទាំង​ពីរ​នឹង​ត្រឡប់​ទៅ​ជា​រូប​កាយ​តែ​មួយ​។
EPH 5:32	គម្រោងការ​ដ៏​លាក់​កំបាំង​នេះ​មាន​អត្ថន័យ​ជ្រៅ​ណាស់ ខ្ញុំ​និយាយ​សំដៅ​លើ​ព្រះគ្រិស្ដ និង​ក្រុមជំនុំ​តែ​ប៉ុណ្ណោះ។
EPH 5:33	ទោះ​ជា​យ៉ាង​ណា​ក៏​ដោយ បង​ប្អូន​ម្នាក់ៗ​ត្រូវ​ស្រឡាញ់​ភរិយា​រៀងៗ​ខ្លួន ដូច​ស្រឡាញ់​ខ្លួន​ឯង ហើយ​ភរិយា​ក៏​ត្រូវ​គោរព​ស្វាមី​របស់​ខ្លួន​ដែរ។
EPH 5:4	កុំឲ្យមានពាក្យទ្រគោះបោះបោក ពាក្យឡេះឡោះ និងពាក្យលេងសើចអាសអាភាស ព្រោះពាក្យទាំងអស់នេះមិនសមរម្យទាល់តែសោះ។ ផ្ទុយទៅវិញត្រូវចេះអរព្រះគុណព្រះជាម្ចាស់។
EPH 5:5	បងប្អូនត្រូវដឹងប្រាកដថា ពួកអ្នកប្រាសចាកសីលធ៌ម ពួកអ្នក​ប្រព្រឹត្ត​អំពើ​អបាយមុខ ឬពួក​អ្នក​លោភលន់​ គឺជាមនុស្សថ្វាយបង្គំព្រះក្លែងក្លាយ ពុំបានទទួលមរតកក្នុងព្រះរាជ្យរបស់ព្រះគ្រិស្ត និងព្រះជាម្ចាស់ឡើយ។
EPH 5:6	កុំឲ្យមាននរណាម្នាក់មកបោកបញ្ឆោត ដោយពាក្យសម្តីឥតខ្លឹមសារ ដ្បិតអំពើទាំងអស់នេះជាព្រះពិរោធរបស់ព្រះជាម្ចាស់ និងនាំឲ្យមានកូនមិនស្តាប់បង្គាប់កើតមក។
EPH 5:7	ដូច្នេះ កុំសេពគប់ជាមួយពួកគេជាដាច់ខាត។
EPH 5:8	កាលពីដើម បងប្អូនងងឹតមែន តែឥឡូវនេះ បងប្អូនជាពន្លឺក្នុងព្រះអម្ចាស់ហើយ។ ចូរដើរដូចកូនក្នុងពន្លឺ
EPH 5:9	(ដ្បិតផលផ្លែនៃពន្លឺរួមមានសេចក្តីសប្បុរស សេចក្តីសុចរិត និងសេចក្តីពិតគ្រប់យ៉ាង)
EPH 6:1	កូនរាល់គ្នាអើយ ចូរស្តាប់បង្គាប់មាតាបិតារបស់ខ្លួន ដោយយល់ដល់ព្រះអម្ចាស់ ធ្វើដូច្នេះទើបត្រឹមត្រូវ។
EPH 6:10	ចុងក្រោយបង្អស់ ចូររឹងមាំឡើងក្នុងព្រះអម្ចាស់ ដោយសារព្រះចេស្តាដ៏ខ្លាំងពូកែរបស់ព្រះអង្គ។
EPH 6:11	ចូរបងប្អូនពាក់គ្រប់គ្រឿងសស្រ្តាវុធរបស់ព្រះជាម្ចាស់ ដើម្បីឲ្យបងប្អូនអាចឈរមាំមួនតទស់នឹងផែនការរបស់មារកំណាច។
EPH 6:12	ដ្បិត យើង​ពុំមែន​តយុទ្ធ​ទល់​នឹង​មនុស្ស​ទេ ផ្ទុយទៅវិញ យើង​តយុទ្ធ​ទល់​នឹង​​មេ​ត្រួតត្រា​ក្នុង​លោកីយ៍​ដ៏​ងងឹត​នេះ ហើយ​តយុទ្ធ​ទល់​នឹង​វិញ្ញាណ​អាក្រក់​ទាំងឡាយ​ដែល​នៅ​ស្ថាន​លើ​ដែរ។
EPH 6:13	ហេតុ​នេះ ចូរ​បង​ប្អូន​​ពាក់គ្រឿងសស្រ្ដាវុធ​ទាំង​ប៉ុន្មាន​របស់​ព្រះជាម្ចាស់​ ដើម្បី​ឲ្យ​បង​ប្អូន​អាច​តទល់​នៅ​ថ្ងៃ​អពមង្គល ហើយ​មាន​ជំហរ​រឹងប៉ឹង​ដដែល ដោយ​បាន​ប្រើ​គ្រប់​មធ្យោបាយទាំងអស់។
EPH 6:14	ដូច្នេះ ចូរ​មាន​ជំហរ​រឹងប៉ឹង​ឡើង ដោយបងប្អូនបានពាក់សេចក្ដី​ពិត​​ក្រវាត់​ចង្កេះ និងយក​សេចក្ដី​សុចរិត​ធ្វើ​ជា​អាវក្រោះ។
EPH 6:15	បន្ទាប់មក យក​ចិត្ត​ប្រុង​ប្រៀប​ផ្សាយ​ដំណឹងល្អអំពី​សេចក្ដី​សុខសាន្ត​ មក​ពាក់​ជា​ស្បែក​ជើង។
EPH 6:16	នៅគ្រប់កាលៈទេសៈទាំងអស់ ចូរ​យក​ជំនឿ​ធ្វើ​ជា​ខែល ​ដើម្បី​ឲ្យ​បង​ប្អូន​អាច​ពន្លត់​ព្រួញ​ភ្លើង​ទាំង​ប៉ុន្មាន​របស់​មារកំណាចបាន។
EPH 6:17	ចូរ​ទទួល​ការ​សង្គ្រោះ​​ធ្វើ​ជា​មួក​ដែក និង​យក​ព្រះបន្ទូល​របស់​ព្រះជាម្ចាស់​ធ្វើ​ជា​ដាវ​របស់​ព្រះវិញ្ញាណ។
EPH 6:18	ចូរ​អធិស្ឋានគ្រប់​ពេល​វេលា តាម​ការ​ណែនាំ​របស់​ព្រះវិញ្ញាណ ដោយ​ប្រើ​ទាំង​ពាក្យ​អធិស្ឋាន ទាំង​ពាក្យ​អង្វរ​គ្រប់​យ៉ាង ហើយ​ប្រុង​ស្មារតី​ទូលអង្វរ​ព្រះជាម្ចាស់ ដោយ​ចិត្ត​ព្យាយាម​បំផុត​សម្រាប់​ប្រជាជន​ដ៏វិសុទ្ទ​ទាំង​អស់របស់ព្រះជាម្ចាស់។
EPH 6:19	ចូរ​អធិស្ឋានសម្រាប់ខ្ញុំ​ផង សូម​ព្រះអង្គ​ប្រទាន​ឲ្យ​ខ្ញុំ​រក​បាន​ពាក្យ​ត្រឹម​ត្រូវ ពេល​ណា​ខ្ញុំ​ហា​មាត់​និយាយ។ សូម​ព្រះអង្គប្រទានឲ្យ​ខ្ញុំ​មាន​ចិត្ត​អង់អាច នាំ​គេ​ឲ្យ​ស្គាល់​គម្រោងការ​លាក់​កំបាំង​នៃ​ដំណឹងល្អ។
EPH 6:2	«ចូរលើកកិត្តិយសមាតាបិតារបស់ខ្លួន» (នេះជាបទបញ្ញាទីមួយ មានជាប់ទាំងព្រះបន្ទូលសន្យាមកជាមួយផង)
EPH 6:20	​គឺដំណឹងល្អនេះហើយ បានធ្វើឲ្យខ្ញុំ​ក្លាយ​ជា​ទូត​របស់ព្រះអង្គ ដែលជាប់ឃុំឃាំង ដូច្នេះ ខ្ញុំសូមប្រកាសទាំង​មាន​ចិត្ត​អង់អាច និយាយ​តាម​ពាក្យដែល​ខ្ញុំ​ត្រូវ​និយាយ។
EPH 6:21	លោក​ទីឃីកុស ជា​បង​ប្អូន​ដ៏​ជា​ទី​ស្រឡាញ់​ និង​ជា​អ្នក​បម្រើដ៏​ស្មោះ​ត្រង់​របស់​ព្រះអម្ចាស់ នឹង​ជម្រាបប្រាប់​បង​ប្អូន​អំពី​អ្វីៗគ្រប់យ៉ាងដល់បងប្អូន ដើម្បីឲ្យបងប្អូនបានដឹងអំពី​កិច្ចការ​ដែល​ខ្ញុំ​ធ្វើ​នោះ​ដែរ។
EPH 6:22	ខ្ញុំ​ចាត់​គាត់ឲ្យ​មក​រក​បង​ប្អូន ក្នុង​គោល​បំណង​ឲ្យ​បង​ប្អូន​បាន​ឮដំណឹង​ពី​យើង និង​ឲ្យ​គាត់​លើក​ទឹក​ចិត្ត​បង​ប្អូន​ដោយផ្ទាល់។
EPH 6:23	សូម​ព្រះជាម្ចាស់​ជា​ព្រះបិតា និង​ព្រះយេស៊ូ​គ្រិស្ដ​ជា​ព្រះអម្ចាស់ ប្រទាន​សេចក្ដី​សុខសាន្ត និង​សេចក្ដី​ស្រឡាញ់ ព្រម​ទាំង​ជំនឿ​មក​បង​ប្អូន។
EPH 6:24	សូម​ព្រះគុណ​របស់​ព្រះជាម្ចាស់​ស្ថិត​នៅ​ជា​មួយ ​អស់​អ្នក​ដែល​ស្រឡាញ់​ព្រះអម្ចាស់​យេស៊ូ​គ្រិស្ដ​នៃ​យើង ដោយចិត្តស្រឡាញ់​ឥត​​ប្រែប្រួលសោះ​ឡើយ។
EPH 6:3	«ដូច្នេះ អ្នករាល់គ្នានឹងបានសេចក្តីសុខ និងរស់នៅលើផែនដីបានអាយុវែង»។
EPH 6:4	រីឯបងប្អូនជាឪពុកវិញ កុំនាំឲ្យកូនខ្លួនមួម៉ៅឡើយ។ ផ្ទុយទៅវិញ ត្រូវចេះប្រៀនប្រដៅកូន និងផ្តល់ដំបូន្មានកូនស្របតាមព្រះអម្ចាស់។
EPH 6:5	រីឯបងប្អូនជាអ្នកបម្រើអើយ ចូរស្តាប់បង្គាប់ម្ចាស់របស់ខ្លួននៅលើផែនដីនេះ ដោយគោរព និងញាប់ញ័រ ដោយស្មោះអស់ពីចិត្ត។
EPH 6:6	ចូរស្តាប់បង្គាប់អ្នកទាំងនោះ ដូចស្តាប់បង្គាប់ព្រះគ្រិស្តដែរ។ កុំស្តាប់បង្គាប់គ្រាន់តែចង់ឲ្យម្ចាស់ឃើញ និងផ្គាប់ចិត្តពួកគេឡើយ។ ផ្ទុយទៅវិញ ចូរស្តាប់បង្គាប់ម្ចាស់ ដូចជាអ្នកបម្រើព្រះគ្រិស្ត ដែលធ្វើតាមព្រះហប្ញទ័យព្រះជាម្ចាស់។
EPH 6:7	ចូរបម្រើម្ចាស់ឲ្យអស់ពីចិត្ត ទុកដូចជាបងប្អូនរាល់គ្នាបម្រើព្រះអម្ចាស់ ពុំមែនបម្រើមនុស្សទេ
EPH 6:8	ព្រោះយើងដឹងថា ទង្វើល្អដែលមនុស្សម្នាក់ប្រព្រឹត្ត នឹងទទួលរង្វាន់ពីព្រះអម្ចាស់ មិនថាអ្នកនោះជាអ្នកងារ ឬអ្នកជាក្តី។
EPH 6:9	រីឯបងប្អូនជាម្ចាស់វិញ ចូរប្រព្រឹត្តចំពោះអ្នកបម្រើខ្លួនបែបនោះដែរ។ កុំគំរាមកំហែងពួកគេ។ បងប្អូនដឹងស្រាប់ហើយថា ម្ចាស់ពួកគេ និងម្ចាស់បងប្អូនគង់នៅស្ថានបរមសុខ ហើយព្រះអង្គពុំរើសមុខនរណាម្នាក់ឡើយ។
EST 10:1	ព្រះចៅអហាស៊ូរុស បានបង្ខំប្រជាជនដែលរស់នៅលើដីគោក ហើយនិងនៅលើកោះនានានៅតាមផ្ទៃសមុទ្រ ឲ្យបង់ពន្ធដារ។
EST 10:2	ហើយអស់ទាំងប្ញទ្ធិអំណាច និងកិច្ចការនៃព្រះចេស្តា ព្រមទាំងសេចក្តីដែលរៀបរាប់អំពីព្រះរាជាប្រទានតំណែងខ្ពង់ខ្ពស់ដល់លោកម៉ាដេកាយនោះ សុទ្ធតែបានកត់ត្រាទុកក្នុងសៀវភៅរបាក្សត្ររបស់ស្តេចស្រុកមេឌី និងពែរ្ស។
EST 10:3	ដ្បិតលោកម៉ាដេកាយ ដែលជាជនជាតិយូដា ដែលបានទទួលដំណែងធំជាងគេ បន្ទាប់ពីព្រះចៅអហាស៊ូរុស។ លោកជាវិរៈជនមួយរូបក្នុងចំណោមជនជាតិយូដា ដែលបងប្អូនរួមជាតិរបស់លោកគោរពស្រឡាញ់គ្រប់ៗគ្នា លោកតែងតែផ្តល់ផលប្រយោជន៍ និងសេចក្តីសុខសាន្តជូនប្រជាជនរបស់លោកជានិច្ច។
EST 1:1	នៅគ្រានោះ (ព្រះចៅអហាស៊ូរុសបានសោយរាជ្យលើខេត្តមួយរយម្ភៃប្រាំពីរ គឺចាប់ពីស្រុកឥណ្ឌារហូតដល់ស្រុកអេត្យូពី)
EST 1:10	នៅថ្ងៃទីប្រាំពីរ កាលស្តេចមានព្រះហប្ញទ័យសប្បាយ ដោយសារស្រា ស្តេចបង្គាប់លោកមហ៊ូម៉ាន លោកប៊ីសថាលោកហារបូណា លោកប៊ីគថា លោកអបាគថា លោកសេថារ​ និងលោកកើកាស (មហាតលិកទាំងប្រាំពីររូប ដែលនៅបម្រើស្តេច)
EST 1:11	ឲ្យទៅយាងព្រះនាងវ៉ាសធី​ ជាអគ្គមហេសីមកគាល់ស្តេច ទាំងពាក់មកុដរាជ្យ។ ដើម្បីបង្ហាញដល់ប្រជាជន និងមេដឹកនំាឲ្យឃើញរូបឆោមដ៏ស្រស់ស្អាតរបស់ព្រះនាង ដ្បិតព្រះនាងមានរូបឆោមស្រស់ស្អាតគួរឲ្យគយគន់។
EST 1:12	ប៉ុន្តែព្រះនាងវ៉ាសធី មិនព្រមយាងមកតាមព្រះរាជបញ្ជារបស់ស្តេច ដែលពួកមហាតលិកបានទូលថ្វាយឡើយ។ ពេលនោះ ស្តេចទ្រង់ពិរោធយ៉ាងខ្លាំង ហើយកំហឹងនោះក៏ឆេះឆួលក្នុងព្រះហប្ញទ័យជាខ្លាំង។
EST 1:13	ដូច្នេះ ស្តេចក៏សួរយោបល់ទៅកាន់ពួកអ្នកប្រាជ្ញ ដែលជាអ្នកមានភារកិច្ចជួយដោះស្រាយរឿងរបស់ស្តេច (ដ្បិតនេះជាទម្លាប់របស់ស្ដេចតែងតែពិគ្រោះនឹងអ្នកចេះស្ទាត់ខាងច្បាប់ដើម្បីវិនិច្ឆ័យ)។
EST 1:14	ហើយអ្នកដែលនៅជិតដិតនឹងស្តេចមានលោក កើសេនា លោកសេថារ លោកអ័ឌម៉ាថា លោកតើស៊ីស លោកម៉េរ៉េស លោកម៉ាសេណា លោកមមូនកាន ជាមេដឹកនាំទាំងប្រាំពីររូបរបស់ជនជាតិមេឌី និងជនជាតិពែរ្ស ដែលជាអ្នកជំនិតរបស់ស្តេច ហើយមានមុខតំណែងខ្ពស់នៅក្នុងរាជាណាចក្រ។
EST 1:15	«នៅក្នុងច្បាប់​វិញ តើត្រូវធ្វើដូចម្តេចចំពោះព្រះនាងវ៉ាសធី ជាអគ្គមហេសី ដោយព្រោះមិនធ្វើតាមបញ្ជារបស់ស្តេច ដែលពួកមហាតលិកបានទូលថ្វាយដូច្នេះ?
EST 1:16	លោកមមូនកានមានប្រសាសន៍នៅចំពោះស្តេច និងពួកមេដឹកនាំថា «ព្រះនាងវ៉ាសធី ជាអគ្គមហេសីបានធ្វើខុស មិនមែនត្រឹមតែចំពោះព្រះរាជាប៉ុណ្ណោះ គឺបានធ្វើឲ្យប៉ះពាល់ដល់ពួកមេដឹកនាំ និងប្រជាជនទាំងអស់ ក្នុងអាណាខេត្តទាំងប៉ុន្មានរបស់ព្រះចៅអហាស៊ូរុសទៀតផង។
EST 1:17	ដ្បិតការប្រព្រឹត្តរបស់អគ្គមហេសីបានលេចឮដល់ស្ត្រីទាំងអស់។ ហើយបណ្តាលឲ្យគេមើលងាយប្តីរបស់ខ្លួន។​ ពួកគេនឹងនិយាយថា ព្រះចៅអហាស៊ូរុស ចេញបញ្ជាឲ្យគេនាំព្រះនាងវ៉េសធី ជាអគ្គមហេសី មកគាល់ទ្រង់ តែព្រះនាងមិនព្រមធ្វើតាម។
EST 1:18	នៅថ្ងៃនោះ ពួកជំទាវនៃជនជាតិពែរ្ស និងជនជាតិមេឌីទាំងប៉ុន្មាន ដែលបានឮពីទង្វើរបស់អគ្គមហេសី ដែលមិនស្តាប់បង្គាប់ព្រះករុណា នោះពួកគេមុខជាធ្វើបែបនេះចំពោះប្តីរបស់ខ្លួន ដែលជាមេដឹកនាំរបស់ព្រះករុណាដូច្នោះដែរ។ ជាហេតុធ្វើឲ្យប្តីមានកំហឹង ព្រោះតែភរិយាមើលងាយ។
