[P, G] إسا[L]إسا|[P, G] إِسَّا[L]إِسَّا	<ol style="listStyleType: circle;"><li style="">now, just now                                                         ;in Iraq this is said هَسَّا[pronunciation: [P, G] ʔissa]</li></ol>
جميز|جِمَّيْز	<ol style="listStyleType: circle;"><li style="">sycamore(s) (note in colloquial it goes by other names, such as التِّين الذكر، تِين فرعون، التينة الـمَصرِيّة )</li></ol>
جميزة|جِمَّيْزِة	<ol style="listStyleType: circle;"><li style="">(a) sycamore</li></ol>
جميع|جَمِيْع	<ol style="listStyleType: circle;"><li style="">all                       ;[pronunciation: jamīʕ]</li></ol>
جميل|جَمِيْل	<ol style="listStyleType: circle;"><li style="">beautiful                              ;[pronunciation: jamīl،jamīle]</li> <li style="">fine (art)                             [pronunciation: jamīl،jamīle]</li> <li style="">favor, good turn                                 ;[pronunciation: jºmīle][keyword]</li></ol>
جميلة|جْمِيْلِة	<ol style="listStyleType: circle;"><li style="">no matter (how much), whatever                                                                                                                                                                                                            ;This is when a pronoun suffix is added to it and then ما as in:جميلة + ضمير + ما + جملة ;the meaning is like مهما ;(مضافة إلى الضمائر مثل جميلتك جميلته إلخ متبوع بما وتعني مَهْما )[pronunciation: jºmīle]</li> <li style="">Bougainvillea</li></ol>
جن|جَنّ	<ol style="listStyleType: circle;"><li style="">to go crazy, lose one's mind, go nuts          ;[keyword]</li> <li style="">to be mad, crazy (ب / على = about)</li></ol>
جن|جِنّ	<ol style="listStyleType: circle;"><li style="">gin</li> <li style="">jinn, jinns, genie(s) (collective plural)                                                                                                                                                                                                                                          ;(these are invisible beings or spirits, both good and evil, who can interfere in human affairs. It is believed that God made them from fire, the way God made humans from clay / dirt and angels from light);[pronunciation: jinn / jenn]</li></ol>
جنابي|جَنَّاْبِي	<ol style="listStyleType: circle;"><li style="">side (adjective)</li> <li style="">sideways (adverbially)</li></ol>
جناح|جَنَاح	<ol style="listStyleType: circle;"><li style="">wing (of a bird, plane, etc.)                                        ;[pronunciation: janāḥ،janāḥāt / junḥān]</li> <li style="">wing, fender (of a car)                                        ;[pronunciation: janāḥ،janāḥāt / junḥān]</li> <li style="">wing, suite</li> <li style="">long slice                                       [pronunciation: janāḥ،janāḥāt / junḥān]</li></ol>
جناز|جِنَّاز	<ol style="listStyleType: circle;"><li style="">funeral service, funeral rites, burial prayers, prayer over the dead (الصلاة عن روح الميِّت)                                                                                                                                                                                                ;(JE and GT says this is for Christians, and that in contrast, جَنَازِة is used for both Christians and Muslims. However, Anis Freyha makes no such distinction);[pronunciation: jinnāz،janānīz]</li></ol>
جنازة[S]جنازة|جَنَازِة[S]جْنَاْزِة	<ol style="listStyleType: circle;"><li style="">funeral procession, burial service (for Christians and Muslims)                        ;[pronunciation: janāze]</li></ol>
جنان|جْنَاْن	<ol style="listStyleType: circle;"><li style="">craziness, insanity</li></ol>
جناي|جَنَاْي	<ol style="listStyleType: circle;"><li style="">knob, large head of a stick or cane (confirmed for Syrian dialect)(  رأس الهراوة الكبير الحجم )</li></ol>
جناية|جِنَاْيِة	<ol style="listStyleType: circle;"><li style="">crime</li> <li style="">capital offense</li></ol>
جنب|جَنب	<ol style="listStyleType: circle;"><li style="">side                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;(note that the correct spelling is جنب , but the combination of نْب is said مب . The phonetic rule that controls this, called إغماد , is found in both CA and colloquial.note that جَنِب (with the helping vowel) is used when the word is stand alone, such as in the phrase على جَنِب (aside, on a side, out of the way). Whereas حَنْب /جَمْبis used when the word is followed by a vowel (i.e. جَنْبِي, or جَنْبِ المَطْعَم . However, GT separates the two by having جَنِب as the preposition, and جَنَب as the noun);[pronunciation: janb / jamb / janᵉb[S] jamb]</li> <li style="">beside, next to, near                                                      ;[pronunciation: janb / jamb / janᵉb[S] jamb][keyword]</li></ol>
جنب|جَنَب	<ol style="listStyleType: circle;"><li style="">side         [keyword]</li></ol>
جنة[S]جنة|جَنِّة[S]جَنِّة	<ol style="listStyleType: circle;"><li style="">paradise, heaven                       ;[pronunciation: janne]</li></ol>
جنح|جَنَح	<ol style="listStyleType: circle;"><li style="">to run aground, strand</li></ol>
جند|جِنْد	<ol style="listStyleType: circle;"><li style="">forearm</li></ol>
جند|جَنَّد	<ol style="listStyleType: circle;"><li style="">to draft, conscript, recruit (ه = s.o.)                                  ;[pronunciation: jannad، yºjanned]</li></ol>
جندي|جُندي	<ol style="listStyleType: circle;"><li style="">soldier, troop                                                  [pronunciation: jundy،jºnūd / [CA] junūd،jundiyye]</li> <li style="">جْنُوْد : troop (plural), troops</li></ol>
جندية|جِنْدِيِّة	<ol style="listStyleType: circle;"><li style="">military service</li></ol>
جنز|جَنَّز	<ol style="listStyleType: circle;"><li style="">to pray (ه = over the dead) before burying him                                              ; (جنَّز المَيِّتَ : صلَّى عليه قبل دَفْنُه );</li></ol>
جنس|جِنس	<ol style="listStyleType: circle;"><li style="">species, type, kind                                                                ; (الضربُ والنوعُ والصِنف);[pronunciation: jins،ʔajnās][keyword]</li> <li style="">sex, gender                             ;[pronunciation: jins،ʔajnās]</li> <li style="">sex, sexual intercourse                             ;[pronunciation: jins،ʔajnās]</li></ol>
جنسي|جِنسي	<ol style="listStyleType: circle;"><li style="">specific</li> <li style="">sexual, of or related to gender or sex                                ;[pronunciation: jinsy،jinsiyye]</li> <li style="">sexual (of or related to intercourse)                                         ;[pronunciation: jinsy،jinsiyye][keyword]</li></ol>
جنسية[S]جنسية|جِنسِيِّة[S]جِنْسِيِّة	<ol style="listStyleType: circle;"><li style="">nationality, citizenship                          ;[pronunciation: jinsiyye]</li></ol>
جنط|جَنْط	<ol style="listStyleType: circle;"><li style="">rim</li></ol>
جنط|جَنَّط	<ol style="listStyleType: circle;"><li style="">(see example)</li></ol>
جنك|جَنَّك	<ol style="listStyleType: circle;"><li style="">to go on, keep going on for a long period of time (في اللعب = in playing a game)                                   ; (جنَّك في اللِعب، استرسل وتمادى);</li> <li style="">to begin (في الأكل = eating) and continue without stopping for a long time                                  ; (جنَّك في الاكل، شَرَع واسترسل);</li> <li style="">to become severe, intensity (حمي واشتد) (only found in المحيط) ;</li> <li style="">to refuse, refrain from s.th. (رفض وامتنع) ;</li></ol>
جنكة|جَنْكِة	<ol style="listStyleType: circle;"><li style="">see example ;</li></ol>
جنن|جَنَّن	<ol style="listStyleType: circle;"><li style="">to drive mad, drive insane, crazy (ه = s.o.), to drive wild (ه = s.o.) (also with enthusiasm, irritation, etc.)                                           ;[pronunciation: jannan، yºjannen][keyword]</li></ol>
جنوب[L]جنوب[S]جنوب|جَنُوْب[L]جْنُوْب[S]جْنُوْب	<ol style="listStyleType: circle;"><li style="">south                                ;[pronunciation: janūb][keyword]</li></ol>
جنوبي[S]جنوبي|جَنُوْبي[S]جْنُوْبِي	<ol style="listStyleType: circle;"><li style="">southern, south (adjective)                       [pronunciation: janūby]</li></ol>
جنون|جْنُوْن	<ol style="listStyleType: circle;"><li style="">madness, insanity                       ;[pronunciation: jºnūn]</li></ol>
جنوني|جْنُوْنِي	<ol style="listStyleType: circle;"><li style="">wild, crazy (of a non-human)</li></ol>
جني|جِنِّي	<ol style="listStyleType: circle;"><li style="">(a) genie</li></ol>
جني|جِنِي	<ol style="listStyleType: circle;"><li style="">to earn ;</li></ol>
جنية|جِنِيِّة	<ol style="listStyleType: circle;"><li style="">sin, fault, mistake ;</li></ol>
جنين|جَنِيْن	<ol style="listStyleType: circle;"><li style="">fetus                               ;[pronunciation: janīn،ʔajinne]</li></ol>
جنيناتي|جْنَيْنَاْتِي	<ol style="listStyleType: circle;"><li style="">gardener</li></ol>
جنينة[S]جنينة|جْنَيْنِة[S]جْنَيْنِة	<ol style="listStyleType: circle;"><li style="">garden ;</li></ol>
جهاد|جِهَاد	<ol style="listStyleType: circle;"><li style="">striving, doing one's utmost                       ;[pronunciation: jihād]</li> <li style="">war, religious war, jihad                       ;[pronunciation: jihād]</li></ol>
جهار|جُهَار	<ol style="listStyleType: circle;"><li style="">in backgammon and other games: four</li></ol>
جهاز|جِهَاز	<ol style="listStyleType: circle;"><li style="">appliance, device, equipment, gear                                                ;[pronunciation: jihāz / jºhāz،ʔajhize][keyword]</li> <li style="">system, apparatus                                                ;[pronunciation: jihāz / jºhāz،ʔajhize][keyword]</li> <li style="">an official body or organ of an organization (like the main bodies or organs of the UN)                                      [pronunciation: jihāz / jºhāz،ʔajhize]</li> <li style="">trousseau ( stuff like furniture, bedding, and an apartment and all the things needed for a couple to be ready to get married and live together. This is traditionally brought by the bride, but that custom is changing when there is a financial need for both sides to share in)                                       ;[pronunciation: jihāz / jºhāz،jºhāzāt]</li></ol>
جهة|جِهَة	<ol style="listStyleType: circle;"><li style="">side, direction                                     ;[pronunciation: jiha،jihāt][keyword]</li></ol>
جهجة|جَهْجَة	<ol style="listStyleType: circle;"><li style="">a proper noun (though I can't find it online) ;</li></ol>
جهجه|جَهْجَه	<ol style="listStyleType: circle;"><li style="">to clear of clouds (said of the sky) (جهجه الجَلَدُ، صفا وانقشعت غيومه) ;</li> <li style="">to dawn, break (said of the morning, dawn)                                         ; (جهجه الفجرُ أو الصُبْحُ، انبلج وانشق);</li></ol>
جهد|جُهُد	<ol style="listStyleType: circle;"><li style="">effort                                                           ;[pronunciation: juhᵒd / jahᵉd،jºhūd / [CA] juhūd][keyword]</li></ol>
جهز|جَهَّز	<ol style="listStyleType: circle;"><li style="">to equip, furnish (ه = s.o. / s.th., ب = with)</li> <li style="">to prepare, make ready (ه = s.th.)                                  ;[pronunciation: jahhaz، yºjahhez]</li></ol>
جهل|جِهِل	<ol style="listStyleType: circle;"><li style="">to be ignorant of, not know (ه = s.th.)                                                                                                   ;(this is most often heard in the form جاهل and just means ignorant);[pronunciation: jihel، yijhal]</li></ol>
جهل[S]جهل(جهل)|جَهِل[S]جَهِل(جَهْل)	<ol style="listStyleType: circle;"><li style="">ignorance                       ;[pronunciation: jahᵉl]</li> <li style="">foolishness, carelessness, recklessness                                                                                                                                                                                                                                                                                                                              ;(note that in the Badawi-Hinds Egyptian dictionary, they list the second definition as youthfulness. Basically, it seems there is a second definition that is less negative than simply being ignorant or stupid, but I am unclear what the best definition is in the different Levantine colloquials);[pronunciation: jahᵉl]</li></ol>
جو|جَوّ	<ol style="listStyleType: circle;"><li style="">atmosphere, air                              ;[pronunciation: jaww،ʔajwāʔÅ]</li> <li style="">weather, climate                              ;[pronunciation: jaww،ʔajwāʔÅ]</li> <li style="">atmosphere, ambiance, general mood                                       ;[pronunciation: jaww،ʔajwāʔÅ][keyword]</li></ol>
جوا|جُوَّا	<ol style="listStyleType: circle;"><li style="">inside, in, interior (داخِل)                                                                                                                      ;When followed by an noun/pronoun in an إضافة , it (usually) becomes جُوَّات ;[pronunciation: juwwa / juwwāt][keyword]</li> <li style="">inside, within                                ;[pronunciation: juwwa / juwwāt]</li></ol>
جواب|جَوَاب	<ol style="listStyleType: circle;"><li style="">answer, reply, response                                        ;[pronunciation: jawāb،ʔajwibe][keyword]</li></ol>
جوار|جِوَاْر	<ol style="listStyleType: circle;"><li style="">neighborhood</li> <li style="">vicinity</li></ol>
جواز[S]جواز|جَوَاز[S]جَوَاْز	<ol style="listStyleType: circle;"><li style="">pass, permit                       ;[pronunciation: jawāz]</li></ol>
جوازجواز|جَوَازجَوَاْز	<ol style="listStyleType: circle;"><li style="">marriage                       ;[pronunciation: jawāz]</li></ol>
جوافة|جَوَافَة	<ol style="listStyleType: circle;"><li style="">guava(s)                        ;[pronunciation: jawāfa]</li></ol>
جوال|جَوَّال	<ol style="listStyleType: circle;"><li style="">cell phone, mobile phone                        ;[pronunciation: jawwāl]</li> <li style="">itinerant, traveling, wandering                                ;[pronunciation: jawwāl،jawwāle]</li> <li style="">portable, mobile                                ;[pronunciation: jawwāl،jawwāle]</li></ol>
جواني|جُوَّاني	<ol style="listStyleType: circle;"><li style="">inner tube (of a tire)                                ;[pronunciation: [P, G] juwwāny]</li> <li style="">inner, inside (داخلي)                         ;[pronunciation: juwwāny]</li></ol>
جوخ	<ol style="listStyleType: circle;"><li style="">a woolen cloth (قماش صوفي) ;</li> <li style="">baize (cloth used on snooker tables and the like) ;</li></ol>
جودة[S] جودة|جَوْدِة[S] جُوْدِة	<ol style="listStyleType: circle;"><li style="">quality                      ;[pronunciation: jōde]</li></ol>
جودو|جُوْدَو	<ol style="listStyleType: circle;"><li style="">judo ;</li></ol>
جور|جَوَّر	<ol style="listStyleType: circle;"><li style="">to have hole(s) form, sink in, become concave (تَقَعَّر، صار فيه جُوَر) ;</li></ol>
جورة|جَوْرَة	<ol style="listStyleType: circle;"><li style="">hole (in the ground), pit, depression (Anis Freyha describes it as a smalll hole, but most dictionaries list "ditch" and "pit" as possible definitions)                                                ; (حفرة صغيرة، وهدة);[pronunciation: jōrɑ،juwɑr]</li> <li style="">potholes                            ;[pronunciation: jōrɑ،juwɑr]</li></ol>
جوز|جَوْز	<ol style="listStyleType: circle;"><li style="">walnut(s)                    [pronunciation: jōz]</li> <li style="">walnut tree(s)</li> <li style="">(a) pair, couple, double (of something)                                                                   ; (جوز من شيء: ما زوج، اي اثنان)[pronunciation: jōz،jºwāz][keyword]</li> <li style="">husband                                                                                                                ; (زوج);some people in Lebanon also used the word خَوَاجْتِي for “my husband”[pronunciation: jōz،jºwāz][keyword]</li> <li style="">nut(s)                     ;[pronunciation: jōz]</li></ol>
جوز|جَوَّز	<ol style="listStyleType: circle;"><li style="">to marry (ه = s.o., من = to s.o.), to give in marriage (ه = s.o., من = to)                                  ;[pronunciation: jawwaz، yºjawwez]</li></ol>
جوزة	<ol style="listStyleType: circle;"><li style="">(possible typo form جورة)                                      ;(حفرة??? كنت بالجوزة، في هذه الحفرة);</li></ol>
جوزة[S]جوزة|جَوْزِة[S]جَوْزِة	<ol style="listStyleType: circle;"><li style="">(a) nut, a type of nut                      ;[pronunciation: jōze]</li> <li style="">Adam's apple (and by extension used as the throat)                      ;[pronunciation: jōze]</li></ol>
جوزيف|جَوْزَيف	<ol style="listStyleType: circle;"><li style="">Joseph (male given name) ;</li></ol>
جوش|جُوْش	<ol style="listStyleType: circle;"><li style="">upset-ness (of the stomach), nausea</li></ol>
جوض|جَوَّض	<ol style="listStyleType: circle;"><li style="">to complain of pain (شكا من ألمٍ)                                                      ;(note that المحيط defines it as قَلّ صبره وضجر وسعى);</li></ol>
جوع|جَوَّع	<ol style="listStyleType: circle;"><li style="">to starve (ه = s.th.), starve out (ه = s.th.)                       [pronunciation: jawwaʕ]</li></ol>
جوع[S]جوع|جُوْع[S]جُوْع	<ol style="listStyleType: circle;"><li style="">hunger                     ;[pronunciation: jūʕ]</li> <li style="">starvation         [keyword]</li></ol>
جوعان|جُوْعَان	<ol style="listStyleType: circle;"><li style="">hungry, starving                                      ;[pronunciation: jūʕān،jūʕānīn،jūʕāne]</li></ol>
جوف|جَوف	<ol style="listStyleType: circle;"><li style="">cavity, depression                      ;[pronunciation: jawf]</li></ol>
جوف|جَوَّف	<ol style="listStyleType: circle;"><li style="">to hollow out (ه = s.th.)</li></ol>
جوفي|جَوفي	<ol style="listStyleType: circle;"><li style="">inner, subterranean, underground                                ;[pronunciation: jawfy،jawfiyye]</li> <li style="">ground (of water) (adjective)                               [pronunciation: jawfy،jawfiyye]</li></ol>
جوق|جَوق	<ol style="listStyleType: circle;"><li style="">choir, band, orchestra, musical troupe                                                                                  ;  (جماعة من موسيقيين أو مُغنين يعزفون او يغنون معًا);[pronunciation: jawʠ،ʔajwᾱʠ]</li></ol>
جوقة|جَوقَة	<ol style="listStyleType: circle;"><li style="">choir, band, orchestra, musical troupe, (native Arab) orchestra                                                                                                     ;  (جماعة من موسيقيين أو مُغنين يعزفون او يغنون معًا);[pronunciation: jawʠɑ،jawʠᾱt[S] ق = ء][keyword]</li></ol>
جول|جَوَّل	<ol style="listStyleType: circle;"><li style="">to take (ه = s.o.) around, take (ه = s.o.) on a tour</li></ol>
جولة[S]جولة|جَولِة[S]جَوْلِة	<ol style="listStyleType: circle;"><li style="">tour, excursion                       ;[pronunciation: jawle]</li> <li style="">round                      [pronunciation: jawle]</li></ol>
جونية|جُوْنِيَة	<ol style="listStyleType: circle;"><li style="">Jounieh, a coastal city about 16 km north of Beirut, and is part of Greater Beirut.The name comes from the Syriac word for corner, and os it is sometimes called جونية الزاوية (the arabic work for corner)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;Jounieh is known for its seaside resorts and bustling nightlife, as well as its old stone souk, ferry port, and gondola lift (le téléphérique), which takes passengers up the mountain to the shrine of Our Lady of Lebanon in Harissa. above Jounieh, and on the way to Harissa, a small hill named Bkerké (arabic بكركي, or Bkerki), overlooking the Jounieh bay, is the seat of the Patriarch of the Maronite Catholic Church. Residents of Jounieh and the surrounding towns are overwhelmingly Maronite Christians</li></ol>
جوى|جَوَى	<ol style="listStyleType: circle;"><li style="">to dirty, stain (ه = s.th.) ;</li></ol>
جوي|جَوّي	<ol style="listStyleType: circle;"><li style="">air, atmospheric, aerial, meteorological                                         ;[pronunciation: jawwy،jawwiyye][keyword]</li></ol>
جوي|جُوّي	<ol style="listStyleType: circle;"><li style="">domestic, tame                       ;[pronunciation: juwwy]</li></ol>
جوي|جُوِّي	<ol style="listStyleType: circle;"><li style="">indoor, pertaining to inside (rather than outside, and at times implying domesticated rather than wild) ;</li> <li style="">ضد برّي، اي مُطَعَّم  ;</li></ol>
جويد|جْوَيّد	<ol style="listStyleType: circle;"><li style="">(العاقل المتبع أحكام المذب وتعاليمه، أو التقى الوَرع الذي تقدَّم في معرفة الأسرار) ;</li></ol>
جويزة|جْوَيْزِة	<ol style="listStyleType: circle;"><li style="">deuce</li></ol>
جي|جِي	<ol style="listStyleType: circle;"><li style="">added as a suffix onto words to show a profession, such as حِلْوانْجِي (sweets chef). Note that I do not list these as separate roots. rather, you'll find حلوانجي under the root حلو .this suffix is used quite freely at times. I've heard phrases like punkshurji (the one who fixes punctures in a tire). I've also heard it applied in a derogatory manner, especially to things that someone is obsessed with but are not really a profession (e.g. someone obsessed with women/sex).</li></ol>
جيب|جَيْب	<ol style="listStyleType: circle;"><li style="">pocket                                                                                                                                       ;(كيس يُخاط إلى فتحة في الثوب يضع فيها المرءُ بعض حاجاته، وهذا غير المعنى القاموسي );[pronunciation: jēb / jēbe،jºyāb / jiyāb][keyword]</li> <li style="">nasal cavity, sinus                           ;[pronunciation: jēb،juyūb]</li></ol>
جيب|جَيَّب	<ol style="listStyleType: circle;"><li style="">to assist at a birth (ه = s.o.), deliver (ه = s.o.'s) baby                                  ;[pronunciation: jayyab، yºjayyeb]</li></ol>
جية|جَيِّة	<ol style="listStyleType: circle;"><li style="">filth (وسخٌ، نتنٌ، قذارةٌ ) ;</li></ol>
جية[P, G] جية|جَيِّة[P, G] جَيِّة	<ol style="listStyleType: circle;"><li style="">arrival, coming                                              ;(maSdar of إجا);[pronunciation: [P, G] jayye]</li></ol>
جيت|جَيْت	<ol style="listStyleType: circle;"><li style="">jet (e.g. airplane)</li></ol>
جيد|جَيِّد	<ol style="listStyleType: circle;"><li style="">good (often seen as more formal in tone than منيح and مليح, it is still heard regularly, and it also appears in certain formal, fixed phrases)</li> <li style="">good                                ;[pronunciation: jayyed،jayyide]</li></ol>
جير|جَيَّر	<ol style="listStyleType: circle;"><li style="">to endorse (ه = s.th.)</li></ol>
جيرة[S] جيرة|جِيْرِة[S] جِيْرِة	<ol style="listStyleType: circle;"><li style="">neighborliness                      ;[pronunciation: jīre]</li> <li style="">neighborhood</li></ol>
جيز|جِيْز	<ol style="listStyleType: circle;"><li style="">(alternative pronunciation of زِيْز) ;</li></ol>
جيزة|جِيْزِة	<ol style="listStyleType: circle;"><li style="">marriage                              ; (زواج);[pronunciation: jīze]</li></ol>
جيش|جَيْش	<ol style="listStyleType: circle;"><li style="">army                           ;[pronunciation: jēš،jºyūš]</li> <li style="">army soldiers (as a collective plural)                           ;[pronunciation: jēš،jºyūš]</li></ol>
جيعان|جِيْعَان	<ol style="listStyleType: circle;"><li style="">hungry, starving (جائع) ;</li></ol>
جيلجأجيال[S]جيل|جِيْلجأَجيَال[S]جِيْل	<ol style="listStyleType: circle;"><li style="">generation (of age)                           ;[pronunciation: jīlʔajyāl]</li></ol>
جيم|جِيْم	<ol style="listStyleType: circle;"><li style="">the letter jiim / ج</li> <li style="">(abbreviation of ) answer (i.e. جَوَاب )</li></ol>
جين|جِيْن	<ol style="listStyleType: circle;"><li style="">gene                                  ;[pronunciation: jīn / jīne،jīnāt]</li></ol>
جينة[P, J] جينة|جَيْنِة[P, J] جَيْنِة	<ol style="listStyleType: circle;"><li style="">coming, arrival (maSdar of إجا)                             ;[pronunciation: [P, J] jēne]</li></ol>
جينز|جِيْنْز	<ol style="listStyleType: circle;"><li style="">(a pair of) jeans</li></ol>
جينس|جِيْنْس	<ol style="listStyleType: circle;"><li style="">(a pair of) jeans</li></ol>
جيپ|جِيْپ	<ol style="listStyleType: circle;"><li style="">jeep ;</li></ol>
حا|حَا	<ol style="listStyleType: circle;"><li style="">interjection said to urge a donkey on ;</li></ol>
حابس|حَاْبِس	<ol style="listStyleType: circle;"><li style="">engagement ring (specifically, this was described to me by a Syrian as a second engagement ring worn "after" the first, i.e. on the same finger but put on second, and it is typically more elaborate and inlaid with stones. The engagement woman then wears both the مَحْبَس and the حَابِس . One online source described it as "optional" and added that it was perhaps originally a Western culture.)</li></ol>
حاج	<ol style="listStyleType: circle;"><li style="">see under ح و ج</li></ol>
حاجب|حَاجِب	<ol style="listStyleType: circle;"><li style="">eyebrow                               ;[pronunciation: ḥājeb،ḥawājeb]</li></ol>
حاجة|حَاجِة	<ol style="listStyleType: circle;"><li style="">need, object, matter                                     ;[pronunciation: ḥāje،ḥājāt][keyword]</li></ol>
حاجة[L]حاج|حَاجِة[L]حاج	<ol style="listStyleType: circle;"><li style="">that’s enough of… (from the word for need, it basically means the “need” has been met, but is used in a range of contexts)</li> <li style="">no way! go on… (expression of disbelief)</li> <li style="">enough! stop! don't!This can have a pronoun suffix added to it, e.g. حاجْتك                                                                                           ;(فعل أمر بمعنى كفى! ، وتضاف إلى الضمائر، حاجْتَك شغل، أي كفاك)[pronunciation: ḥāje،ḥājāt]</li></ol>
حاجج|حَاْجَج	<ol style="listStyleType: circle;"><li style="">to reason, argue (ه = with s.o.)</li></ol>
حاجز|حَاجِز	<ol style="listStyleType: circle;"><li style="">roadblock, barrier, obstruction                                        ;[pronunciation: ḥājez،ḥawājez][keyword]</li> <li style="">checkpoint (e.g. set up by the police, armed group, etc.)                               ;[pronunciation: ḥājez،ḥawājez]</li> <li style="">fence                              [pronunciation: ḥājez،ḥawājez]</li> <li style="">hurdle</li></ol>
حاجية|حَاجِيِّة	<ol style="listStyleType: circle;"><li style="">commodities, necessities                                  ;[pronunciation: ḥājiyye،ḥājiyyāt]</li></ol>
حاخام|حَاخَام	<ol style="listStyleType: circle;"><li style="">rabbi, Jewish sage                                           ;[pronunciation: ḥāḵᾱm،ḥāḵᾱmiyye / ḥāḵᾱmīn]</li></ol>
حاد|حَادّ	<ol style="listStyleType: circle;"><li style="">sharp                            ;[pronunciation: ḥādd،ḥādde]</li> <li style="">acute                            ;[pronunciation: ḥādd،ḥādde]</li> <li style="">vehement                            ;[pronunciation: ḥādd،ḥādde]</li> <li style="">cutting, sharp, biting (of a remark, etc.)</li> <li style="">hot, sharp (of an attitude, also food)</li> <li style="">keen, sharp, shrill</li></ol>
حاد|حَاد	<ol style="listStyleType: circle;"><li style="">to deviate, swerve, stray, digress                            ;[pronunciation: ḥād، yºḥīd]</li></ol>
حادث|حَادِث	<ol style="listStyleType: circle;"><li style="">event, incident                               ;[pronunciation: ḥādeθ،ḥawādeθ]</li> <li style="">accident, mishap                               ;[pronunciation: ḥādeθ،ḥawādeθ]</li> <li style="">حَوَاْدِث : action, events</li></ol>
حادثة[S]حادثة|حَادْثِة[S]حَاْدْثِة	<ol style="listStyleType: circle;"><li style="">event, incident, experience (as something that happens to someone)                                        ;(same as حادِث);[pronunciation: ḥādºθe]</li> <li style="">accident, mishap                        ;[pronunciation: ḥādºθe]</li></ol>
حاددجحادين|حَادِدجحَادِّيْن	<ol style="listStyleType: circle;"><li style="">mourning, in mourning                                  [pronunciation: ḥādedḥāddīn،ḥādde]</li></ol>
حادق|حادِق	<ol style="listStyleType: circle;"><li style="">sharp, acrid of taste (said of a drink, liquid) ;</li></ol>
حادي عشر[S] حادي عشر|حَادي عَشَر[S] حَادِي عَشَر	<ol style="listStyleType: circle;"><li style="">eleventh                                                                      ;(see احداعش for the colloquial form);[pronunciation: [CA] ḥādy ʕɑšɑr]</li></ol>
حار|حَارّ	<ol style="listStyleType: circle;"><li style="">hot peppers, chili peppers</li> <li style="">hot, warm                                                    ;[pronunciation: ḥᾱrr / ḥɑrr،ḥᾱrrɑ / ḥɑrrɑ][keyword]</li> <li style="">spicy, hot                                           ;[pronunciation: ḥᾱrr / ḥɑrr،ḥᾱrrɑ / ḥɑrrɑ]</li></ol>
حارب|حارَب	<ol style="listStyleType: circle;"><li style="">to fight (in a war)                                ;[pronunciation: ḥārab، yºḥāreb]</li> <li style="">to make war against (ه = s.o./s.th.), to battle (ه = s.o./s.th.)                                ;[pronunciation: ḥārab، yºḥāreb]</li> <li style="">to see combat, engage in war, to see (military) action</li></ol>
حارة|حارَة	<ol style="listStyleType: circle;"><li style="">narrow lane, alley, (which traditionally constituted a small neighborhood, and hence this is also used to mean) neighborhood, city quarter                            ;[pronunciation: ḥᾱrɑ،ḥᾱrᾱt]</li> <li style="">lane, alley, side street                            ;[pronunciation: ḥᾱrɑ،ḥᾱrᾱt]</li> <li style="">lane (e.g. in traffic, or a for a runner / swimmer in a race)                                                                                                                                                                            ; (see also مسرب. Some say, like in Jordan, that مَسْرَب is for a lane of traffic, but حارة is for swimming and track. Usage is likely regional.)[pronunciation: ḥᾱrɑ،ḥᾱrᾱt]</li> <li style="">neighborhood, quarter                            ;[pronunciation: ḥᾱrɑ،ḥᾱrᾱt]</li> <li style="">block (area bounded by four streets)                           [pronunciation: ḥᾱrɑ،ḥᾱrᾱt]</li></ol>
حارس|حَارِس	<ol style="listStyleType: circle;"><li style="">miser (literally it refers to someone who guards their wealth their entire life and never enjoys it) ;</li> <li style="">guard, sentry, watchman                                       ;[pronunciation: ḥāres،ḥurrᾱs][keyword]</li></ol>
حارف	<ol style="listStyleType: circle;"><li style="">to trick, deceive, outsmart (على = s.o.)                                ; (حارف وتحارف على فلان، احتال )</li></ol>
حارق|حارِق	<ol style="listStyleType: circle;"><li style="">see example ;</li></ol>
حارك|حَارِك	<ol style="listStyleType: circle;"><li style="">immediately, suddenly                                ;[pronunciation: ḥārek][keyword]</li></ol>
حاز|حَاْز	<ol style="listStyleType: circle;"><li style="">to get (ه = s.th.)</li></ol>
حازم|حَازِم	<ol style="listStyleType: circle;"><li style="">resolute, determined                       ;[pronunciation: ḥāzem]</li> <li style="">drastic                       ;[pronunciation: ḥāzem]</li></ol>
حازوقة|حَازُوْقَة	<ol style="listStyleType: circle;"><li style="">hiccup(s)                        ;[pronunciation: ḥāzūqa]</li></ol>
حازى|حَاْزَى	<ol style="listStyleType: circle;"><li style="">to run along (ه = s.th.)</li></ol>
حاسب|حَاْسِب	<ol style="listStyleType: circle;"><li style="">calculating</li></ol>
حاسب|حَاْسَب	<ol style="listStyleType: circle;"><li style="">to take to task, call to account (ه = s.o., على = over)</li></ol>
حاسة|حَاْسِّة	<ol style="listStyleType: circle;"><li style="">sense</li></ol>
حاسس|حَاْسِس	<ol style="listStyleType: circle;"><li style="">conscious, aware (ب = of) (note the participle is often used with this meaning because in English being aware of something is often referring to an instant rather than general habit)</li></ol>
