#desc	English to Khmer Dictionary from <a href="https://play.google.com/store/apps/details?id=com.sonveasna.dictionary&hl=en">English Khmer Dictionary</a> by DroidSVS
#priority	2
#en	ipa	khph	desc	tags
barracking	ˈbærəkɪŋ	ˈប៊ែរ៉ឹកឃីង	<ul><li>&nbsp;<p-n>(noun)</p-n><p-l> @ការតវ៉ាឡូឡារបស់ទស្សនិជន</p-l></li></ul>	noun
barracks	ˈbærəks	ˈប៊ែរ៉ឹកស៍	<ul><li><p-n>(noun)</p-n><ol><li><p-l> @លំនៅទាហាន </p-l></li><li><p-l> @អាគារធំហើយមិនស្អាត</p-l></li></ol></li><li><p-n>(intransitive verb)</p-n><p-l> @នៅស្នាក់អាស្រ័យ</p-l></li><li><p-n>(transitive verb)</p-n><p-l> @អោយស្នាក់អាស្រ័យ </p-l></li></ul>	noun
barracuda	ˌbærəˈkjuːdə  US ˈkuːdə	បារ៉ឹˈឃូដឺ	<ul><li><p-n>(noun)</p-n><p-l> @ត្រីតំបន់ត្រូពិចដែលមានរាងធំ, កាចសាហាវនិងមានធ្មេញស្រួច</p-l></li></ul>	noun
barrage	ˈbærɑːʒ; US bəˈrɑːʒ	ˈប៊ែរ៉ាហ្ស៍	<ul><li><p-n>(noun)</p-n><ol><li><p-l> @ការបាញ់ឃាំងផ្លូវ </p-l><br/>~ of gun fire<p-l> @ការបាញ់រាំ </p-l>barrage of questions<p-l> @សំណួរពីគ្រប់ទិស </p-l></li><li> ~ in a stream<p-l> @ទំនប់ទឹក​</p-l></li></ol></li><li><p-n>(transitive verb)</p-n>~ a stream<p-l> @ទប់, លើកទំនប់</p-l><br/> ~ the enemy<p-l> @បាញ់រាំង​</p-l> barrage some one with questions<p-l> @សួរពីគ្រប់ទិស </p-l></li></ul>	noun
barre	baː(r)	បារ៍	<ul><li><p-n>(noun)</p-n><p-l> @បង្កាន់ដៃវែង (សំរាប់រាំ)</p-l></li></ul>	noun
barrel	ˈbærəl	ˈប៊ែរ៉ឹល	<ul><li><p-n>(noun)</p-n><ol><li><p-l> @ធុងធំៗរាងមូល </p-l><br/>wooden ~<p-l> @ធុង (ធំៗ) </p-l><br/>~ of oil<p-l> @រង្វាស់រង្វាល់</p-l></li><li><p-l>@ការណុងកាំភ្លើង</p-l></li></ol></li></ul>Idiom<ul><li><p-n>(get have sb)</p-n>over a barrel <p-l>@ធ្វើតាមលក្ខខ័ណ</p-l> gun barrel<p-l> @កាណុង</p-l></li><li>barrel <p-n>(transitive verb)</p-n><p-n>(-ll-, US&nbsp; -l-)</p-n>~ oil<p-l> @ដាក់ក្នុងធុង, ចាកក្នុងធុង</p-l></li><li><p-n>(intransitive verb)</p-n>barrel along <p-l>@ទៅលឿនស្លុង</p-l></li></ul>	noun
barrel-oragan	ˌbærəlˈɔːgən	ˌប៊ែរ៉ឹលˈអហ្គាន	<ul><li><p-n>(noun)</p-n><p-l> @ឧបករណ៍ភ្លេងម៉្យាងដែលកាលពីដើមគេច្រើនលេងតាមផ្លូវដើម្បីសុំលុយ</p-l></li></ul>	noun
barren	ˈbærən	ˈប៊ែរ៉ឹន	<ul><li><p-n>(adjective)</p-n><ol><li><p-l> @ដែលមិនបង្កើតផល, ដែលមិនផ្តល់ផ្លែផ្កា (ដំណាំ, ដើមឈើ), គំនិតខ្លី, គំនិតសុញ (មនុស្ស) </p-l><br/>~ woman​<p-l> @អា, មិនអាចមានកូន </p-l></li><li><p-l> @(ដី) ដែលគ្មានជីវជាតិ </p-l><br/>~ land<p-l> @ឥតជីវជាតិ</p-l> barren of<p-l> @គ្មាន</p-l></li><li><p-n>(dated or formal )</p-n><p-l> @(ស្រីឬសត្វញី) ដែលមិនអាចមានកូន </p-l></li><li><p-l> @ដែលមិនបានទទួលផល</p-l></li></ol></li><li><p-n>(adverb)</p-n><p-l> @ដោយសោះកក្រោះ, ដោយស្ងួតចែស, ដោយឥតផល</p-l></li><li>barrenness <p-n>(noun)</p-n><p-l> @ភាពគ្មានផល, ភាពស្ងួតសោះកក្រោះ </p-l></li></ul>	adjective
barrenness			<ul><li>&nbsp;<p-n>(noun)</p-n><p-l> @ភាពគ្មានផល, ភាពស្ងួតសោះកក្រោះ</p-l></li></ul>	noun
barrette	bəˈreɪt	បឹˈរេត	<ul><li><p-n>(noun)</p-n><p-l> @ដង្កៀបសក់</p-l></li></ul>	noun
barricade	ˌbærɪˈkeɪdˌ ˈbærəkeɪd	ˌប៊ែរិˈខេតដ៍	<ul><li><p-n>(noun)</p-n><p-l> @អ្វីៗដាក់ឃាំងកុំអោយចេញចូលបាន, របាំងការពារទ័ព</p-l></li><li>barricade <p-n>(transitive verb)</p-n>~ sb in<p-n>(sth)</p-n>/out <p-n>(of sth)</p-n><p-l> @ឃុំអ្នកណាម្នាក់ដោយដាក់របងឃាំងកុំអោយចេញចូល </p-l>barricade sth off<p-l> @ដាក់រំាង ឬឃាំង​(ផ្លូវ) ជាមួយនឹងបារ៉ាស </p-l></li></ul>	noun
barrier	ˈbærɪə(r)	ˈប៊ែរៀ	<ul><li><p-n>(noun)</p-n><ol><li>​. metal ~<p-l> @របង, របាំង</p-l><br/></li><li>~ <p-n>(to/against sth)</p-n><p-l> @ឧបសគ្គ </p-l><br/>~ <p-n>(between sb and sb)</p-n><p-l> @រនាំង </p-l><br/>~ to progress<p-l> @ឧបសគ្គ, ការរារាំង</p-l></li></ol></li></ul>	noun
barring	ˈbɑːrɪŋ	ˈបារីង	<ul><li><p-n>(preposition)</p-n><p-l> @ក្រៅពី, វៀរតែ, ផុតពី, ប្រសិនបើគ្មាន</p-l></li><li><p-n>(noun)</p-n><p-l> @ការបង្ខាំងទុក </p-l></li></ul>	preposition
barrio	ˈbærɪəʊ	ˈបារីអូ	<ul><li><p-n>(noun)</p-n><p-n>(pl. ~ s, esp US)</p-n><p-l> @ផ្នែកនៃទីក្រុង ដែលប្រជាជននិយាយភាសាអេស្បាញរស់នៅ, ជាពិសេសជនអន្រោប្រវេសន៍មកពីអាមេរីកឡាទីន</p-l></li></ul>	noun
barrister	ˈbærɪstə(r)	ˈប៊ែរិសថឺ(រ)	<ul><li><p-n>(noun)</p-n><p-l> @មេធាវី, ស្មារក្តី, អ្នកច្បាប់</p-l></li></ul>	noun
barrister-at-law	ˈbærɪstə(r)-æt-lɔː	ˈប៊ែរិសថឺ(រ) អ៊េតឡ	<ul><li><p-n>(noun)</p-n><p-l> @នៃបណ្ឌិត</p-l></li></ul>	noun
barrom	ˈbɑːruːm	ˈបារូម	<ul><li><p-n>(noun)</p-n><p-l> @បន្ទប់លក់សុរានិងគ្រឿងផឹក</p-l> </li></ul>	noun
barrow	ˈbærəʊ	ˈប៊ែរ៉ូវ៍	<ul><li><p-n>(noun)</p-n><ol><li>​.<p-l> @រទេះរុញ, រទេះកង់មួយសំរាប់រុញ</p-l></li><li><p-l> @រទេះរុញដែលមានកង់ពីរនៅខាងមុខ</p-l></li></ol></li><li>barrow boy <p-n>(noun)</p-n><p-n>(BrE.)</p-n><p-l> @អ្នកដែលលក់របស់ដោយប្រើរទេះរុញនៅតាមផ្លូវ </p-l></li></ul>	noun
barrow boy			<ul><li>&nbsp;<p-n>(noun)</p-n><p-n>(BrE.)</p-n><p-l> @អ្នកដែលលក់របស់ដោយប្រើរទេះរុញនៅតាមផ្លូវ</p-l></li></ul>	noun
bartender	ˈbɑːtendə(r)	ˈបាថេនដឺ(រ)	<ul><li><p-n>(noun)</p-n><p-l> @អ្នកចាកស្រា ឬ លាយស្រា</p-l></li></ul>	noun
barter	ˈbɑːtə(r)	ˈបាថឺ(រ)	<ul><li><p-n>(intransitive verb)</p-n>~ <p-n>(with sb)</p-n><p-n>(for sth)</p-n><p-l> @ធ្វើជំនួយដោយផ្លាស់ប្តូរទំនិញគ្នាទៅវិញទៅមកដោយមិនបាច់ប្រើប្រាស់លុយកាក់ </p-l>barter goods<p-l> @ប្តូរទំនិញគ្នាដោយឥតប្រើប្រាស់ (របៀបលក់ដូរម៉្យាង) </p-l><br/>~ for terms<p-l> @ចរចារ</p-l></li><li><p-n>(transitive verb)</p-n>~ sth <p-n>(for sth)</p-n>;~ sth <p-n>(away)</p-n><p-l> @ផ្លាស់ប្តូរទំនិញអ្វីមួយសំរាប់របស់អ្វីមួយផ្សងទៀតដោយមិនប្រើលុយ</p-l><br/> ~ rice for tool<p-l> @ប្តូរ </p-l><br/>~ one's rights away<p-l> @លក់ខ្លួន (អ.ប.)</p-l></li><li>barter <p-n>(noun)</p-n><p-l> @ការប្តូរទំនិញគ្នា (ឥតប្រើលុយកាក់)</p-l> &nbsp;</li></ul>	intransitive verb
barth	bɑːt; US ˈbɑːθ	បាធ្ហ៍	<ul><li><p-n>(noun)</p-n><p-l> @ក្រោលគោក្របី</p-l></li></ul>	noun
bartizan	bɑːtɪzæn	ˈបាធិហ៊្សែន៍	<ul><li><p-n>(noun)</p-n><p-l> @ប៉មជាប់ជញ្ជាំង</p-l></li></ul>	noun
barton	bɑːˈtʌn​	​ បាˈថូន	<ul><li><p-n>(noun)</p-n><p-l>@.ទ្រូងមាន់ទា</p-l></li></ul>	noun
baryphony	ˌbərɪˈfɑʊnɪ	ˌបិរិˈហ៊្វូនី	<ul><li><p-n>(noun)</p-n><p-l> @ការលំបាកក្នុងការនិយាយ</p-l></li></ul>	noun
bas-relief	ˌbɑːstrɪˈliːf; also bæsrɪˈliːf	បាសរិˈហិហ្វ	<ul><li><p-n>(noun)</p-n><p-l> @ចម្លាក់លឹប</p-l> <p-n>(Lif.)</p-n><p-l> @ចម្លាក់ឧនិន្នភាព</p-l></li></ul>	noun
basal	ˈbeɪsəl	ˈបេយ៍សឺល	<ul><li><p-n>(noun)</p-n><p-l> @នៃបាត, នៃឋាន:, នៃទីតាំង, នៃមូលដ្ឋាន</p-l></li></ul>	noun
basalt	ˈbæsɔːlt​ ; US ˈbeɪsɔːltˌ bəˈsɔːlt	ˈប៊ែសលថ៍	<ul><li><p-n>(noun)</p-n><p-l> @ថ្មពពុះ </p-l><p-n>(fr.)</p-n><p-l> @បាហ្សាល់</p-l></li><li>basaltic <p-n>(adjective)</p-n><p-l> @នៃថ្មពពុះ </p-l></li></ul>	noun
basaltic			<ul><li><p-n>(adjective)</p-n><p-l> @នៃថ្មពពុះ</p-l></li></ul>	adjective
bascule bridge	ˈbæskjuːl,brɪdʒ	ˈប៊ែសឃ្យូលប្រ៊ីដ្យ	<ul><li><p-n>(noun)</p-n><p-l> @ស្ពានអាចបើកបិទបាន</p-l></li></ul>	noun
base (1)	ˈbeɪs	ˈបេស	<ul><li><p-n>(noun)</p-n><ol><li><p-l> @គ្រឹះ </p-l><br/>~ of a urn<p-l> @ជើង </p-l><br/>~ of tree<p-l> @គល់</p-l><br/></li><li>~ of an argument<p-l> @មូលដ្ឋាន </p-l><br/><p-n>(Mil.)</p-n>air ~<p-l> @មូលដ្ឋានទ័ព </p-l></li><li><p-l> @ធាតុផ្សំ (គីមី) </p-l>(chem)<p-l> @បាស </p-l>​gram<br/> ~ of a word<p-l> @ធាតុគុណ​</p-l></li><li><p-l> @មូលដ្ឋានទសភាគ</p-l></li><li><p-l> @កន្លែងមួយក្នុងចំណោមកន្លែង៤ អ្នករត់ទៅអោយដល់</p-l></li></ol></li></ul>Idiom<ul><li>off base<p-l> @ខុស, មិនត្រឹមត្រូវ</p-l></li><li>baseless <p-n>(adjective)</p-n><p-l> @គ្មានភស្តុតាង, គ្មានមូលដ្ឋាន, ដែលឥតមូលហេតុ</p-l></li></ul>	noun
base (2)	ˈbeɪs ស	ˈបេស	<ul><li><p-n>(transitive verb)</p-n><ol><li>~ sth on sth<p-l> @សំអាងលើ, ផ្អែកទៅលើ</p-l><br/> ~ one's arguement​<p-l> @សំអាងលើ,&nbsp;ផ្អែកទៅលើ</p-l> </li><li>base oneself <p-n>(in Paris)</p-n><p-l> @តាំង​មូលដ្ឋាន</p-l></li></ol></li></ul>	transitive verb
base (3)	beɪs	បេស	<ul><li><p-n>(adjective)</p-n><p-n>(-r,-st)</p-n><p-l> @(អំពើ, គំនិត, ចរិយា) អាក្រក់, (មនុស្ស) កំសាក, ឥតកិត្តិយស </p-l><br/>~ motive<p-l> @ថោកទាប </p-l><br/>~ metal<p-l> @គ្មានតម្លៃ </p-l>base base upon, base on<p-l> @អាស្រ័យដោយជំហរ, អាស្រ័យលើ</p-l></li><li>basely <p-n>(adverb)</p-n><p-l>@យ៉ាងអាក្រក់</p-l></li></ul>SYNONYMS<ul><li>base <p-n>(noun)</p-n><p-l> @ឋាន:, ទីតាំង, មូលដ្ឋាន, ចំណែកខាងទាប ឬខាងក្រោយ </p-l>basis<p-l> @មូលដ្ឋាន, ភាគសំខាន់ </p-l>foundation<p-l> @គ្រឹះ, មូលនិធិ, ការកសាងឡើង </p-l>ground<p-l> @ដី, ផែន, ដី, មូលដ្ឋាន </p-l>gain ground<p-l> @មានការចម្រើន, ជឿនលឿន, ឈ្នះ </p-l>loss ground<p-l> @អន់ថយ </p-l>stand one's ground<p-l> @មិនព្រមថយក្រោយ </p-l>break ground<p-l> @ចាប់ផ្តើម, ចាប់ធ្វើ </p-l>get ground<p-l> @បានគោលសំខាន់ </p-l>groundwork<p-l> @មូលដ្ឋាន, គ្រឹះ។</p-l></li></ul>	adjective
baseball	ˈbeɪsbɔːl	ˈបេសបល	<ul><li><p-n>(noun)</p-n>play ~<p-l> @បេហ្ស៍ប័ល (កីឡាម៉្យាងដែលគេនិយមណាស់នៅសហរដ្ឋអាមេរិក) </p-l><br/>hit the ~<p-l> @បាល់សំរាប់លេងបេហ្ស៍ប័ល</p-l></li></ul>	noun
baseborn	ˌbeɪsˈbɔːn	ˌបេសបន	<ul><li><p-n>(adjective)</p-n><p-l> @កើតក្នុងត្រកូលថោកទាប</p-l></li></ul>	adjective
baseline	ˈbeɪslɑɪn	ˈបេសឡាន៍	<ul><li><p-n>(noun)</p-n><p-n>(sport)</p-n><p-l> @ខ្សែបន្ទាត់ផ្នែកក្រោយបំផុត (ក្នុងល្បែងគឺវាយកូនបាល់គំនូស ឬគំនិតប្រើជាមូលដ្ឋានក្នុងការវាស់ ឬប្រៀបធៀបវត្ថុ)</p-l></li></ul>	noun
basella	ˈbæselə	ˈប៊ែសឹឡា	<ul><li><p-n>(noun)</p-n><p-l> @ឈើអារមួយប្រភេទ</p-l></li></ul>	noun
basely	ˈbæzlɪ	ˈបេសលី	<ul><li>&nbsp;<p-n>(adverb)</p-n><p-l>@យ៉ាងអាក្រក់</p-l></li></ul>	adverb
basement	ˈbeɪsment	ˈបេសម៉ឹនធ៍	<ul><li><p-n>(noun)</p-n><p-l> @ជាន់នៅក្រោមដី (ធម្មតាសំរាប់ដាក់ឥវ៉ាន់)</p-l></li></ul>	noun
baseness	ˈbeɪsnɪs	ˈបេសនិស	<ul><li><p-n>(noun)</p-n><p-l> @សេចក្តីថោកទាប, សេចក្តីអាក្រក់</p-l></li></ul>	noun
baseness	ˈbeɪsnɪs	ˈបេសនីស	<ul><li><p-n>(noun)</p-n><p-l> @ហ៊ានភាព, អាការ:, ថោកទាប, សេចក្តីថោកទាប, សេចក្តីអាក្រក់</p-l></li></ul>	noun
basenji	bəˈsendʒɪ	បឹ ˈសេនដ្យី	<ul><li><p-n>(noun)</p-n><p-l> @អ្នកចិញ្ចឹម ឬបង្កា្កត់ឆ្កែតូចៗ ដែលមានប្រភពដើមមកពីអាមេរិកហើយឆ្កែនេះកម្រព្រុសណាស់</p-l></li></ul>	noun
bases (1)			<ul><li><p-l>@(plural. of basic) ២. (pl. of base )</p-l></li></ul>	
bash	bæʃ	ប៊ែស្ហ	<ul><li><p-n>(transitive verb)</p-n><ol><li><p-l> @វាយយ៉ាងខ្លាំង, ទង្គិចយ៉ាងខ្លាំង, សំពត់ </p-l><br/></li><li>~ <p-n>(sth)</p-n>against sb/sth<p-l> @ចាប់ប្រាំង, ទង្គិច (ឧ​. ក្បាល) </p-l></li><li><p-l> @រិះគន់យ៉ាងខ្លាំង</p-l></li></ol></li></ul>PHRV<ul><li>bash a' head/ a way/ ' on <p-n>(with/ at sth)</p-n><p-l> @ធ្វើដោយស្វាហាប់ និងរីករាយ </p-l>bash sth in/ down<p-l> @វាយយ៉ាងខ្លាំង</p-l></li></ul>Idiom<ul><li>have a bash <p-n>(at sth)</p-n><p-l> @សាកល្បងដោយមិនមានសង្ឈឹមថាបានជោគជ័យ</p-l></li><li>bashing <p-n>(noun)</p-n><p-l> @ការវាយប្រហារឬរិះគន់ (រាងកាយឬពាក្យសំដី)</p-l></li></ul>	transitive verb
bashful	ˈbæʃfl	ˈប៊ែស្ហហ្វឺល	<ul><li><p-n>(adjective)</p-n><p-l> @ដែលអៀនប្រៀន, ខ្មូរមុខ</p-l></li><li>bashfully <p-n>(adverb)</p-n><p-l> @យ៉ាងអាម៉ាសមុខ</p-l></li><li>bashfulness <p-n>(noun)</p-n><p-l> @សេចក្តីអៀនខ្មាស់ </p-l></li></ul>	adjective
bashfully	ˈbæʃfəlɪ	ˈប៊ែស្ហហ្វឺលី	<ul><li>&nbsp;<p-n>(adverb)</p-n><p-l> @យ៉ាងអាម៉ាសមុខ</p-l></li></ul>	adverb
bashfulness	ˈbæʃfʊlnɪs	ˈប៊ែស្ហហ្វឺនីស	<ul><li>&nbsp;<p-n>(noun)</p-n><p-l> @សេចក្តីអៀនខ្មាស់</p-l></li></ul>	noun
bashing	ˈbæʃ ɪŋ	ˈប៊ែស្ហីង	<ul><li>&nbsp;<p-n>(noun)</p-n><p-l> @ការវាយប្រហារឬរិះគន់ (រាងកាយឬពាក្យសំដី)</p-l></li></ul>	noun
basic	ˈbeɪsɪk	ˈបេយ៍ស៊ីក	<ul><li><p-n>(adjective)</p-n><ol><li><p-n>(to sth)</p-n>​<p-l> @ជាគោល</p-l><br/> ~ principle<p-l> @ជាគោល, ជាមូលដ្ឋាន​</p-l><br/></li><li>~ ingredients<p-l> @សំខាន់, ជាចំាបាច់</p-l></li></ol></li><li>bisically <p-n>(adverb)</p-n><p-l> @ជាទូទៅ, ដោយឋាន:,​ដោយមូលដ្ឋាន </p-l></li><li>basicity <p-n>(noun)</p-n><p-l> @ឋាន:, មូលដ្ឋានភាពសំខាន់</p-l></li></ul>	adjective
BASIC (also Basic)	ˈbeɪsɪk	ˈបេយ៍ស៊ិក	<ul><li><p-n>(noun)</p-n><p-l>@ពាក្យសាមញ្ញៗដែលប្រើក្នុងកម្មវិធី</p-l></li></ul>	noun
basics	ˈbeɪsɪks	ˈបេយ៍ស៊ិកស៍	<ul><li><p-n>(noun)</p-n><p-l> @បញ្ហាសំខាន់ ឬរឿងសំខាន់</p-l></li></ul>	noun
basil	ˈbæzl	ˈប៊ែស៊ិល	<ul><li><p-n>(noun)</p-n><p-l> @ដើមដង្កៀបក្តាម</p-l> sweet basil<p-l> @ជីម្ញែ</p-l></li></ul>	noun
basilica	bəˈsɪlɪkə	បឹˈស៊ីលីខឺ	<ul><li><p-n>(noun)</p-n><p-l> @អគារសាធាណ:</p-l></li></ul>	noun
basilisk	ˈbæzɪlɪsk	ប៊ែហ្សឹលិសខ៍	<ul><li><p-n>(noun)</p-n><p-l> @បង្គួយព្រៃ</p-l></li></ul>	noun
basin	ˈbeɪsn	ˈបេយ៍សីន	<ul><li><p-n>(noun)</p-n><ol><li><p-l> @អាងទឹក, ចាន, ស្នូក </p-l><br/>wash ~<p-l> @ផើង</p-l></li><li><p-l> @ផ្ទែដីទំនាបដក់ទឹក </p-l></li><li><p-l> @ប្រភពដើមទឹក </p-l><br/>river ~<p-l> @ជ្រលសីមា </p-l></li><li><p-l> @ជ្រលង</p-l></li><li><p-l> @កន្លែងដែលអោយទូកចូលចតបាន</p-l></li></ol></li></ul>	noun
basin-stand	ˈbeɪsnsnstænd	ˈបេយ៍សីនស្ទែនដ៍	<ul><li><p-n>(noun)</p-n><p-l> @កន្លែងឈរលុបលាងមុខ</p-l></li></ul>	noun
basis	ˈbeɪsɪs	ˈបេយ៍ស៊ិស	<ul><li><p-n>(noun)</p-n><p-n>(pl. bases )</p-n><ol><li>​.<p-l> @ជំហរ, គោលការណ៍ដ៏សំខាន់ដែលជាមូលដ្ឋាននៃអ្វីមួយ</p-l><br/> ~ of a compound<p-l> @បាស</p-l> </li><li><p-l> @ចំណុចចាប់ផ្តើមសំរាប់ការពិភាក្សាមួយ</p-l></li><li><p-l> @កាលកំណត់</p-l></li></ol></li></ul>	noun
bask	ˈbaːsk; US bæsk	បាសខ៍រ​	<ul><li><p-n>(intransitive verb)</p-n>~ <p-n>(in sth)</p-n><p-l> @ដេកឬអង្គុយយកកំដៅថ្ងៃយ៉ាងរីករាយ, ដេកហាលថ្ងៃ, កំដៅ, ហាល (ឧ. ឆ្មាដេកហាលថ្ងៃ)</p-l>​<p-n>(Fig.)</p-n>bask in <p-n>(royal favor)</p-n><p-l> @សប្បាយរីករាយដោយទទួលនូវ</p-l></li><li><p-n>(transitive verb)</p-n><p-l> @ធ្វើអោយកក់ក្តៅ </p-l></li></ul>	intransitive verb
basket	ˈbaːskɪt; US ˈbæsk ɪt	ˈបាសឃីត	<ul><li><p-n>(noun)</p-n><ol><li>deep, tightly woven<p-l> @ល្អីឬកញ្ជើ</p-l></li><li>deep, loosely woven<p-l> @កញ្ច្រែង </p-l></li><li>bushel measure <p-n>(15kilo)</p-n><p-l> @តៅ </p-l></li><li>quarterbushel measure<p-l> @កន្ថាំង</p-l></li><li>tall, crudely woven<p-l> @កញ្ជើ </p-l></li><li> small, crudely woven<p-l> @ជាល </p-l></li><li>shallow, with handles for moving earth<p-l> @បង្គី </p-l></li><li>shallow, for winnowing<p-l> @ចង្អេរ </p-l></li><li>small, with handles<p-l> @កន្ត្រក</p-l></li></ol></li></ul>Idiom<ul><li>to be left in the basket<p-l> @ត្រូវបំភ្លេច​</p-l> put all one's eggs in/into one basket<p-l> @ប្រថុយថាអ្វីអាចនឹងមាន ឬទទួលបានជោគជ័យនៃគំរោងការអ្វីមួយ</p-l></li></ul>	noun
basketball	ˈbɑːskɪtbɔːl; US ˈbæs	ˈបាសឃីតបល	<ul><li><p-n>(noun)</p-n><p-l> @កីឡាបាល់បោះ</p-l><br/> play ~<p-l> @បាសស្តេតបាល់, បាល់បោះ</p-l></li></ul>	noun
basketry	ˈbɑːskɪtrɪ	ˈបាសឃិធ្រី	<ul><li><p-n>(noun)</p-n><p-l> @របរកស៊ីត្បាញកញ្ជើ, ល្អី</p-l></li></ul>	noun
basketwork	ˈbɑːskɪtwɜːk	ˈបាសឃីតវ៉ឺក	<ul><li><p-n>(noun)</p-n><p-l> @ការត្បាញរវៃ</p-l></li></ul>	noun
bass (1)	bæs	ប៊ែស	<ul><li><p-n>(noun)</p-n><ol><li><p-l> @ហ្គីតា,</p-l></li><li><p-l> @អ្នកចំរៀងសំលេងគ្រលរ </p-l><br/></li><li>sing ~<p-l> @ផ្នែកសំឡេងគ្រលរ </p-l><br/>He's a ~<p-l> @អ្នកចំរៀងសំឡេងគ្រលរ </p-l></li><li>doublebass<p-l> @ឧបករណ៍ម៉្យាងស្រដៀងវីយូឡុង</p-l></li></ol></li><li>bass <p-n>(adjective)</p-n>~ note<p-l> @គ្រលរ, ធំ (សំឡេង) </p-l></li></ul>	noun
bass (2)	bæs	ប៊ែស	<ul><li><p-n>(noun)</p-n><p-l> @ត្រីចំពុះទា, សំបកដើមក្រូចឆ្មារ</p-l></li></ul>	noun
bassinet	ˈbæsɪnet	ˈប៊ែស៊ិណេត	<ul><li><p-n>(noun)</p-n><p-l> @គ្រែកូនង៉ែតយ៉ាងតូច</p-l></li></ul>	noun
bassoon	bəˈsuːn	បឺˈស៊ូន	<ul><li><p-n>(noun)</p-n><p-l> @ប៉ី, ប៉ីម៉្យាង</p-l></li><li>bassoonist <p-n>(noun)</p-n><p-l> @អ្នកលេងប៉ីម៉្យាង </p-l></li></ul>	noun
bassoonist			<ul><li>&nbsp;<p-n>(noun)</p-n><p-l> @អ្នកលេងប៉ីម៉្យាង</p-l></li></ul>	noun
bast	bæst	ប៊ែសថ៍	<ul><li><p-n>(noun)</p-n><p-l> @សរសៃសំបកឈើសំរាប់ត្បាញ</p-l></li></ul>	noun
bastard	ˈbɑːstəd; US ˈbæs-	ˈបាសថឹដ	<ul><li><p-n>(noun)</p-n><ol><li><p-l> @ក្មេងដែលកើតពីឪពុកនិងម្តាយឥតបានរៀបការ, កូនឥតខាន់ស្លា​</p-l></li><li><p-l> @វត្ថុចង្រៃ</p-l></li><li><p-l> @មនុស្សអាក្រក់ </p-l><br/>The bolt is a ~<p-l> @អ្វីខុសខ្នាត </p-l>That bastard!<p-l> @អាចង្រៃ !​អាចោរម៉្រាយ !</p-l></li></ol></li><li><p-n>(adjective)</p-n><ol><li><p-l> @ដែលឥតខាន់ស្លា </p-l><br/>~ child<p-l> @ឥតខាន់ស្លា </p-l></li><li><p-l> @ដែលខុសខ្នាត </p-l><br/>~ size<p-l> @ខុសខ្នាត</p-l></li></ol></li><li>bastardiszation,-isation <p-n>(noun)</p-n><p-l> @ការបង្កើតមិនត្រឹមត្រូវតាមច្បាប់</p-l></li><li>bastardize,-ise <p-n>(transitive verb)</p-n><p-l> @បង្កើតមិនត្រូវតាមច្បាប់</p-l></li><li>bastardy <p-n>(noun)</p-n><p-l> @កូនឥតខាន់ស្លា, ការកើតពីអ្នកមិនបានរៀបការ</p-l></li></ul>	noun
bastardiszation,-isation			<ul><li>&nbsp;<p-n>(noun)</p-n><p-l> @ការបង្កើតមិនត្រឹមត្រូវតាមច្បាប់</p-l></li></ul>	noun
bastardize,-ise	ˈbɑːstədɑɪz; US ˈbæs-	ˈបាស្ទឹឌីស្ស៍	<ul><li><p-n>(transitive verb)</p-n><p-l> @បង្កើតមិនត្រូវតាមច្បាប់</p-l></li></ul>	transitive verb
bastardy	ˈbɑːstədɪ	ˈបាស្ទឹឌី	<ul><li>&nbsp;<p-n>(noun)</p-n><p-l> @កូនឥតខាន់ស្លា, ការកើតពីអ្នកមិនបានរៀបការ</p-l></li></ul>	noun
baste (1)	beɪst	ប៊ែសថ៍	<ul><li><p-n>(transitive verb)</p-n><p-l> @ដាន, ដេរដាន</p-l></li><li>baster <p-n>(noun)</p-n><p-l> @អ្នកដេរដាន </p-l></li></ul>	transitive verb
baste (2)	beɪst	ប៊ែសថ៍	<ul><li><p-n>(transitive verb)</p-n><p-l>@. លាបខ្លាញ់លើសាច់(អាំងឬដុត)</p-l></li></ul>	transitive verb
baste (3)	ˈbeɪst	ˈប៊ែសថ៍	<ul><li><p-n>(verb)</p-n><p-l> @វាយ​(ខ្លាំង)​ស្តិបន្ទោសយ៉ាងខ្លាំង</p-l></li></ul>	verb
baster			<ul><li>&nbsp;<p-n>(noun)</p-n><p-l> @អ្នកដេរដាន</p-l></li></ul>	noun
bastille,-ile	bɑːˈstɪl បា	បាˈស្ទីឡ៍	<ul><li><h2><p-n>(noun)</p-n><p-l> @រោងយាមតូចៗ, ប៉មតូចនៃបា្រសាទ</h2></p-l></li></ul>	noun
bastinado	ˌbæstɪˈbaːdəʊˌ-ˈneɪd-	ប៊ែស្ទីˈណាដូ	<ul><li><p-n>(noun)</p-n><p-n>(pl.~ s)</p-n><p-l> @វាយបាតជើងនឹងដំបង</p-l></li><li><p-n>(transitive verb)</p-n><p-l> @ដាក់ទណ្ឌកម្ម(ដោយវាយបាតជើង) </p-l></li></ul>	noun
