(42) @LUK 1:56	<p-n>@Lucas 1:56</p-n>	María se quedó con Elisabet cerca de tres meses y después regresó a su casa.
(42) @LUK 1:57	<p-n>@Lucas 1:57</p-n>	Ahora el tiempo ha llegado para Elisabet de parir su bebé y ella dio a luz a su hijo.
(42) @LUK 1:58	<p-n>@Lucas 1:58</p-n>	Sus vecinos y parientes escucharon que el Señor había mostrado su gran misericordioso con ella y se regocijaron.
(42) @LUK 1:59	<p-n>@Lucas 1:59</p-n>	Ahora ocurrió que al octavo día ellos llegaron a circuncidar al niño. Ellos lo llamarían "Zacarías", como el nombre de su padre.
(42) @LUK 1:60	<p-n>@Lucas 1:60</p-n>	Pero su madre respondió diciendo: "No. Él será llamado Juan."
(42) @LUK 1:61	<p-n>@Lucas 1:61</p-n>	Ellos le dijeron: "No hay nadie entre tus parientes que se llame por ese nombre."
(42) @LUK 1:62	<p-n>@Lucas 1:62</p-n>	Ellos hicieron señas a su padre preguntándole cómo él quería que fuese llamado.
(42) @LUK 1:63	<p-n>@Lucas 1:63</p-n>	Su padre pidió una tabla para escribir y escribió: "Su nombre es Juan." Todos ellos se sorprendieron con esto.
(42) @LUK 1:64	<p-n>@Lucas 1:64</p-n>	Inmediatamente su boca fue abierta y su lengua fue liberada. Él habló y alabó a Dios.
(42) @LUK 1:65	<p-n>@Lucas 1:65</p-n>	Temor sobrevino a todos los que vivían alrededor de ellos. Todas estas cosas fueron comentadas a través de toda la zona montañosa de Judea.
(42) @LUK 1:66	<p-n>@Lucas 1:66</p-n>	Y todos los que escucharon lo guardaron en sus corazones y dijeron "¿En qué se convertirá este niño?" Pues la mano del Señor estaba con él.
(42) @LUK 1:67	<p-n>@Lucas 1:67</p-n>	Su padre Zacarías fue lleno con el Espíritu Santo y profetizó, diciendo:
(42) @LUK 1:68	<p-n>@Lucas 1:68</p-n>	"Alabado sea el Señor, el Dios de Israel, porque Él ha venido a ayudar y Él ha redimido a su pueblo.
(42) @LUK 1:69	<p-n>@Lucas 1:69</p-n>	Él ha levantado un cuerno de salvación para nosotros en la casa de su siervo David,
(42) @LUK 1:70	<p-n>@Lucas 1:70</p-n>	tal como Él habló a través de la boca de sus santos profetas quienes vinieron en tiempos antiguos.
(42) @LUK 1:71	<p-n>@Lucas 1:71</p-n>	Él traerá salvación de nuestros enemigos y de la mano de todos quienes nos odian.
(42) @LUK 1:72	<p-n>@Lucas 1:72</p-n>	Él hará esto para mostrar misericordia a nuestros padres y para recordar su santo pacto,
(42) @LUK 1:73	<p-n>@Lucas 1:73</p-n>	el juramento que Él hizo a Abraham nuestro padre.
(42) @LUK 1:74	<p-n>@Lucas 1:74</p-n>	Él juró concedernos que nosotros, habiendo sido liberados de la mano de nuestros enemigos, le sirvamos sin temor,
(42) @LUK 1:75	<p-n>@Lucas 1:75</p-n>	en santidad y justicia ante Él todos nuestros días.
(42) @LUK 1:76	<p-n>@Lucas 1:76</p-n>	Sí, y tú, niño, serás llamado un profeta del Más Alto, pues tú irás delante del Señor para preparar su camino.
(42) @LUK 1:77	<p-n>@Lucas 1:77</p-n>	para dar conocimiento de salvación a su pueblo mediante el perdón de sus pecados.
(42) @LUK 1:78	<p-n>@Lucas 1:78</p-n>	Esto ocurrirá por la tierna misericordia de nuestro Dios, por la cual la aurora de lo alto vendrá a ayudarnos,
(42) @LUK 1:79	<p-n>@Lucas 1:79</p-n>	para brillar en aquellos que se sientan en oscuridad y en sombra de muerte. Él hará esto para guiar nuestros pies a los caminos de paz."
(42) @LUK 1:80	<p-n>@Lucas 1:80</p-n>	Ahora el niño crecía se hacía fuerte en espíritu y vivía en el desierto hasta el día de su aparición pública a Israel.
(42) @LUK 2:1	<p-n>@Lucas 2:1</p-n>	En aquellos días, sucedió que César Augusto envió un decreto ordenando un censo de todas las personas viviendo en el mundo.
(42) @LUK 2:2	<p-n>@Lucas 2:2</p-n>	Este fue el primer censo hecho mientras Cirino era gobernador de Siria.
(42) @LUK 2:3	<p-n>@Lucas 2:3</p-n>	Así que todos se fueron a su propio pueblo para ser registrados para el censo.
(42) @LUK 2:4	<p-n>@Lucas 2:4</p-n>	José también partió de Galilea, desde la ciudad de Nazaret, a Judea, a la ciudad de David la cual es llamada Belén, porque él era un descendiente de la familia de David.
(42) @LUK 2:5	<p-n>@Lucas 2:5</p-n>	Él fue para registrarse juntamente con María, quien estaba comprometida con él y estaba encinta.
(42) @LUK 2:6	<p-n>@Lucas 2:6</p-n>	Aconteció que mientras estaban allí, vino el tiempo para que ella pariera su bebé.
(42) @LUK 2:7	<p-n>@Lucas 2:7</p-n>	Ella dio a luz un hijo, su hijo primogénito y lo envolvió en paños largos de tela y lo acostó en un pesebre, porque allí no había lugar para ellos en el mesón.
(42) @LUK 2:8	<p-n>@Lucas 2:8</p-n>	Allí había pastores de esa región que estaban quedándose en los campos, vigilando sus rebaños en la noche.
(42) @LUK 2:9	<p-n>@Lucas 2:9</p-n>	Un ángel del Señor se les apareció y la gloria del Señor brilló alrededor de ellos por lo que estaban terriblemente asustados.
(42) @LUK 2:10	<p-n>@Lucas 2:10</p-n>	Entonces el ángel les dijo a ellos: "No tengan miedo porque yo les traigo buenas noticias que les traerán gran gozo para todos.
(42) @LUK 2:11	<p-n>@Lucas 2:11</p-n>	¡Hoy, un Salvador ha nacido para ustedes en la ciudad de David! ¡Él es Cristo el Señor!
(42) @LUK 2:12	<p-n>@Lucas 2:12</p-n>	Esta es la señal que le será dada, a ustedes, encontrarán al bebé envuelto en tiras de tela y acostado en un pesebre."
(42) @LUK 2:13	<p-n>@Lucas 2:13</p-n>	De repente, con el ángel, hubo un gran número del ejército celestial alabando a Dios y diciendo:
(42) @LUK 2:14	<p-n>@Lucas 2:14</p-n>	"Gloria a Dios en las alturas y paz en la tierra entre los hombres con quienes Él esté complacido."
(42) @LUK 2:15	<p-n>@Lucas 2:15</p-n>	Y sucedió que cuando los ángeles se habían ido al cielo, los pastores se dijeron unos a otros: "Vayamos ahora a Belén y veamos esto que ha sucedido, lo cual el Señor nos ha revelado".
(42) @LUK 2:16	<p-n>@Lucas 2:16</p-n>	Ellos se apresuraron allí y encontraron a María y a José y vieron al bebé acostado en el pesebre.
(42) @LUK 2:17	<p-n>@Lucas 2:17</p-n>	Después de haberlo visto, ellos le hicieron conocer lo que se había dicho sobre este niño.
(42) @LUK 2:18	<p-n>@Lucas 2:18</p-n>	Todos los que escucharon esto estaban asombrados de lo que le habían hablado los pastores.
(42) @LUK 2:19	<p-n>@Lucas 2:19</p-n>	Pero María seguía pensando sobre todas las cosas que ella había escuchado, atesorándolas en su corazón.
(42) @LUK 2:20	<p-n>@Lucas 2:20</p-n>	Los pastores regresaron, glorificando y alabando a Dios por todo lo que ellos habían escuchado y visto, tal y como se les había hablado a ellos.
(42) @LUK 2:21	<p-n>@Lucas 2:21</p-n>	Al octavo día, Él fue circuncidado, fue nombrado Jesús, el nombre que le había sido dado por el ángel antes de que Él fuese concebido en el vientre.
(42) @LUK 2:22	<p-n>@Lucas 2:22</p-n>	Cuando el número de días requeridos para la purificación de ellos había pasado, de acuerdo con la Ley de Moisés, José y María lo trajeron al templo en Jerusalén para presentarlo al Señor.
(42) @LUK 2:23	<p-n>@Lucas 2:23</p-n>	Como está escrito en la ley del Señor: "Cada varón que abra el vientre será separado para el Señor."
(42) @LUK 2:24	<p-n>@Lucas 2:24</p-n>	Así que ellos ofrecieron sacrificio de acuerdo con lo que decía la ley del Señor: "un par de tórtolas o dos pichonas".
(42) @LUK 2:25	<p-n>@Lucas 2:25</p-n>	He aquí, había un hombre en Jerusalén cuyo nombre era Simeón y este hombre era justo y devoto. Él estaba esperando la consolación de Israel y el Espíritu Santo estaba sobre él.
(42) @LUK 2:26	<p-n>@Lucas 2:26</p-n>	Había sido revelado, a él, por el Espíritu Santo, que él no vería muerte antes de ver al Cristo del Señor.
(42) @LUK 2:27	<p-n>@Lucas 2:27</p-n>	Dirigido por el Espíritu, Simeón entró al templo. Cuando los padres trajeron al infante Jesús, para hacer con Él de acuerdo a la costumbre de la ley,
(42) @LUK 2:28	<p-n>@Lucas 2:28</p-n>	él tomó al niño en sus brazos y alabó a Dios y dijo:
(42) @LUK 2:29	<p-n>@Lucas 2:29</p-n>	"Ahora deja que tu siervo parta en paz, Señor, de acuerdo con tu palabra.
(42) @LUK 2:30	<p-n>@Lucas 2:30</p-n>	Pues mis ojos han visto tu salvación,
(42) @LUK 2:31	<p-n>@Lucas 2:31</p-n>	la cual Tú has preparado en presencia de todos los pueblos.
(42) @LUK 2:32	<p-n>@Lucas 2:32</p-n>	Una luz para revelación a los gentiles, y gloria a tu pueblo Israel.
(42) @LUK 2:33	<p-n>@Lucas 2:33</p-n>	El padre y la madre del niño estaban asombrados por las cosas que fueron dichas concernientes a Él.
(42) @LUK 2:34	<p-n>@Lucas 2:34</p-n>	Simeón los bendijo y dijo a María su madre: "He aquí, este niño está escogido para la caída y levantamiento de muchos en Israel y una señal que es rechazada-
(42) @LUK 2:35	<p-n>@Lucas 2:35</p-n>	y una espada traspasará tu propia alma para que los pensamientos de muchos corazones puedan ser revelados."
(42) @LUK 2:36	<p-n>@Lucas 2:36</p-n>	Una profetisa llamada Ana estaba allí. Ella era la hija de Fanuel de la tribu de Aser. Ella era muy anciana. Había vivido con su esposo por siete años después de su virginidad
(42) @LUK 2:37	<p-n>@Lucas 2:37</p-n>	y fue una viuda por ochenta y cuatro años. Ella nunca dejó el templo, sino que servía con ayunos y oraciones, noche y día.
(42) @LUK 2:38	<p-n>@Lucas 2:38</p-n>	En esa misma hora, ella vino hacia ellos y comenzó a darle gracias a Dios y ella habló acerca del niño a todos los que habían estado esperando por la redención de Jerusalén.
(42) @LUK 2:39	<p-n>@Lucas 2:39</p-n>	Cuando terminaron todo lo que se les requería hacer de acuerdo a la ley del Señor, ellos regresaron a Galilea, a su propio pueblo de Nazaret.
(42) @LUK 2:40	<p-n>@Lucas 2:40</p-n>	El niño creció y se fortaleció, incrementando en sabiduría y la gracia de Dios estaba sobre Él.
(42) @LUK 2:41	<p-n>@Lucas 2:41</p-n>	Sus padres fueron cada año a Jerusalén para las fiestas de la Pascua.
(42) @LUK 2:42	<p-n>@Lucas 2:42</p-n>	Cuando Él tenía doce años, ellos otra vez subieron para el tiempo acostumbrado para la fiesta.
(42) @LUK 2:43	<p-n>@Lucas 2:43</p-n>	Después que ellos se habían quedado el número de días completo para la fiesta, comenzaron a regresar a su hogar. Pero el niño Jesús se quedó atrás en Jerusalén y sus padres no lo sabían.
(42) @LUK 2:44	<p-n>@Lucas 2:44</p-n>	Ellos se imaginaron que Él estaba con el grupo que estaba viajando con ellos, así que viajaron un día de jornada. Entonces comenzaron a buscarlo entre sus familiares y amigos.
(42) @LUK 2:45	<p-n>@Lucas 2:45</p-n>	Cuando no lo encontraron, regresaron a Jerusalén y comenzaron a buscarlo allí.
(42) @LUK 2:46	<p-n>@Lucas 2:46</p-n>	Sucedió que después de tres días, ellos lo encontraron en el templo, sentado en el medio de los maestros, escuchándolos y haciéndoles preguntas.
(42) @LUK 2:47	<p-n>@Lucas 2:47</p-n>	Todos los que le escucharon estaban maravillados de su entendimiento y sus respuestas.
(42) @LUK 2:48	<p-n>@Lucas 2:48</p-n>	Cuando ellos lo vieron, estaban asombrados. Su madre le dijo: "Hijo, ¿por qué nos has tratado de esta manera? Escucha, tu padre y yo hemos estado buscándote ansiosamente".
(42) @LUK 2:49	<p-n>@Lucas 2:49</p-n>	Él les dijo: "¿Por qué me están buscando? ¿Acaso no saben que Yo debo estar en la casa de mi Padre?
(42) @LUK 2:50	<p-n>@Lucas 2:50</p-n>	Pero ellos no entendieron lo que Él quiso decir con esas palabras.
(42) @LUK 2:51	<p-n>@Lucas 2:51</p-n>	Entonces Él regresó a su casa con ellos a Nazaret y fue obediente a ellos. Su madre atesoró todas estas cosas en su corazón.
(42) @LUK 2:52	<p-n>@Lucas 2:52</p-n>	Pero Jesús continuó creciendo en sabiduría y estatura e incrementando en favor para con Dios y los hombres.
(42) @LUK 3:1	<p-n>@Lucas 3:1</p-n>	En el año quince del reinado de Tiberio César- mientras Poncio Pilato era gobernador de Judea, Herodes era tetrarca de Galilea, su hermano Felipe era tetrarca de la región de Iturea y Traconítide, y Lisanias era tetrarca de Abilene,
(42) @LUK 3:2	<p-n>@Lucas 3:2</p-n>	durante el sumo sacerdocio de Anás y Caifás- la palabra de Dios vino a Juan hijo de Zacarías, en el desierto.
(42) @LUK 3:3	<p-n>@Lucas 3:3</p-n>	Él fue a toda la región alrededor del Jordán, predicando un bautismo de arrepentimiento para el perdón de pecados.
(42) @LUK 3:4	<p-n>@Lucas 3:4</p-n>	Como está escrito en el libro del profeta Isaías: "UNA VOZ DE UNO LLAMANDO EN EL DESIERTO: 'TENGAN LISTO EL CAMINO DEL SEÑOR, HAGAN SUS CAMINOS DERECHOS.
(42) @LUK 3:5	<p-n>@Lucas 3:5</p-n>	TODO VALLE SERA RELLENADO Y TODA MONTAÑA Y COLINA SERA REBAJADO Y LOS CAMINOS TORCIDOS SERÁN HECHOS RECTOS Y LOS LUGARES DESIGUALES SERÁN CONSTRUIDOS EN CAMINOS
(42) @LUK 3:6	<p-n>@Lucas 3:6</p-n>	Y TODA CARNE VERÁ LA SALVACIÓN DE DIOS.'"
(42) @LUK 3:7	<p-n>@Lucas 3:7</p-n>	Entonces Juan dijo a las grandes multitudes que salían para ser bautizados por él: "¡Ustedes, generación de víboras!, ¿Quién les advirtió a huir de la ira que está por venir?
(42) @LUK 3:8	<p-n>@Lucas 3:8</p-n>	Por lo tanto, produzcan frutos que sean dignos de arrepentimiento y no comiencen a decir entre ustedes mismos: 'Nosotros tenemos a Abraham por nuestro padre', porque yo les digo que Dios es capaz de levantar hijos para Abraham de estas piedras.
(42) @LUK 3:9	<p-n>@Lucas 3:9</p-n>	Ahora el hacha ya ha sido puesta contra la raíz de los árboles. Así que todo árbol que no produce buen fruto es cortado y lanzado en el fuego."
(42) @LUK 3:10	<p-n>@Lucas 3:10</p-n>	Entonces la multitud le preguntaba: "¿Entonces qué debemos hacer?"
(42) @LUK 3:11	<p-n>@Lucas 3:11</p-n>	Él les contestó: "Si alguien tiene dos túnicas, debe compartir una con la persona que no tiene ninguna y el que tenga comida debe hacer lo mismo."
(42) @LUK 3:12	<p-n>@Lucas 3:12</p-n>	Los recaudadores de impuestos también vinieron para ser bautizados y ellos le dijeron: "Maestro, ¿qué debemos hacer?"
(42) @LUK 3:13	<p-n>@Lucas 3:13</p-n>	Él les dijo a ellos: "No cobren más dinero de lo que ustedes han sido ordenados a cobrar".
(42) @LUK 3:14	<p-n>@Lucas 3:14</p-n>	Algunos soldados también le preguntaron: "¿Y qué sobre nosotros? ¿Qué debemos hacer?" Él dijo: "No tomen dinero de nadie por la fuerza y no acusen a nadie falsamente. Estén contentos con sus salarios."
(42) @LUK 3:15	<p-n>@Lucas 3:15</p-n>	Ahora como la gente estaba ansiosa esperando que el Cristo viniera, todos se preguntaban en sus corazones sobre sí Juan, sería el Cristo.
(42) @LUK 3:16	<p-n>@Lucas 3:16</p-n>	Juan contestó diciendo a todos ellos: "En cuanto a mí, yo los bautizo a ustedes con agua, pero alguien viene que es más poderoso que yo y yo no soy digno ni siquiera de desatar las correas de Sus sandalias. Él los bautizará a ustedes con el Espíritu Santo y con fuego.
(42) @LUK 3:17	<p-n>@Lucas 3:17</p-n>	Su aventador está en Su mano para limpiar completamente su era y para recoger el trigo en Su granero. Pero Él quemará la paja con fuego que nunca puede ser apagado."
(42) @LUK 3:18	<p-n>@Lucas 3:18</p-n>	Con muchas otras exhortaciones, además, Juan predicaba buenas noticias a las personas.
(42) @LUK 3:19	<p-n>@Lucas 3:19</p-n>	Cuando Herodes el tetrarca fue reprendido por casarse con la esposa de su hermano, Herodías, y por todas las cosas malas que Herodes había hecho,
(42) @LUK 3:20	<p-n>@Lucas 3:20</p-n>	él añadió esto a sus crímenes: encerró a Juan en prisión.
(42) @LUK 3:21	<p-n>@Lucas 3:21</p-n>	Ahora vino a ser que, cuando todas las personas fueron bautizadas, Jesús también fue bautizado. Y mientras él estaba orando, los cielos se abrieron
(42) @LUK 3:22	<p-n>@Lucas 3:22</p-n>	y El Espíritu Santo bajó sobre Él en forma de paloma y una voz salió de los cielos: "Tú eres mi Hijo, a quien Yo amo. Yo estoy complacido contigo."
(42) @LUK 3:23	<p-n>@Lucas 3:23</p-n>	Cuando Jesús comenzó su ministerio, él era como de treinta años de edad. Él era el hijo (como se suponía) de José, el hijo de Elí,
(42) @LUK 3:24	<p-n>@Lucas 3:24</p-n>	el hijo de Matat, el hijo de Leví, el hijo de Melqui, el hijo de Jana, el hijo de José.
(42) @LUK 3:25	<p-n>@Lucas 3:25</p-n>	José era el hijo de Matatías, el hijo de Amós, el hijo de Nahúm, el hijo de Esli, el hijo de Nagai,
(42) @LUK 3:26	<p-n>@Lucas 3:26</p-n>	el hijo de Maat, el hijo de Matatías, el hijo de Semei, el hijo de José, el hijo de Judá.
(42) @LUK 3:27	<p-n>@Lucas 3:27</p-n>	Judá era el hijo de Joana, el hijo de Resa, el hijo de Zorobabel, el hijo de Salatiel, el hijo de Neri,
(42) @LUK 3:28	<p-n>@Lucas 3:28</p-n>	el hijo de Melqui, el hijo de Adi, el hijo de Cosam, el hijo de Elmodam, el hijo de Er,
(42) @LUK 3:29	<p-n>@Lucas 3:29</p-n>	el hijo de Josué, el hijo de Eliezer, el hijo de Jorim, el hijo de Matat, el hijo de Leví.
(42) @LUK 3:30	<p-n>@Lucas 3:30</p-n>	Leví era el hijo de Simeón, el hijo de Judá, el hijo de José, el hijo de Jonán, el hijo de Eliaquim,
(42) @LUK 3:31	<p-n>@Lucas 3:31</p-n>	el hijo de Melea, el hijo de Mainán, el hijo de Matata, el hijo de Natán, el hijo de David,
(42) @LUK 3:32	<p-n>@Lucas 3:32</p-n>	el hijo de Isaí, el hijo de Obed, el hijo de Booz, el hijo de Salmón, el hijo de Naasón.
(42) @LUK 3:33	<p-n>@Lucas 3:33</p-n>	Naasón era el hijo de Aminadab, el hijo de Admín, el hijo de Aram, el hijo de Esrom, el hijo de Fares, el hijo de Judá,
(42) @LUK 3:34	<p-n>@Lucas 3:34</p-n>	el hijo de Jacob, el hijo de Isaac, el hijo de Abraham, el hijo de Taré, el hijo de Nacor,
(42) @LUK 3:35	<p-n>@Lucas 3:35</p-n>	el hijo de Serug, el hijo de Ragau, el hijo de Peleg, el hijo de Heber, el hijo de Sala.
(42) @LUK 3:36	<p-n>@Lucas 3:36</p-n>	Sala era el hijo de Cainán, el hijo de Arfaxad, el hijo de Sem, el hijo de Noé, el hijo de Lamec,
(42) @LUK 3:37	<p-n>@Lucas 3:37</p-n>	el hijo de Matusalén, el hijo de Enoc, el hijo de Jared, el hijo de Mahalaleel, el hijo de Cainán,
(42) @LUK 3:38	<p-n>@Lucas 3:38</p-n>	el hijo de Enós, el hijo de Set, el hijo de Adán, el hijo de Dios.
(42) @LUK 4:1	<p-n>@Lucas 4:1</p-n>	Entonces Jesús, lleno del Espíritu Santo, regresó del Río Jordán y fue dirigido por el Espíritu al desierto
(42) @LUK 4:2	<p-n>@Lucas 4:2</p-n>	donde por cuarenta días Él fue tentado por el diablo. Él no comió nada durante esos días y al final de ese tiempo Él tenía hambre.
(42) @LUK 4:3	<p-n>@Lucas 4:3</p-n>	El diablo le dijo: "Si Tú eres el Hijo de Dios, manda que estas rocas se conviertan en pan."
(42) @LUK 4:4	<p-n>@Lucas 4:4</p-n>	Jesús le contestó "Escrito está: 'NO SÓLO DE PAN VIVIRÁ EL HOMBRE.'"
(42) @LUK 4:5	<p-n>@Lucas 4:5</p-n>	Entonces el diablo dirigió a Jesús a un lugar alto y mostró todos los reinos del mundo en un instante.
(42) @LUK 4:6	<p-n>@Lucas 4:6</p-n>	El diablo le dijo: "Te daré toda esta potestad y todo su esplendor, pues ellos me han sido dados a mí y yo puedo darlos a quien yo quiera.
(42) @LUK 4:7	<p-n>@Lucas 4:7</p-n>	Por lo tanto, si Tú te postras y me adoras, será tuyo."
(42) @LUK 4:8	<p-n>@Lucas 4:8</p-n>	Pero Jesús le contestó: "Escrito está: 'ADORARÁS AL SEÑOR TU DIOS Y LE SERVIRÁS SÓLO A ÉL.''
(42) @LUK 4:9	<p-n>@Lucas 4:9</p-n>	Luego, el diablo dirigió a Jesús a Jerusalén y lo puso en el punto más alto del edificio del templo y le dijo: "Si Tú eres el Hijo de Dios, tírate de aquí.
(42) @LUK 4:10	<p-n>@Lucas 4:10</p-n>	Pues, escrito está: 'ÉL MANDARÁ A SUS ÁNGELES PARA CUIDAR DE TI, PARA PROTEGERTE',
(42) @LUK 4:11	<p-n>@Lucas 4:11</p-n>	y 'ELLOS TE LEVANTARÁN EN SUS MANOS, PARA QUE NO TROPIECE TU PIE CON PIEDRA.'"
(42) @LUK 4:12	<p-n>@Lucas 4:12</p-n>	Y contestándole, Jesús le dijo: "Está dicho: 'NO PONGAS AL SEÑOR TU DIOS A PRUEBA.'"
(42) @LUK 4:13	<p-n>@Lucas 4:13</p-n>	Cuando el diablo terminó de tentar a Jesús, se fue y lo dejó por un tiempo.
(42) @LUK 4:14	<p-n>@Lucas 4:14</p-n>	Luego Jesús regresó a Galilea en el poder del Espíritu y noticias sobre Él se esparcieron por todas las regiones de alrededor.
(42) @LUK 4:15	<p-n>@Lucas 4:15</p-n>	Él comenzó a enseñar en las sinagogas y era alabado por todos.
(42) @LUK 4:16	<p-n>@Lucas 4:16</p-n>	Él vino a Nazaret, la ciudad donde lo habían criado, y como era su costumbre, entró a la sinagoga en el día de reposo, como su costumbre, y se levantó a leer en voz alta.
(42) @LUK 4:17	<p-n>@Lucas 4:17</p-n>	El rollo del profeta Isaías le fue entregado. Abrió el rollo y encontró el lugar donde estaba escrito:
(42) @LUK 4:18	<p-n>@Lucas 4:18</p-n>	"EL ESPÍRITU DEL SEÑOR ESTÁ SOBRE MÍ, PORQUE ÉL ME HA UNGIDO PARA DECIR LAS BUENAS NUEVAS A LOS POBRES. ÉL ME HA ENVIADO A PROCLAMAR LIBERTAD A LOS CAUTIVOS Y A RECOBRAR LA VISTA A LOS CIEGOS, A LIBERTAR A AQUELLOS QUIENES ESTÁN OPRIMIDOS,
(42) @LUK 4:19	<p-n>@Lucas 4:19</p-n>	A PROCLAMAR EL AÑO FAVORABLE DEL SEÑOR."
(42) @LUK 4:20	<p-n>@Lucas 4:20</p-n>	Luego, enrolló el manuscrito, lo dio de vuelta al asistente y se sentó. Los ojos de todos en la sinagoga estaban fijos en Él.
(42) @LUK 4:21	<p-n>@Lucas 4:21</p-n>	Él comenzó a hablarles: "Hoy esta Escritura se ha cumplido en su presencia."
(42) @LUK 4:22	<p-n>@Lucas 4:22</p-n>	Todos fueron testigos de lo que Él dijo y todos estaban asombrados de las palabras con gracia que habían salido de su boca. Decían: "No es este el hijo de José,"
(42) @LUK 4:23	<p-n>@Lucas 4:23</p-n>	Él les dijo: "Ciertamente ustedes citaran este refrán: "Médico, cúrate a ti mismo. Lo que sea que hayamos oído que tú hiciste en Capernaúm, haz lo mismo en tu ciudad."
(42) @LUK 4:24	<p-n>@Lucas 4:24</p-n>	Pero Él dijo: "Ciertamente les digo que, ningún profeta es bienvenido en su propia ciudad.
(42) @LUK 4:25	<p-n>@Lucas 4:25</p-n>	Pero Yo les digo en verdad, que había muchas viudas en Israel durante el tiempo de Elías, cuando el cielo se cerró por tres años y medio, cuando una hambruna vino sobre toda la tierra.
(42) @LUK 4:26	<p-n>@Lucas 4:26</p-n>	Pero Elías no fue enviado a ninguna de ellas, sino sólo a Sarepta en Sidón, a una viuda viviendo allí.
(42) @LUK 4:27	<p-n>@Lucas 4:27</p-n>	Y había muchos leprosos en Israel durante el tiempo del profeta Elías, pero ninguno de ellos fue sanado, excepto Naamán el Sirio."
(42) @LUK 4:28	<p-n>@Lucas 4:28</p-n>	Todas las personas en la sinagoga se llenaron de ira cuando escucharon estas cosas.
(42) @LUK 4:29	<p-n>@Lucas 4:29</p-n>	Se levantaron y lo forzaron a salir de la ciudad y lo dirigieron a la cumbre del monte en el cual su ciudad fue construida, para ellos poder tirarlo por el precipicio.
(42) @LUK 4:30	<p-n>@Lucas 4:30</p-n>	Pero Él pasó por en medio de ellos y fue a otro lugar.
(42) @LUK 4:31	<p-n>@Lucas 4:31</p-n>	Entonces Él bajó a Capernaúm, una ciudad en Galilea, y comenzó a enseñarles en el día de reposo.
(42) @LUK 4:32	<p-n>@Lucas 4:32</p-n>	Ellos estaban asombrados en su enseñanza, porque habló con autoridad.
(42) @LUK 4:33	<p-n>@Lucas 4:33</p-n>	Ahora, en la sinagoga, había un hombre que tenía el espíritu de un demonio inmundo y gritaba en alta voz:
(42) @LUK 4:34	<p-n>@Lucas 4:34</p-n>	" ¡Ah! ¿Qué tenemos nosotros que ver contigo, Jesús de Nazaret? ¿Has venido a destruirnos? ¡Yo sé quién eres Tú eres el Santo de Dios!"
(42) @LUK 4:35	<p-n>@Lucas 4:35</p-n>	Jesús reprendió al demonio, diciendo: "¡No hables y sal de él!" Cuando el demonio arrojó al hombre al suelo en medio de ellos, salió de él, y no lo dañó en ninguna manera.
(42) @LUK 4:36	<p-n>@Lucas 4:36</p-n>	Toda la gente estaba muy asombrada y continuaban hablando sobre eso los unos con los otros. Ellos dijeron: "¿Qué clase de palabras son éstas? Pues con autoridad y poder Él manda a los espíritus impuros y ellos salen."
(42) @LUK 4:37	<p-n>@Lucas 4:37</p-n>	Así que las noticias sobre Él comenzaron a esparcirse a todas partes de la región de alrededor.
(42) @LUK 4:38	<p-n>@Lucas 4:38</p-n>	Entonces Jesús salió de la sinagoga y entró a la casa de Simón. Ahora, la suegra de Simón estaba sufriendo con una fiebre alta y ellos suplicaron a Él en nombre de ella.
(42) @LUK 4:39	<p-n>@Lucas 4:39</p-n>	Así que, Él se inclinó sobre ella y reprendió la fiebre y la fiebre la dejó. Inmediatamente, ella se levantó y comenzó a servirles.
(42) @LUK 4:40	<p-n>@Lucas 4:40</p-n>	Cuando el sol se ponía, gente le trajeron a Jesús todos los que estaban enfermos con varias clases de enfermedades. Él ponía sus manos sobre ellos, sobre cada uno de ellos y los sanaba.
(42) @LUK 4:41	<p-n>@Lucas 4:41</p-n>	Demonios también salieron de muchos de ellos, gritando y diciendo: "¡Tú eres el Hijo de Dios!" Jesús reprendía los demonios y no los dejaba hablar porque ellos sabían que Él era el Cristo.
(42) @LUK 4:42	<p-n>@Lucas 4:42</p-n>	Cuando el alba vino, Él fue a un lugar solitario. Multitudes de gente lo estaban buscando y vinieron al lugar donde Él estaba. Ellos intentaron evitar que se alejara de ellos.
(42) @LUK 4:43	<p-n>@Lucas 4:43</p-n>	Pero Él les dijo: "Yo también debo predicar las buenas nuevas del reino de Dios a muchas otras ciudades, porque esta es la razón por la cual Yo he sido enviado aquí."
(42) @LUK 4:44	<p-n>@Lucas 4:44</p-n>	Entonces continuó predicando en la sinagogas por Judea.
(42) @LUK 5:1	<p-n>@Lucas 5:1</p-n>	Ahora sucedió que, mientras las personas estaban amontonadas alrededor de Jesús escuchando la palabra de Dios,
(42) @LUK 5:2	<p-n>@Lucas 5:2</p-n>	Él estaba parado junto al lago de Genesaret. Él vio dos barcas a la orilla del lago. Los pescadores habían salido de ellas y estaban lavando sus redes.
(42) @LUK 5:3	<p-n>@Lucas 5:3</p-n>	Jesús se metió en una de las barcas, que era de Simón y le pidió que la alejara a una corta distancia de la orilla. Entonces Él se sentó y enseñó a las personas fuera de la barca.
(42) @LUK 5:4	<p-n>@Lucas 5:4</p-n>	Cuando terminó de hablar, le dijo a Simón: "Lleva la barca a aguas profundas y echa tus redes para pescar."
