realis	<p-n>noun</p-n> <ol><li>orang yang dalam tindakan, cara berpikir, dsb. selalu berpegang atau berdasarkan pernyataan<br></li><li>penganut paham realisme<br></li></ol>
realisasi	<p-n>noun</p-n> <ol><li>proses menjadikan nyata; perwujudan<br></li><li><p-n>slang</p-n> wujud; kenyataan; pelaksanaan yang nyata<br></li></ol>
realisme	<p-n>noun</p-n> <ol><li>paham atau ajaran yang selalu bertolak dari kenyataan<br></li><li>aliran kesenian yang berusaha melukiskan (menceritakan sesuatu sebagaimana kenyataannya)<br></li></ol>
realisme sosialis	<p-n>noun</p-n> estetika dan filsafat seni yang dirancang oleh Lenin, yang tunduk pada kaidah komunis dan menggambarkan perjuangan kaum proletar melawan kaum borjuis
realistis	<p-n>adj</p-n> bersifat nyata (real); bersifat wajar
realitas	<p-n>noun</p-n> kenyataan
realokasi	<p-n>noun</p-n> pengalokasian kembali
realpolitik	<p-n>noun</p-n> aliran (paham) dalam politik yang selalu ingin mendapatkan hasil yang nyata atau mengingatkan pada kenyataan
reasuransi	<p-n>noun</p-n> pengasuransian balik (oleh perusahaan asuransi) atas sesuatu yang telah diasuransikan oleh pihak lain (kepada perusahaan asuransi tersebut) kepada perusahaan asuransi lainnya
reba	<p-n>noun</p-n> <div class="tags"><p-n>Classical</p-n> , <p-n>archaic</p-n> </div>tumpukan pohon dan ranting (kering) yang sudah ditebang
rebab	<p-n>noun</p-n> alat musik gesek menyerupai biola bertali dua atau tiga, biasanya digesek dengan cara ditegakkan di lantai dan penggeseknya berada di belakang rebab
rebah	<p-n>verb</p-n> bergerak dari posisi berdiri ke posisi jatuh dan terbaring (seperti orang, pohon); terletak berbaring; roboh; tumbang:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Banyak pohon yang rebah ditiup angin kencang itu</div></div>
rebah bangun	<p-n>noun</p-n> putri malu, Mimosa pudica
rebah rempah	<p-n>noun</p-n> rebah terguling-guling
rebah-rebah	<p-n>verb</p-n> berbaring-baring untuk beristirahat:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">biasanya saya rebah-rebah sebentar sebelum pergi mengaji</div></div>
rebah-rebahan	@rebah-rebah	<p-n>verb</p-n> rebah-rebah
rebahan	<p-n>noun</p-n> <ol><li>tempat berbaring; pembaringan<br></li><li><p-n>slang</p-n> rebah-rebahan<br></li></ol>
rebahkan	<p-n>verb</p-n> bentuk transitif dari merebahkan<div class="form_of">Form of: merebahkan</div>
rebahnya	<p-n>noun</p-n> bentuk posesif orang ketiga dari rebah; rebah dia/orang tersebut<div class="form_of">Form of: ketiga</div>
rebak	<p-n>adj</p-n> robek panjang (kain, layar, dsb.); luka dalam (kena pisau dsb.)
reban	<p-n>noun</p-n> kandang ayam atau kandang itik yang terdapat di kolong atau di belakang rumah
rebana	<p-n>noun</p-n> gendang pipih bundar yang dibuat dari tabung kayu pendek dan agak lebar ujungnya, pada salah satu bagiannya diberi kulit
rebankan	<p-n>verb</p-n> bentuk transitif dari merebankan<div class="form_of">Form of: merebankan</div>
rebankanlah	<p-n>verb</p-n> bentuk imperatif dari rebankan<div class="form_of">Form of: rebankan</div>
rebas	<p-n>verb</p-n> bertitikan; berjatuhan (air, air mata); rabas
rebas-rebas	<p-n>noun</p-n> (hujan) rintik-rintik; gerimis
rebeh	<p-n>adj</p-n> tergantung terkulai (tentang sayap patah, layar robek, dsb.); tidak kaku lagi (tentang tepi topi dsb.); terkelepai
rebeh	<p-n>adj</p-n> <ol><li>compang-camping; rompang-ramping (tentang pakaian dsb.)<br></li><li>usang; buruk<br></li></ol>
rebek	<p-n>noun</p-n> kotoran mata:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Rebeknya masih ada (belum mandi atau belum cuci muka) sudah minta makan</div></div>
rebekan	<p-n>noun</p-n> kotor (tentang mata), belum cuci muka (mandi):<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">matanya masih rebekan sudah minta uang</div></div>
rebewes	<p-n>noun</p-n> surat izin mengemudi (mobil, motor)
reboisasi	<p-n>noun</p-n> penanaman kembali hutan yang telah ditebang (tandus, gundul); penghutanan kembali:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Pemerintah mengusahakan reboisasi dan rehabilitasi padang alang-alang</div></div><br><div>Antonyms: <p-a>deforestasi</p-a></div>
rebon	<p-n>noun</p-n> udang kecil-kecil; udang geragau; udang rebon
rebuk	<p-n>noun</p-n> <div class="tags"><p-n>Classical</p-n> , <p-n>archaic</p-n> </div>nanah (pada luka dsb.)
rebung	<p-n>noun</p-n> anak (bakal batang) buluh yang masih kecil dan masih muda, biasa dibuat sayur
rebus	<p-n>verb</p-n> [[]]<br><div>Synonyms: <p-a>merebus</p-a></div>
rebusan	<p-n>noun</p-n> sesuatu yang direbus; hasil merebus: | air hasil merebus atau air yang sudah dipakai untuk merebus sesuatu<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">air rebusan,</div></div>
rebut	<p-n>verb</p-n> rampas, ambil dengan paksa (barang orang)
rebutan	<p-n>noun</p-n> <ol><li>hasil merebut<br></li><li>yang direbut atau yang diperebutkan:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">ia seorang gadis cantik yang menjadi rebutan pemuda di kampungnya</div></div><br></li><li>perayaan (orang Tionghoa) dengan mengadakan sedekah yang diperebutkan orang banyak<br></li><li>perlombaan memanjat batang (batang pinang) yang dilumasi lemak untuk memperoleh barang-barang yang digantungkan pada puncaknya<br></li><li><p-n>slang</p-n> berebutan<br></li></ol>
reca	<p-n>noun</p-n> arca; patung
recak	<p-n>noun</p-n> <ol><li>burik yang tidak dalam; bopeng; bercak<br></li><li><div class="tags"><p-n>Classical</p-n> , <p-n>archaic</p-n> </div>beras recak<br></li></ol>
recak	<p-n>noun</p-n> <div class="tags"><p-n>Classical</p-n> , <p-n>archaic</p-n> </div>beras recak
recet	<p-n>verb</p-n> tiba-tiba menangis
recik	<p-n>verb</p-n> percik
recikan	<p-n>noun</p-n> percikan
recok	<p-n>adj</p-n> rewel; ribut; gaduh:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Anak muda yang bermabuk-mabukan itu sering membuat recok</div></div>
recokin	@recok	<p-n>verb</p-n> bentuk transitif dari merecok<div class="form_of">Form of: merecok</div>
recup	<p-n>noun</p-n> tunas atau kuncup yang baru keluar dari batang atau cabang; tumbuhan muda yang mulai keluar dan mulai tumbuh
reda	<p-n>verb</p-n> [[]]
redaksi	<p-n>noun</p-n> <ol><li>badan pada persuratkabaran yang memilih dan menyusun tulisan yang akan dimasukkan ke dalam surat kabar dsb.<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Anggota redaksi majalah itu terdiri atas para ahli.</div></div><br></li><li>cara dan gaya menyusun kata dalam kalimat<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Redaksi kalimat pengumuman itu kurang baik.</div></div><br></li></ol>
redaksi luar negeri	<p-n>noun</p-n> bagian redaksi berita luar negeri dari suatu terbitan pers
redaksional	<p-n>adj</p-n> mengenai cara dan gaya menyusun kata dalam kalimat:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Selain berbagai perubahan redaksional, diadakan juga penambahan beberapa kalimat yang lebih dapat menjelaskan arti</div></div>
redaktur	<p-n>noun</p-n> <ol><li>orang yang menangani bidang redaksi (misal redaktur artistik, redaktur fotografi, redaktur interior)<br></li><li>pemimpin (kepala atau penerbit) surat kabar dsb.<br></li></ol>
redaktur film	<p-n>noun</p-n> anggota redaksi yang ditugasi menyiapkan karangan atau tinjauan dunia film
redaktur kota	<p-n>noun</p-n> anggota redaksi yang menangani berita kota
redaktur malam	<p-n>noun</p-n> anggota redaksi yang ditugasi mengepalai atau bertanggung jawab pada malam hari dan ditugasi mempersiapkan naskah akhir
redaktur olahraga	<p-n>noun</p-n> anggota redaksi yang ditugasi mengurus berita-berita olahraga
redaktur pelaksana	<p-n>noun</p-n> redaktur yang memimpin langsung surat kabar, dsb
redam	<p-n>verb</p-n> [[]]<br><div>Synonyms: <p-a>meredam</p-a></div>
redam padam	<p-n>noun</p-n> <ol><li>padam sama sekali<br></li><li>rusak sekali<br></li></ol>
redam-redam	<p-n>adj</p-n> redam
redaman	<p-n>noun</p-n> hasil (perihal) meredam
redaman bunyi	<p-n>noun</p-n> alat untuk meredam bunyi
redaman suara	<p-n>noun</p-n> alat yang berfungsi meredam suara sehingga suara tidak terdengar:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Ia ditembak dengan senjata otomatis yang dilengkapi redaman suara sehingga tidak ada seorang pun yang tahu peristiwa itu</div></div>
redamnya	<p-n>noun</p-n> bentuk posesif orang ketiga dari redam; redam dia/orang tersebut<div class="form_of">Form of: ketiga</div>
redap	<p-n>noun</p-n> gendang (rebana) kecil; dap
redefinisi	<p-n>adj</p-n> kemampuan merumuskan batasan dengan melihatnya dari sudut lain, bukan dari cara yang lazim
redep-redup alang	<p-n>noun</p-n> <p-n>no-gloss</p-n> 
redep-redup bahasa	<p-n>noun</p-n> <p-n>figuratively</p-n> agak redup (gelap, suram)
redih	<p-n>noun</p-n> <p-n>archaic</p-n> semaian (padi dsb.)
redik	<p-n>verb</p-n> <p-n>archaic</p-n> hardik
redoks	<p-n>noun</p-n> reaksi kimia yang menyebabkan beralihnya elektron ke atom atau ke molekul lain
reduksi	<p-n>noun</p-n> pengurangan, pemotongan (harga dsb.):<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Toko itu memberikan reduksi 10% menjelang Lebaran</div></div>
reduksionisme	<p-n>noun</p-n> teori atau prosedur menyederhanakan gejala, data, dsb. yang kompleks sehingga menjadi tidak kompleks
redum	<p-n>noun</p-n> tiruan bunyi benda besar jatuh ke air
redum	<p-n>adj</p-n> <div class="tags"><p-n>Classical</p-n> , <p-n>archaic</p-n> </div>suram; redup; mendung; redam
redup	<p-n>adj</p-n> <ol><li>berawan (langit); tidak terang (cuaca); mendung<br></li><li>agak gelap karena terlindung awan; tidak panas:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Matahari redup</div></div><br></li><li>suram:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Lampu itu makin lama makin redup karena kekurangan minyak</div></div><br></li><li>berkurang; merosot (kekayaan, kemegahan)<br></li><li>mulai berhenti; reda (badai, cinta kasih, dsb.)<br></li><li>sayup-sayup; redam (suara, bunyi)<br></li><li><p-n>figuratively</p-n> tidak gembira:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Ia menyahut dengan redup</div></div><br></li></ol>
reduplikasi	<p-n>noun</p-n> proses atau hasil perulangan kata atau unsur kata, seperti kata rumah-rumah, tetamu, bolak-balik<div class="tags"><b>linguistics</b></div>
reduplikasi fonologis	<p-n>noun</p-n> pengulangan unsur fonologis, seperti fonem, suku kata, atau bagian kata yang tidak ditandai oleh perubahan makna, seperti:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">lelaki, pipi, kupu-kupu</div></div>
reduplikasi gramatikal	<p-n>noun</p-n> pengulangan fungsional suatu bentuk dasar yang mencakupi reduplikasi morfologis dan reduplikasi sintaksis
reduplikasi idiomatis	<p-n>noun</p-n> reduplikasi yang maknanya tidak dapat dijabarkan dari bentuk yang diulang (misal mata-mata artinya ?detektif?, tidak ada hubungannya dengan mata)
reduplikasi morfologis	<p-n>noun</p-n> pengulangan morfem yang menghasilkan kata (misal rumah-rumah, mengobar-ngobarkan)
reduplikasi sintaksis	<p-n>noun</p-n> pengulangan morfem karena tuntutan kaidah sintaksis, seperti pembentukan keterangan (misal jauh-jauh, didatanginya = walaupun jauh, didatanginya)
redut	<p-n>adj</p-n> mengkal; kesal; dongkol
reedukasi	<p-n>noun</p-n> pendidikan ulang
reekspor	<p-n>noun</p-n> pengiriman kembali barang-barang yang diimpor dari suatu negara (atau diekspor oleh negara itu) ke negara lain lagi dan/atau negara asal
referat	<p-n>noun</p-n> kertas kerja yang disampaikan dalam pertemuan ilmiah (seminar, konferensi); prasaran; makalah
referen	<p-n>noun</p-n> benda atau orang tertentu yang diacu oleh kata atau untaian kata dalam kalimat atau konteks tertentu<div class="tags"><b>linguistics</b></div>
referendaris	<p-n>noun</p-n> pegawai tinggi yang menduduki jabatan di departemen
referendum	<p-n>noun</p-n> penyerahan suatu masalah kepada orang banyak supaya mereka yang menentukannya (jadi, tidak diputuskan oleh rapat atau oleh parlemen); penyerahan suatu persoalan supaya diputuskan dengan pemungutan suara umum (semua anggota suatu perkumpulan atau segenap rakyat):<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Akan diadakan referendum di daerah jajahan itu bulan Maret yang akan datang</div></div>
referendum fakultatif	<p-n>noun</p-n> tidak wajib meminta pendapat rakyat secara langsung (bergantung pada keputusan penguasa), misal dalam penetapan undang-undang
referendum obligator	<p-n>noun</p-n> kewajiban meminta pendapat rakyat secara langsung dalam mengubah sesuatu, misal terhadap perubahan konstitusi
referensi	<p-n>noun</p-n> <ol><li>sumber acuan (rujukan, petunjuk):<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Kamus dapat dipakai sebagai bahan referensi</div></div><br></li><li>buku-buku yang dianjurkan oleh dosen kepada mahasiswanya untuk dibaca:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Buku wajib dan buku referensi tersedia lengkap di perpustakaan</div></div><br></li><li>buku perpustakaan yang tidak boleh dibawa ke luar, harus dibaca di tempat yang telah disediakan<br></li><li>hubungan antara referen dan lambang (bentuk bahasa) yang dipakai untuk mewakilinya<div class="tags"><b>linguistics</b></div><br></li></ol>
referensial	<p-n>adj</p-n> berhubungan dengan referensi
reflasi	<p-n>noun</p-n> usaha untuk mengembalikan nilai uang kepada nilai sebelum inflasi<div class="tags"><b>finance</b></div>
refleks	<p-n>noun</p-n> <ol><li>gerakan otomatis dan tidak dirancang terhadap rangsangan dari luar yang diberikan suatu organ atau bagian tubuh yang terkena<br></li><li>kemampuan alami dalam menanggapi dengan sangat cepatContoh :<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Refleksnya menangkap gelas yang jatuh benar-benar sangat cepat; Penjaga gawang itu punya refleks di atas rata-rata; Kucing dengan refleks mengagumkan bisa membalikkan tubuhnya sehingga kakinya sampai duluan di tanah saat terjatuh; Refleksku sekarang lebih lambat seiring bertambahnya usia</div></div><br></li><li>tindakan/gerakan tubuh yang terjadi dengan sendirinya sebagai tanggapan terhadap suatu rangsanganContoh :<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">perempuan itu dengan refleks berteriak saat pencopet melarikan tasnya; Dia dengan refleks menutup matanya saat bola itu mengarah kepadanya.</div></div><br></li></ol>
refleksi	<p-n>noun</p-n> <ol><li>pantulan bayangan yang terlihat pada cermin<br></li><li>sejenis pijat yang ditujukan untuk pengobatan dan peredaan tegangan<br></li><li>gerakan otot yang berada di luar kesadaran<br></li></ol>
refleksikan	<p-n>verb</p-n> bentuk transitif dari merefleksikan<div class="form_of">Form of: merefleksikan</div>
refleksikanlah	<p-n>verb</p-n> bentuk imperatif dari refleksikan<div class="form_of">Form of: refleksikan</div>
reflektif	<p-n>adj</p-n> gerakan badan di luar kemauan; secara refleks:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Ia merajuk dan menggaruk kepalanya secara reflektif</div></div>
reflektor	<p-n>noun</p-n> <ol><li>benda yang memantulkan cahaya (suara atau panas)<br></li><li>teleskop yang berkaca cekung untuk memantulkan dan memfokuskan cahaya<br></li></ol>
reflektor berkas laser	<p-n>noun</p-n> alat untuk memantulkan berkas laser yang dipancarkan melalui teleskop di bumi untuk mengukur waktu
reformasi	<p-n>noun</p-n> perubahan secara drastis untuk perbaikan (bidang sosial, politik, atau agama) dalam suatu masyarakat atau negara
reformasi ekonomi	<p-n>noun</p-n> perubahan secara drastis untuk perbaikan ekonomi dalam suatu masyarakat atau negara:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Perdana menteri yang baru telah menyapu kalangan oposisi dan memberikan serangan telak dengan reformasi ekonomi</div></div>
reformasi hukum	<p-n>noun</p-n> perubahan secara drastis untuk perbaikan dalam bidang hukum dalam suatu masyarakat atau negara
reformasi politik	<p-n>noun</p-n> perubahan secara drastis untuk perbaikan dalam bidang politik dalam suatu masyarakat atau negara
reformis	<p-n>noun</p-n> <ol><li>orang yang menganjurkan reformasi<br></li><li>orang yang mendukung reformasi<br></li></ol>
refraksi	<p-n>noun</p-n> penyimpangan arah rambat gelombang, misal dari gelombang cahaya atau bunyi, pada batas dua medium yang berbeda sifat optisnya; pembiasan<div class="tags"><b>physics</b></div>
refraktometer	<p-n>noun</p-n> <ol><li>alat untuk mengukur indeks refraksi<br></li><li>pengukur indeks pembiasan pada cairan yang dapat digunakan untuk mengukur kadar garam<br></li></ol>
refraktor	<p-n>noun</p-n> benda yang berefraksi
refrein	<p-n>noun</p-n> bagian yang diulang (terutama dalam nyanyian)
refutasi	<p-n>noun</p-n> penyanggahan, bantahan
regan	<p-n>noun</p-n> kayu sebelah atas dan sebelah bawah rangka jendela
regang	<p-n>adj</p-n> tegang; tidak kendur (tentang tali yang ditarik, kain yang direntangkan)
regangan	<p-n>noun</p-n> <ol><li>hasil meregang; tegangan<br></li><li><p-n>literary</p-n> proses menambah ketegangan emosional atau proyeksi vokal suatu adegan<br></li></ol>
regata	<p-n>noun</p-n> perlombaan perahu layar
regel	<p-n>noun</p-n> bilah-bilah kayu (bambu) yang dipasang melintang sebagai tempat penahan berdirinya dinding atau sebagai tempat menempelkan langit-langit; belebas
regenerasi	<p-n>noun</p-n> <ol><li>pembaruan semangat dan tata susila<br></li><li>penggantian alat yang rusak atau yang hilang dengan pembentukan jaringan sel baru<div class="tags"><b>biology</b></div><br></li><li><p-n>figuratively</p-n> penggantian generasi tua kepada generasi muda; peremajaan<br></li></ol>
reges	<p-n>adj</p-n> luruh daunnya; tidak berdaun lagi; (me)ranggas
regi	<p-n>noun</p-n> (pengurus) perusahaan monopoli pemerintah
regio	<p-n>noun</p-n> bagian topografis tubuh:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Regio kepala</div></div>
regional	<p-n>adj</p-n> bersifat daerah; kedaerahan:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Dialek regional Melayu yang tidak baku pun ada, misal dialek Melayu Langkat</div></div>
regionalisme	<p-n>noun</p-n> <ol><li>paham atau kecenderungan untuk mengadakan kerja sama yang erat antarnegara dalam satu kawasan:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">ASEAN adalah suatu bentuk regionalisme yang mulai diperhitungkan dalam percaturan politik internasional</div></div><br></li><li>ilmu pengetahuan daerah (kedaerahan)<br></li></ol>
register	<p-n>noun</p-n> <ol><li>buku catatan atau daftar (nama dsb.) yang disusun secara bersistem dan menurut abjad):<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Para siswa dilatih membaca tabel, grafik dengan mempergunakan register dan kamus</div></div><br></li><li>pengaturan acuan atau pelat cetak demikian rupa sehingga yang satu akan tetap berada pada letak atau posisi yang benar terhadap yang lain, misal pada cetak warna<div class="tags"><b>printing</b></div><br></li><li>rangkaian listrik untuk menyimpan data dalam bentuk sandi biner<div class="tags"><b>electronics</b></div><br></li></ol>
register	<p-n>noun</p-n> rangkaian listrik untuk menyimpan data dalam bentuk sandi biner<div class="tags"><b>electronics</b></div>
register	<p-n>noun</p-n> pengaturan acuan atau pelat cetak demikian rupa sehingga yang satu akan tetap berada pada letak atau posisi yang benar terhadap yang lain, misal pada cetak warna<div class="tags"><b>printing</b></div>
registrasi	<p-n>noun</p-n> pencatatan; pendaftaran (dalam register):<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Bagian registrasi sedang sibuk menerima pendaftaran ulang para mahasiswa</div></div>
regisur	<p-n>noun</p-n> sutradara (pemimpin dan pengatur permainan sandiwara atau cerita film)
reglemen	<p-n>noun</p-n> aturan (peraturan) yang harus ditaati oleh anggota (kelompok atau masyarakat)
reglementer	<p-n>adj</p-n> bersangkutan dengan reglemen; menurut aturan (peraturan)
regol	<p-n>noun</p-n> pintu gerbang
regresi	<p-n>noun</p-n> <ol><li>(urutan dsb.) mundur; urutan berbalik ke belakang<br></li><li>penyusutan luas (air) laut yang disebabkan oleh faktor tertentu<div class="tags"><b>geology</b></div><br></li><li>proses berbalik ke tahap perkembangan perilaku sebelumnya yang dialami orang karena frustasi<div class="tags"><b>psychology</b></div><br></li><li>hubungan rata-rata antara variabel<div class="tags"><b>hydrology</b></div><br></li></ol>
regresif	<p-n>adj</p-n> bersifat regresi; bersifat mundur; berurutan mundur
regu	<p-n>noun</p-n> <ol><li>rombongan (kelompok) orang bekerja:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Pekerja di pabrik itu dibagi atas tiga regu</div></div><br></li><li>kesatuan tentara yang terkecil (12 atau 14 orang)<br></li><li>satuan pemain dalam satu cabang olahraga (seperti kesebelasan dalam sepak bola):<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Indonesia akan mengirimkan regu sepak bola dan bulu tangkis ke Malaysia</div></div><br></li><li>golongan jenis:<div class="tags"><b>biology</b></div><br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Pembagian tumbuh-tumbuhan dalam beberapa golongan dan regu menurut jenisnya</div></div><br></li></ol>
reguk	<p-n>verb</p-n> memasukkan (air dsb.) ke dalam mulut lalu menelannya; teguk:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Reguk kopi itu sampai habis</div></div>
regularisasi	<p-n>noun</p-n> hal membuat biasa; hal membuat (menjadikan) teratur atau simetris; kelaziman
regulasi	<p-n>noun</p-n> pengaturan
regulasi hipotonik	<p-n>noun</p-n> <ol><li>kemampuan menyesuaikan hidup bagi organisme yang hidup dalam air asin dengan cara mempertahankan kandungan garam di dalam cairan tubuh agar tetap lebih rendah daripada air<br></li><li>kemampuan menyesuaikan hidup yang terdapat pada hewan air tawar dengan cara mempertahankan kandungan garam dalam cairan tubuh agar tetap lebih tinggi daripada air di luar tubuh<br></li></ol>
regulatif	<p-n>adj</p-n> bersangkutan dengan peraturan
reguler	<p-n>adj</p-n> teratur; mengikuti peraturan; tetap; biasa:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Sidang reguler ke-30 Majelis Umum PBB dibuka hari Senin</div></div>
rehab	<p-n>noun</p-n> <p-n>slang</p-n> rehabilitasi
rehabilitasi	<p-n>noun</p-n> <ol><li>pemulihan kepada kedudukan (keadaan, nama baik) yang dahulu (semula)<br></li><li>perbaikan anggota tubuh yang cacat dsb. atas individu (misal pasien rumah sakit, korban bencana) supaya menjadi manusia yang berguna dan memiliki tempat dalam masyarakat<br></li></ol>
rehabilitatif	<p-n>adj</p-n> berkenaan dengan rehabilitasi
rehal	<p-n>noun</p-n> bangku kecil khusus tempat menaruh Alquran yang hendak dibaca
rehidrasi	<p-n>noun</p-n> proses senyawaan kembali:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Proses rehidrasi interaksi kimiawi ini mencegah kerusakan pada sel yang mati</div></div>
reideologisasi	<p-n>noun</p-n> pengideologian kembali:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Muncul reideologisasi dan retradisionalisasi yang kuat</div></div>
reindoktrinasi	<p-n>noun</p-n> indoktrinasi ulang
reinkarnasi	<p-n>noun</p-n> penjelmaan (penitisan) kembali makhluk yang telah mati:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Ia mengharapkan dalam reinkarnasi yang akan datang betul-betul menjadi orang yang baik</div></div>
reintegrasi	<p-n>noun</p-n> penyatuan kembali; pengutuhan kembali:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Bila transisi kebudayaan berhasil, akan tercapai reintegrasi kebudayaan yang menyeluruh</div></div>
reinterpretasi	<p-n>noun</p-n> penafsirkan kembali (ulang); proses, cara, perbuatan menafsirkan kembali terhadap interpretasi yang sudah ada:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Tanpa adanya reinterpretasi keagamaan akan sulit sekali lagi bagi masyarakat untuk merendam benturan soal religi dan nonreligi</div></div>
reinvestasi	<p-n>noun</p-n> penanaman modal kembali (dari laba yang diperoleh dari investasi terdahulu)
reja-reja	<p-n>noun</p-n> sisa-sisa atau buangan
reja-reja ayam	<p-n>noun</p-n> bagian ayam (seperti kaki, sebagian isi perut) yang dibuang
reja-reja kain	<p-n>noun</p-n> perca kain yang sudah dipotong-potong
reja-reja kayu	<p-n>noun</p-n> pecahan (potongan) kayu
reja-reja kertas	<p-n>noun</p-n> perca-perca kertas yang menjadi sisa di kertas yang terpakai
reja-reja nasi	<p-n>noun</p-n> sisa nasi; remah
Rejang	<p-n>noun</p-n> <ol><li>suku bangsa yang berasal dari wilayah Rejang di Provinsi Bengkulu dan Provinsi Sumatra Selatan<br></li><li>bahasa yang dituturkan oleh suku Rejang<br></li></ol>
rejang	<p-n>noun</p-n> perhitungan baik buruk untuk tiap hari bulan, biasanya dilambangkan dengan binatang (seperti tanggal 1 dilambangkan dengan kuda); perhitungan nujum
rejang	<p-n>noun</p-n> gerakan yang cepat (tentang lompat, lari); lejang
rejasa	<p-n>noun</p-n> <ol><li>timah<br></li><li>pohon yang tingginya mencapai 26 m, batangnya tidak lurus sehingga tidak digunakan untuk bahan bangunan, kulitnya untuk obat borok (luka lama), daunnya untuk obat lesu; "Elacocarpus grandiflora"<br></li><li>kulit pohon rejasa<br></li><li>daun rejasa<br></li></ol>
rejeh	<p-n>adj</p-n> merah dan berair pada pelupuk mata bagian dalam; belengset
rek	<p-n>noun</p-n> <ol><li>tiruan bunyi pisau digoreskan di papan<br></li><li>para-para; rak<br></li></ol>
rek	<p-n>noun</p-n> <p-n>acronym</p-n> :Templat:Sby arek
reka bentuk	<p-n>noun</p-n> rancangan gambar; desain
reka cipta	<p-n>noun</p-n> penciptaan (perancangan) sesuatu yg sebelumnya tidak ada; invensi
reka pangan	<p-n>noun</p-n> pengarahan teknik pengolahan pangan; penemuan baru cara pengolahan bahan makanan
reka-reka	<p-n>noun</p-n> <ol><li>aturan tindakan:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">mengambil reka-reka untuk menyelamatkan keluarganya</div></div><br></li><li>sesuatu yang dibuat-buat atau diakal-akalkan; karangan:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">rupanya kabar itu reka-reka semata-mata</div></div><br></li><li>akal (daya upaya tipu muslihat):<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">orang banyak reka-rekanya untuk mencari uang</div></div><br></li></ol>
reka-rekaan	@reka-reka	<p-n>noun</p-n> rekaan
rekaan	<p-n>noun</p-n> karangan; cerita karangan (khayal); buatan; rancangan; angan-angan (fantasi); skema; kira-kiraan; perkiraan (perhitungan); reka(-reka)
rekalkulasi	<p-n>noun</p-n> penghitungan kembali:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Pemerintah akan mengadakan rekalkulasi seluruh biaya proyek itu</div></div>
rekam	<p-n>verb</p-n> [[]]<br><div>Synonyms: <p-a>merekam</p-a></div>
rekam kesehatan	<p-n>noun</p-n> rekaman mengenai kesehatan pasien
rekam medis	<p-n>noun</p-n> rekaman mengenai hasil pengobatan terhadap pasien
rekaman	<p-n>noun</p-n> yang direkam (seperti gambar cetakan, lagu, stensil); hasil merekam:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">rekaman lagu-lagu artis yang terkenal itu sudah beredar di pasaran</div></div>
