A	 pronounced a as in fat. 
-kola3 (kolile)	v.t. to prune, to lop, to cut off branches. syn. -shaba. fig. to deprive someone of his offspr-ing (death) rel. -kolela (kolezi) to ~ for someone. caus. -kolisa (koli-size) to order or to help someone to ~. 
-kola4 (kolile)	v.i. to become full grown (people, growing things, etc . . .): Ma/aka a tuna s'a kolile, our vegetable marrows have already grown to full size. cf. -buma rel. -kolela (kolezi) to ~ in or at (a place). caus. -kolisa (kolisize) to let things grow unduly; fig to make someone older than his years (as a child given work unsuited to his age) 
-kola (kolile)	v.t. to eat fruit spit-ting out the stones: ka kola mubula, to eat fruit of the 'mubula' tree 
-kolamena (kolamezi)	v.i. to get stuck (an object in the branches of a tree) der.– olamenyi. 
kola6 (–oma) (kolile)	v.t. to hit the ball in a game somewhat similar to hockey. 
kole (li-)	n. thong or strap of leather used for fastening cattle yokes 
-koleka1 (kolekile)	v.t. to hook, to hang up: Mu koleke sihwana kwa lifata, hang up the calabash on a forked pole der. makoleko. rel. -kolekela (kolekezi) to ~ for some-one caus. -kolekisa (kolekisize) to order or to help to ~. 
-koleka2 (kolekile)	v.t. Eng. to col-ect money, to subscribe, to pay church contributions, etc .. der. koleko. 
koleke (li-)	n. church offering, church contribution (from: -koleka). 
koli (li-)	n. stain, blemish, flaw ka okwa koli, to be without stain or defect (physical or moral) 
-koloba (kolobile)	v.i. to get wet, soaked: Mu sike mwa inafande mu ka koloba, don't stay outside, or you will get wet fig. to be amena- ble, ready to yield, submissive. rel. -kolobela (kolobezi) to ~ in or at (a place). caus. -kolobisa (kolobisize) to cause to ~. ref. -lkolobisa (iko-lobisize) to drench oneself. fig to humiliate each other. 
-kolobeza (kolobelize)	v.t. to wet, to sprinkle; to baptize. der. kolobezo. pass. -kolobezwa (kolobelizwe) to be baptized rel. kolobeleza (kolo-belelize) to baptise for. caus. -kolo-bisa (kolobislze) to wet, to soak, to moisten. fig. to subdue, to tame, to soften. 
kolobezo (li-)	n. baptism. (from: -kolobeza). 
kolofalo (li-)	n. injury. (from:-holo-fala). 
kolofazo (li-)	n. injury. (from: -holo-faza). 
-kolohana (kolohani or kolohanile) 	v.i. to march in a file. caus. -kola-hanya (kolohanyize) to put in single file, to place in order. 
koloi (hi- or ma-)	n. ox wagon, scotch cart 
-kolokal (kolokile)	v.i. to be in a single file der. mukoloko. caus.- kolokisa ( kolokisize) to put in single file. 
-koloka2 (kolokile)	v.i. Luyana to be bald or with hair shaven off caus. -kolola (kolozi) to shave off some-one's hair der. mukololo. 
-kolokosha (kolokoshize)	v.t. to make noise (as rodents when gnawing, or people turning over things in search); to rummage: Ki mani ya kolokosha mwa ads? who is rummaging in the house? 
-kolokota (kolokotile) 	v.t. to gnaw bones fig. to fail to bring someone down in wrestling, to jostle some-one without breaking him. 
-kolola (kolozi)	v.t. to scrape the crust in a cooking pot. der. mako- lola. 
-kolomana (kolomani)	v.t. to bother someone by continual requests 
-kolombisa (kolombisize)	v.i. as-ko-lomana. 
-kolomona (kolomozi)	v.t. to take something out of the closed hand of someone else, to force open a closed hand 
-kolonga (kolongile)	v.t. (1) to scratch one's ear (2) to scrape what is left in a snuff box. (3) to hollow out by curving (a wooden drum, mortar, etc ) rel. -kolong-ela (kolongezi) to scrape snuff, to hollow out for someone. caus. -ko-longisa (kolongisize) to order or to help someone to hollow out a wooden object 
koloni (li-)	n. Eng, colon (:) syn. kat-wana. 
-kolopa (kolopile)	v.t. to scrub, to polish (floor) der. mukolopi, siko- lopo. rel. -kolopela (kolopezi) to ~ for someone. caus. -kolopisa (kolo- pisize) to order or to help to ~. 
-kolopana (kolopani)	v.i. to quarrel, to come to blows, to grapple. syn. - lupana, -lwana. 
-kolota1 (kolotile) 	v.t. to borrow (money, food, etc . . ): Ni kolotile Mali ka leka sico, I have borrowed some money to buy food. der. mu- koloti, mukolotisi, sikoloti, muko- lotelo, mukolotisezo. rel. -kolotela (kolotezi) to borrow on someone's behalf: Ni kolotezi mwan'a ka maxi a sikolo, I borrowed money to pay my child's school fees. cuas. -kolo- tisa (kolotisize) to lend someone money: Ni kolotisEze Madame Mali, I L. have lent my brother-in-law some L. money rec. -kolotisana (kolotisani | , or kolotisanile) to lend each other | money, etc fig to quarrel, to I fight ref. -lkolotisa (ikolotisize) as rec. 
-kolota2 (kolotile)	v.i. to boil Piza ya kolota, the pot is boiling -kolotisa (kolotisize) to cook relish (meat, fish) 
-kolotola (kolotozi)	v.t. (1) to take down, to unhang (2) to gather, to pick, to pluck leaves from plants or vegetables in order to make relish. idiom. exp. Ku kolotola ni ka ka siyezi mwa libako, to help some- one by giving him what we can, even the smallest thing we have (lit: to take out what remains in a tooth) 
-kolwa (kozwi)	v.i. see -kola2 pass. 
komal (li-)	n. Eng. comma (,) 
koma2 (li-)	n. snuff box: koma ya /i- kokoma, a snuff box made out of a wild fruit produced by the 'mu- langu' tree; koma ya sikwakwati, a tin snuff box. 
-koma3 (komile)	v.t. to prevail, to have the upper hand, to over-come caus. -komisa (komisize) to cause to ~ int. -komeila (kome-lezi) to prevail completely. ref. -ikomisa (ikomisize) to cause some-one to have the upper hand over oneself: Mu sike mwa ikomisa musali. don't let your wife have the upper hand. 
komano (Ii-)	n. mutual chiding. (from: -omana). a quarrel 
komanyo (Ii-)	n. reproof, scolding. (from: -omanya). 
-komba (kombile)	v.i. Luyana to wipe a dish, to clean off food with a finger, to eat remains of food: ku komba mikeke, to wipe dishes. syn. bola. caus. -kombisa (kombisize) to let someone wipe the remains of food from the dishes. 
-kombelelal (kombelezi)	v.i. to pray to ancestors. syn. -paibla. 
-kombelela2 (kombelezi)	v.i. to prevail, to take more importance (as a name over another one): Yena u kombelezwi ki libizo leli-maswe. he is more and more known under a bad name. 
-kombolal ( kombozi)	v.t. to form bricks in a mouid. der. sikombole. -kombola2 (kombozi) or-kombolola (kombolozi) v.t. to clear to dredge (canal, ditch, etc of sand) cf. -tokola. rel-kombololela (kombolo-lezi) to ~ thoroughly for someone caus. -kombololisa ( kombololisize) to order or to help someone to ~ thoroughly: Mubuso u kombololisize maabwa kaufela, the government has ordered all canals to be cleared. of sand. 
-kombweka ( kombwekile)	v.t. to serve as a steward, to superintend another's affairs (with reference to members of the Litunga's house-hold). der. sikombwa, bukombwa. 
-komela (komezi)	v.t. to remind someone of a gift when reproving him der. makome. syn. -koba. rel. -komelela (komelezi) to ~ for a reason. rec. -komelana (komelani) to ~ reciprocally. ref. -ikomelisa (ikomelisize) to call for someone's reproof (of onesel0. 
-komeza (komelize)	v.t. to swallow quickly, to eat greedily 
-komoka (komokile)	v.t. to wonder at, to be amazed at, to be sur- prised: Nikomokile, I am surprised. der. likomokelo. syn. -makala, -mbwetuka. caus. -komokisa (komoki-size) to cause wonder, to amaze, to surprise ref. (a)-ikomokela (iko-mokezi) rel. to be so amazed that one does not know what to do (b) -ikomokisa (ikomokisize) caus. to cause people to wonder at oneself. 
komoki (li-)	n. Eng. mug, tea-cup 
-komonal (komozi) 	v.t. to break (bread, etc.) syn. -ketula. rel. -komonela (komonezi) to ~ for someone. caus. -komonisa (komoni- size) to order or to help to ~. freq. -komauna (komauzi) to break in many pieces, to take bits of 'buhobe' from a plate: U sike wa komauna buhobe bwa yomu–wi, do not take bits of 'buhobe' from someone else's plate. 
-komona2 (komozi)	v.t. to smear the forehead, temples or throat of a person with a magic ointment kept in a horn: naka u komona batu mwa mushengo wa hae. the witch-doctor smears people with ointment from his horn 
komu (li-)	n. cattle (general term in-cluding cow, bull, ox) 
konal,	emph. pron. sing. (class ka -tu) this (very): Ne ni i beile fa halimu akona katafule kao. I put it on this very table. 
-kona2 (konile)	v.i. & v.t. to be capa-ble, to be qualified; to have ability or skill, to be able (with reference to work): Ni bata mutu ya kona hande musebezi, l am looking for someone able to do the job well. spec. exp. ku kona batu, to lead people wells to be an efficient leader. cf. -kashula. pass. -konwa ( konilwe) to be overpowered by someone rel. -konela (konezi) to be able to do something for someone, to overpower for someone caus. -konisa (konisize) to enable some-one to help. to assist, to do some-thing. stat. -koneha (konehile) as int-stat below int-stat. -konahala (konahalile) to be feasible (present tense), to be completed (past tense): Musebezi u konahalile, the work has been carried out success-fully; ha ku konahali, it is impossi-ble rec. -konana (konani or kona-nile) to be of equal strength. ref. -konela (ikonezi) to be able to do anything by oneself, to be self-reli- ant. 
-konda (kondile)	v.i. to be success-ful. prosperous Sa eza kaufela sa konda, whatever he does is suc-cessful caus. -kondisa (kondisize) to make a success of something int. -kondelela (kondelezi) to be thoroughly successful 
-kondoka (kondokile)	v.i. to return home after an absence Mwan'a hae ki hona a sa zo kondoka, her child has just returned home 
-kondola1 (kondozi)	v.t. to take a widow back home after her hus- band's death (this is done by her parents-in-law) der. mukondoli. 
-kondola2 (kondozi)	v.t. to brew beer der. mukondoli. rel. -kondolela (kondolezi) to ~ for someone. caus. -kondolisa (kondolisize) to order or to help someone to ~. ref. -lkondolela (ikondolezi) to ~ for oneself 
-kondoloka (kondolokile)	v.i. to get better, to recover from a serious iliness, to revive: recuperate: Mukuli wa luna sa kondoloka, our patient is recovering int. -kondolo-kelela (kondolokelezi) to get thor-oughly better. 
-koneka (konekile)	v.t. to prick and remain fixed in the flesh (as a thorn). fig. to prevent someone from escaping; to trip up some-body 
-konga (kongile)	v.t. to chase game or fish towards a hunter or a fi- sherman rel. -kongela (kongezi) to ~ for someone or in a certain di-rection: Mu kongele lifolofolo kwanu, chase the game towards me 
-kongola (kongozi) 	v.t. to gather (as a net which collects everything). fig. to summon people to assem-ble. der. mukongoli. rel. -kongolela (kongolezi) to bring people to-gether in view of (some event). kongolo, (See mafuba-kongo-lo.)A4-kongoloka (kongolokile) v i. Eng to congregate, to flock to-gether. der. kongolokeni. rel. -kong-olokela (kongolokezi) to gather in or at (a place)? to assemble for a purpose: Kacenu batu ba kongolo-kezi kwa Kuta, today people have assembled in great numbers at the Kuta caus. -kongolola (kongolozi) to bring people together, to order people to gather together 
kongolokeni,	n. Eng. congregation. (from: kongoloka) 
-kongoshola (kongoshozi)	v.t. to col-lect and heap up (scrap-iron, etc. .) syn. -kungushula. 
konji	conj. but, save, unless, except: Batu kaufela ba kopane konSi banana, let all the people gather together, except children 
-konka (konkile)	v.i. (1) to swear, to declare on oath (calling God to witness). (2) to be determined: Na-silele u konkile ka feleleza, Nasi-lele's decision is irrevocable. (3) to use profane language: U sike wa konka ba bahulu, don t swear at your elders. der. mukonkelo. syn. shanjala, -tapanya. rel. -konkela (konkezi) to forbid with an oath: Ha u Dana ka sebeza, ni ka ku kon- kela buhobe; if you refuse to work, r I swear that I will not give you buhobe, Ku konkela mutu sico ka maswe, it is very bad to forbid somebody to eat. caus. -konkisa (konkisize) to cause to swear, to charge someone on oath. 
kono1,	conj. but: Ni munolezi kono ha sika ni alaba, I have written to him, but he has not replied to my letter. 
kono2,	interj. it is so ! (Not used when speaking to one's elders.) 
-konola (konozi)	v.t. to scare birds from a garden (especially at seed time), to watch over seeds newly sown der. mukonoli. fig. to wait in vain for someone. 
-konya (konyize)	v.t. to copulate, to have sexual intercourse, syn. soma 
-konyeka (konyekile)	v.t. to take excessive care of something for which one is responsible. rel. -ko-nyekela (konyekezi) to ~ for. 
ko–a1 (li-)	n. giant kingfisher. 
-kona2 (ko–ile)	v.t. to remind some-one of a previous warning given in vain. 
-ko–a3 (ko–ile)	v.t. Luyana. to follow. rec. -konana (ko–ani) to co- pulate (especially of dogs) syn. -palisa. 
-kofiana (ko–ani)	v.i. to make noise (as fish eating or jumping when in large numbers) (see: matuti). 
-ko–ola (konozi)	v.t. to beat bark in order to strip it from a tree. fig. to beat someone. rel. -konolela (ko–o- lezi) to ~ for someone. caus. -ko-–olisa (konolisize) to order or to help someone to ~. 
-ko–ola2 (ko–ozi)	v.t. to copulate especially of dogs) syn. -palisa, ko–ana. 
ko–omeka (konomekile)	v.t; to give express orders or instructions: Ni mu konomekile hahulu, mi mwendi ha na ka libala: I have given him definite orders which I hope he will not forget. 
kopa,	n. Eng. copper. 
-kopama (kopami)	v.i. to be bent: kota ye kopami, a bent tree. caus. -kopamisa (kopamisize) to bend. 
-kopana (kopani)	v.i. to meet, to join, to become united, to congre- gate, to assemble: Batu ba se ba kopani, people are already assem- bled; mu kopane ni Lena, join us. der. kopano, mukopano, makopa- nelo, sikopekope. syn. -puteha. rel. -kopanela (kopanezi) (1) to ~ in or at (a place): Lo ta kopanela mwa Kuta, we shall meet in the Kuta. (2) to meet together for a purpose: Sims ye lo kopanezi ha i sika nuna, the garden we are cultivating to-gether is not fertile. caus. -kopanya (kopanyize) (1) to unite, to join, to bring together, to mix, to com-bine: Mu kopanye bate, bring the people together; Mu kopanye mu-shabati ni samende, mix some sand with the cement. (2) to add num-bers (Arith) red. -kopa-kopana (kopakopani) to be mixed, to as-semble hurriedly; to meet for a short time. 
kopano (mikopano)	n. party; associ-ation; union: Kopano ki mata, unity is strength. syn. mukopano. (from: -kopana ). 
kopi (likopi)	n. Eng. exercise book (copy book). 
-kopisa (kopisize)	v.t. Eng. to copy, to transcribe; to imitate. 
kopolo (makopolo)	n. Eng. corporal. 
kota (likota)	n. tree; piece of wood, timber: kora ya mupulanga, blue- gum tree; likota za ka sebelisa, timber- Iikota za ka ova, fire- wood. idiom. exp. Ha kufosi likota, kufosa luna bate, to err is human; the best of men may err at times (lit: mis-takes are not made by trees but by we people). 
-kota (kotile)	v.i. to copulate (birds). 
-kotama (kotami or kotamile)	v.t. to be engaged in hoeing a garden (as a group of women working to-gether); to lean forward (as paddl-ers hard at work): Ba u kotami Na-likwanda, they paddle the Nalik-wanda with great force. inv. -kotoka (kotokile) see: -kotoka. 
-kotana (kotani)	v.t. to mate (birds). 
-kotela (kotezi)	v.t. to beat away a calf when milking. der. mukoteli. rel. -kotelela (kotelezi) to ~. for someone: Mu to ni kotelela namani come and beat away this calf fob me. caus. -kotelisa (kotelisize) to order or to help someone to ~. 
-koteza (kotefize)	v.t. to keep a fire burning by pushing logs toward the centre, to stir up a fire. der. mukotezi, mukotelezo. rel. -kote-leza (kotelelize) to ~ for someone. caus. -kotezisa ( kotezisize) to order or to help someone to ~. 
koto1 (likoto)	n. Sotho. punishment. penalty (from:-ota). 
koto2 (likoto)	n. knob: madame wa koto, knobkerrie. 
koto3 (likoto)	n. percussion cap (of muzzle loading gun) 
-kotobana (kotobani)	v.i. (1) to be bent with age (2) to keep a steady aim in firing a gun. 
-kotoka (kotokile) 	v.i. (inv. of -kotama) to knock off, to cease hoeing and return home to rest, to return home after work Kacenu lo ta kotoka ka twelufu today we shall stop working at 12 noon spec. exp: Mu kotokile spa! good afternoon! (salutation used when people come from work.) caus. -kotokisa (kotokisize) to order people to stop hoeing or working. 
-kotokelwa (kotokezwi)	v.i. to be late in doing something: Ne lo bata ka to leka sikekele, kono bate ba lo lakile, lo kotokezwi; we wanted to buy the plough, but other people bought it before we came cf: -tompokelwa. 
-kotola (kotozi)	v.t. to take things away in great quantity Nifumani bishop li kotozi mwanda wa ka, I found that a thief had taken away my cassava. 
-kotomona (kotomozi)	v.t. to drive cattle away from their grazing place; to frighten fish and force them into a fishing place der. mu-kotomono. 
-kowana (kowanile)	v.i. to yelp (dog). fig. to growl, to grumble rel. -kowanela (kowanezi) fig. to growl, to grumble in or at (a place). caus. -kowanisa (kowanisize to cause to ~ 
-koyoka (koyokile)	v.i. to fall down (ripe fruit) fig. exp; Pile ya ka i koyokile, I feel like fainting 
-koyola (koyozi) 	v.t. to pluck fruit. syn. -yanga, -yangula, -kulumuna. fig. to kill young people by witch-craft: Baloi ne ba atisanga ka koyola ba banyEnyani, witches were accus-tomed to pluck out young lives. rel. -koyolela (koyolezi) to ~ for someone caus. -koyolisa (koyoli-size) to order or to help someone to ~ int. -koyolelela (koyolelezi) to pluck all the fruit freq. a) -koyauka (koyaukile) to fall one after another (very ripe fruit); b) -koyaula (koyauzi) to ~ again and again; to cause to fall one after an-other Moya u koyauzi Tango za ka, the wind caused all my mang- oes to fall to the ground ref. -ikoyolela (ikoyolezi) to ~ for one- self. 
-koywela (koyowezi)	v.i. to be hang-ing down (as a cluster of fruit or mealie cobs) der. sikoyowela. caus. -koyowelisa (koyowelisize) to hang, to hook, to suspend 
-koza (kozize)	v.i. to apply to a foreign ruler for protection; to live in peace der. kozo. caus. -kozisa (kozisize) to welcome a refugee and allow him to settle down. int. -kozeleza (kozelelize) to live perma-nently under a foreign ruler 
kozi (likozi)	n. danger, peril; acci-dentl serious trouble: Lo mwa kozi yetuna, we are in great danger: ka beya mute mwa kozi, to endanger someone. 
kozo,	n. peace, quietness, security: Ku pita mwa kozo, to live in peace; ka eza kozo, to make peace, to rec-oncile, to conciliate. (from: -koza). kozwa, adj. black and white (male cattle) (with reference to female cattle: kozwana): polo ye kozwa, a black and white ox. 
-kubal (kubile)	v.t. to push to elbow, to jostle, to knock. syn. -ngungula, -ngunyuta. cf.: -sunda. caus. -kubisa (kubisize) to give a push, to help someone to push, Mu to lo kubisa kwa rota, come and help us to push the car. rec. -kubana (kubanile) to strike against each other, to collide. 
kuba2 (likuba)	n. heep of reeds or grass; pile of cut wood syn. fulaha. 
-kubama (kubami or kubamile)	v.i. to kneel ka kubama ka ma–wele, to kneel down. rel. -kubamela (kuba mezi) to ~ before someone; to worship caus. -kubamisa (kubaml-size to cause someone to ~ 
-kubanyana ( kubanyanine) 	v. i. to be silly, stupid der. sikuba, bukuba. 
-kubelal (kubezi)	v.t. to knock a cow's udder (as a calf). 
-kubela2 (kubezi)	v.t. to thatch der. mukubeli, mukubelelo, mukubelo, sikubeliso. rel. -kubelela (kubelezi) to ~ for someone. caus. -kubelisa (kubelisize) to order or to help someone to ~ 
kubo (likubo)	n. (1) skin of an animal used as a covering (2) blanket (wool or cotton) fig. a very old person. 
kubu(likubu)	n. hippopotamus 
-kubuha (kubuhile)	v.i. to lose hair, to become bald; to peel off (skin), to moult 
-kubukana (kubukani)	v.i. to assem-ble (people, cattle or birds); to be heaped ups gathered together. cf: -limbana. rel. -kubukanela (kubuka-nezi) to assemble in, or at (a place), or for a purpose Bate ba kubukanezini fani? why have the people assembled over there? 
-kubukanya (kubukanyize)	v.t. to gather in large numbers, to heap up, to accumulate rel. -kubuka-nyeza (kubukanyelize) to ~ for someone, in or at (a place) caus. -kubukanyisa (kubukanyisize) to order or to help to ~. Kf. ikubuka-nyeza (kubukanyelize) to store up, to save up, to amass for oneself 
-kubulal (kubuzi)	v.t. to pluck to peel, to scratch. der. mukubuli. cf: -mweta. rel. -kubulela (kubulezi) to ~ for someone. caus. -kubulisa (ku-bulisize) to order or to help to ~ 
-kubula2 (kubuzi)	v.t. (1) to drive mosquitoes away (2) to remove morning dew from the grass with a stick when walking: Mu kubule puka, banana ba sike ba koloba, remove the dew lest the children get wet 
kucwana (likucwana)	n. baby hippo 
kufa (likufa)	n. tick (common with cattle, sheep and dogs) 
kuhu (likuhu)	n. gen. n. domestic fowl 
-kuka (kukile)	v.i. to float, to drift, to go with the current der. Iiku-kela. rel. -kukela (kukezi) to ~ in a certain direction caus. -kukisa (kukisize) to cause to ~. 
kuka2 (makuka)	n. Eng. cook syn. muapei, mutatehi. (from: -kukisa) 
-kukisa (kukisize)	v.t. Eng. to cook (rare) der. kuka, bukuka. 
kuku (bo kuku)	n. grandparent Kuku wa hae, his grandfather or grand- mother; the plural of re-spect is commonly used: bo kuku wa Rae, his (or her) grandparent; bo kuku wa Lena, our forefathers 
kukueza (kukuelize) 	v.t. to influ-ence, to induce, to incite, to insti-gate to rouse up (mostly in bad ways): U sike wa kukueza bate ka caela nako i sikaf ta, don t encour-age people to knock off before time der.mukukuezi.syn. -susueza. cf: -shamiliketa. 
-kukula (kukuzi)	v.t. to give a hair-cut der. mukukuli, sikukuliso, mu-kukulelo. syn. -kuta. rel. -kukulela (kukukezi) to ~ to someone. 
-kukulusa (kukulusize)	v.t. to cut a small piece of anything rel. -kuku-luseza ( kukuluselize) to ~ for someone: Mu mu kukuluseze kanama kakanyinyanifela, cut only a small piece of meat for him 
-kukuma (kukumile)	v.t. to stam-mer der. sikukuma. syn. -katata. 
-kukumuha (kukumuhile)	v.i. to swell, to rise (dough). 
-kukuna (kukunile) or -kukunya (kukunyjze)	v.t. to knaw, to nibble: ka kukuna disavow to pick a bone. 
-kulal (kulile)	v.i. to be sick, ill, ailing der. mukuli, mukulisi, muku-lelo, mukulisezo. rel. -kulela (kulezi) to be ill in or at (a place) U kulela kwa sƒpatela, he is laid up in hospital. spec. exp. ka kulela mwahalimu, to feel unwell but not keeping to one's bed. caus. -kulisa (kulisize) (1) to cause someone's illness pass- kuliswa (kulisizwe) ki .. to be made ill by ..(2) to nurse a patient, to give treatment 
-kula2 (kusi) 	v.i. to have one's fill, to be satiated, to be satisfied: Ni kusi I am full, I have had enough fig to be pregnant: ka kula mba ya mwa nahe–i, to be big with an il-legitimate child. spec. exp. ka kula mba ya mati, to crave for the food eaten by others. caus. -kulisa (kuli-size) (1) to satisfy, to be nourish- ing. (2) to make pregnant: ka kulisa musali mba, to make a woman pregnant, to get a girl into trouble, to put a woman in the family way. 
-kula3 (kulile)	v.t. to draw out, to pull out (tooth, nail, etc .); to take the handle off a hoe, to pluck fruit; to take to pieces (machin-ery). rel. -kulela (kulezi) to ~ for someone caus. -kulisa (kulisize) to order or to help to ~. stat. -kuleha (kulehile) (1) to be off the handle (axe, hoe, etc ) to be moved out of place: Lihutu ia tafuleya ka li kulehile, a leg of my table has come off (2) to miscarry Mba ya hae i kulehile, she had a miscarri-age fig. to be out of sight (as a person absent for a long time): Ali ka kuleha –ohola ha –oli, since he left his home last year he has not written spec. exp.: ka kuleha pilu, to be absolutely without strength 
kula4 (likula)	n. feather head-dress worn by professional dancers. -kulamba (kulambile) v.i. to be in great numbers (as people fishing together in a fishing pond, or cattle grazing in a field, or wild animals gathered together in a valley, or birds in a depression). 
-kulauka (kulaukile) or -kuloka (ku-lokile)	v.i. to be famous, to be stronger than others (in any way) syn. -kangana. 
-kuleha (kulehile)	v.i. see: -kuh3 stat. -kuleka (kulekile) v.t. to carry a load tied to the end of a stick. der. mukuleki, mukulekelo, sikulekelo, makulekelo. rel. -kulekela ( kule-kezi) to ~ for someone. caus. -ku-lekisa (kulekisize) to order or to help to ~. int. -kulekelela (kuleke-lezi) to carry everything. 
kuli,	conj. that, in order that, so that: Ni bulela kuli u lEyehile, I say that you are late, Mu pakele kuli mu fite ku sa bata, make an early start so that you may arrive in the cool of the day. 
Kuliso (likuliso)	n. the bringing up or training of a child: kuliso ya bana, children's education. (from: -hula). 
kulol (likulo)	n. place, spot: A si kulo bunde! what a beautiful place ! Ku-lokuliku–wi, on the same spot. 
kulo2	n. growth (From: -hula) 
kulu (likulu)	n. tortoise (commonly found in marshy places). 
kulube (likulube)	n. pig; kulube ya mwa nahe–i, wild-pig. 
-kulubela (kulubezi)	v.t. Luyana. to hope for, to expect: Ha ni koni ku kulubela sika se ni sika bona. I cannot hope for something I have not seen. der. –ulubeti. syn. -sepa. caus. -kulubeta (kulubetite) or -ku-lubelisa (kulubelisize) or -kulubeza (kulubelize) to promise. pass. -ku-lubezwa (kulubelizwe) to be promi-sed. 
-kulukusha (kulukushize)	v.i. (1) to buzz (in the ear) see: mu–'a zebe. (2) to make a rattling noise (as mice running about). (3) to shake a door (as someone locked in or out). 
kulukutu or lukutu!	Ideoph. imita-ting the sound of any heayy object falling down: Mutiyo a u lata wa li lukutufafasi, he threw off his load which fell to the ground with a crash. 
-kulula1¼ (kuluzi)	v.t. to untie the load from one's carrying stick. rel. -ku-lulela (kululezi) to untie someone's load. caus. -kululisa (kululisize) to help someone to untie his load 
-kulula2 (kuluzi)	v.t. to eat green mealies, biting from the cob. 
-kulula3 (kuluzi)	v.t. to give a full ac-count of events (leaving nothing unsaid): U kuluzi litaba za musƒpEli wa hae kaufela, he gave a detailed account of his journey. 
-kuluma (kulumile)	v.i. to rumble (stomach): Mwa mba ya ka kwa kuluma, my stomach is rumbling. 
-kulumuka (kulumukile) 	v.i. to run. syn. -mata. rel. -kulumukela (kulu-mukezi) to run to. 
-kulumuna (kulumuzi)	v.t. to pluck fruit from a tree: Ba kulumazi li- mango za ka kaujela kwa kota, they have plucked all mangoes from my tree. der. mukulumuni' sikulumu-niso' mukulumunelo. syn. -koyola' -yanga' -yangula. rel. -kulumunela (kulumunezi) to ~ for someone. caus. -kulumunisa (kulumunisize) to order or to help someone to ~. int. -lkulumunela (ikulumunezi) to ~ for oneself 
kulungu!	inter;. entirely finished, accomplished! syn. mbu! 
kulusupani (makulusupani)	n. braces supporting trousers. 
-kuma1 (kumile	v.i. to amount to, to reach a certain size or height: Mwan'a hao u kuma kai? how tall is Kour child? U nifile lizwai le li sa fcumi koku–wi, the salt he gave me does not amount to much. caus. -kumisa (kumisize) to mount or rise to: Mezi a kumisa kai mwa milapo? what height does the water rise to in the depressions? 
kuma2 (kumile)	v.t. to eat raw bran of meal (millet). to eat sugar (chil-3dren) rel. -kumela (kumezi) to eat someone s uncooked bran of millet or sugar: U sike wa kumela natu mase a bona, don't eat people's bran . caus. -kumisa ( ku-misize) to give someone bran to eat int. -kumelela (kumelezi) to eat all the bran or sugar. 
kuma3,	n. papyrus, sedge growing in swamps (used to make mats). 
-kuma-kuma (kuma-kumile)	v.i. to be unwell (with reference to the Litunga, to the members of his family, or any baby). 
-kumalela (kumalezi)	v.t. (1) to cling zto, to cleave to; (2) to stick to, to adhere to: U sike wa kumalela mutu sya sa ku lati, don t cling to anyone twho is not fond of you. der. Iuku-malela. caus. -kumalelisa (kumaleli-Size) to cause to ~. 
-kumba (kumbile)	v.t. (1) to sit on eggs, to brood. (2) to keep one's legs close together. 
úkumbama (kumbami)	v.i. to be sheltered from the wind; to be put up for the night (travellers). 
-kumbana (kumbani)	v.i. to be narrow, strait munyako o kumbani, a narrow gate. caus. -kumbanisa (kumbanisjze) to straiten, to make narrow. 
-kumbeka (kumbekile)	v.t. (1) to glVe travellers shelter for the night (2) to paddie a canoe along the hank, to shelter it from the wind: Mu kumbeke mukolo kwa mu-kenga, take the canoe along the bank. 
-kumbela1 (kumbezi)	v.t. to eat (with reference to the Litunga) 
-kumbela2 (kumbezi)	v.t. Luyana to beg, to ask for. der. mukumbeli, mukumbeleti. syn. -kupa. 
-kumbilikana (kumbilikani)	v.i. to be stirred up (as a crowd amazed or startled). der. –umbili. 
-kumbula (kumbuzi)	v.i. to disap-prove, to reproach, to growl, to murmur, to mutter der. Iikambu. freq. -kumbaula (kumbauzi) fig. to roar (as a lion in the forest). 
-kumbuluka (kumbulukile) 	v.i. to become suddenly conscious of something, to happen before one has time to realise anything: Ha ni yo kumbuluka, se ni li mwahali a mapolisa; before I had time to realise it, I was surrounded by police. 
-kumuha (kumuhile)	v.t. to come out, to be pulled out, extracted, uprooted: Lino li kumuhile hande, the tooth came out easily. syn. -nyukuka. 
-kumuhela (kumuhezi)	v.t. to go out in great numbers to welcome or to fight someone; Batu kaufela ba ku-muhezi ku Litunga, all the people went out to welcome the Litunga'. 
-kumula (kumuzi) 	v.t. to pull out, to extract, to uproot. der. mukumuli, sikumuliso, mukumulelo. syn. -nyu-kula. rel. -kumulela (kumulezi) to ~ on someone's behalf. caus. -kum lisa (kumulisize) to order or to help someone to ~. int. -kumulelela (kumulelezi) to ~ completely. freq. -kumaula (kumauzi) to ~ re-peatedly. 
-kumwa (kumwile) or kumwata (kumwatile)	v.t. to start to beat the small drum in a set of three. der. si-- 
kumwa,	mukumwati. 
-kunda (kundile)	v.t. to hide, to dis-simulate der. nekunda. 
-kunda-kunda (kunda-kundile)	v.i. to go on a beat (police-man), to go the rounds. der. Iikunda-kundi. 
