अचंभे	Aback
गणना	Compute
कम्प्युटर	Computer
कामरेड	Comrade
भाईबंदी	Comradeship
चुनाव	Con
पसेको	Concave
भक्ति	Concaveness
स्थिरता	Concavity
लुकाउन	Conceal
शरण	Concealed
कंसीलर	Concealer
लुक्ने	Concealment
स्वीकार	Concede
स्वीकाऱ्यो	Conceded
छलकपट	Conceit
फोस्रो	Conceited
रचनाकार	Conceivable
अडकल	Conceivably
गर्भवती	Conceive
ध्यान	Concentrate
केंद्रित	Concentrated
यातना	Concentration
गाढा	Concentric
अवधारणा	Concept
गर्भधारण	Conception
वैचारिक	Conceptual
अप्ठेरो	Conceptuality
धारणा	Conceptually
चासो	Concern
चिन्तित	Concerned
विषयमा	Concerning
कन्सर्ट	Concert
एकीकृत	Concerted
सुविधा	Concession
रियायत	Concessional
शंख	Conch
सीपी	Concha
दरबान	Concierge
सहम	Conciliation
बातचीत को जरिए समाधान	Conciliatory
छोटो	Concise
संक्षेपमा सूचि	Concisely
सम्मेलन	Conclave
निष्कर्षमा	Conclude
समापन	Concluding
निष्कर्षमा	Conclusion
निर्णायक	Conclusive
जनआन्दोलनले	Conclusively
मनगढंत कहानी	Concoction
सहवर्ती	Concomitant
एकता	Concord
अनुक्रमणिका	Concordance
समझौता	Concordat
कान्कोर्स	Concourse
ठोस	Concrete
हानि	Concretely
उपपत्नी	Concubine
सहमत	Concur
लडाकुलाई	Concurrence
समवर्ती	Concurrent
समवर्ती	Concurrently
हिलाना	Concussion
अवस्थाअनुसारस्वीकारगर्नुहोस्	Cond
दोषी	Condemn
निन्दनीय	Condemnable
दोषी	Condemnation
दण्डनीय	Condemnatory
निन्दा	Condemned
भर्त्सना	Condemning
घनीभूत	Condensate
संक्षेपण	Condensation
गाढा	Condense
गाढा	Condensed
कंडेनसर	Condenser
निहुरिनु	Condescend
निहुरिनुहुन्छ	Condescending
तुच्छ	Condescendingly
नम्रता	Condescension
मुनासिब	Condign
मसला	Condiment
अवस्था	Condition
सशर्त	Conditional
प्रत्याभुत	Conditionality
सशर्त	Conditionally
वातानुकूलित	Conditioned
कंडीशनर	Conditioner
समवेदनाको	Condolence
माफी	Condonation
क्षमा गर्नु	Condone
कंडर	Condor
अनुकूल	Conducive
आचरण	Conduct
प्रवाहकत्त्व	Conductance
चालन	Conduction
प्रवाहकीय	Conductive
चालकता	Conductivity
सञ्चालकको	Conductor
नाली	Conduit
कोन	Cone
शंकु	Cones
मिठाई	Confection
मिठाई	Confectionary
हलवाई	Confectioner
कन्फेक्शनरी	Confectionery
पन्जाबाट	Confederacy
संघि	Confederate
संगठन	Confederation
सम्मेलन	Conference
स्वीकार	Confess
स्वीकार	Confessing
स्वीकार	Confession
कन्फेसरको	Confessor
विश्वासपात्र	Confidant
पोख्न	Confide
आत्मविश्वास	Confidence
विश्वस्त	Confident
गोप्य	Confidential
गोपनीयता	Confidentiality
निर्धक्कताका	Confidentially
निर्धक्क	Confidently
मनको कुरा पोख्दा	Confiding
कन्फिगर	Configurate
कन्फिगरेसन	Configuration
कन्फिगर	Configure
सीमित	Confine
सीमित	Confined
प्रसूति	Confinement
भाइ	Confining
पुष्टि	Confirm
पुष्टि	Confirmation
सचेतक	Confirmatory
पुष्टि	Confirmed
पुष्टि	Confirming
जफत	Confiscation
लपटें	Conflagration
द्वन्द्व	Conflict
परस्पर विरोधी	Conflicting
संगम	Confluence
संगामी	Confluent
अनुरूप	Conform
रचना	Conformation
कफोमट	Conformist
अनुरूप	Conformity
लाज	Confound
अन्योलमा	Confounded
उलझाने	Confounding
सामना	Confront
विरोध	Confrontation
कन्फुसियस	Confucian
भनाई	Confucianism
कन्फुसियन	Confucianist
भ्रमित	Confuse
भ्रमित	Confused
भ्रम	Confusion
सौहार्दपूर्ण	Congenial
जन्मजात	Congenital
भीडभाड	Congested
भीड	Congestion
गैलन	Congius
समूह	Conglomerate
कंगो	Congo
कांगोली	Congolese
बधाई	Congratulant
बधाई	Congratulate
बधाई	Congratulation
भेला	Congregate
मण्डलीको	Congregation
मण्डलीको	Congregational
कग्रिंगेशनल	Congregationalist
भेला	Congregator
कांग्रेस	Congress
कांग्रेस	Congressional
कांग्रेसी	Congressman
सर्वान्गसम	Congruent
शांकव	Conic
चोटीदार	Conical
शंकुवृक्ष	Conifer
शंकुधारी	Coniferous
अनुमान	Conjecture
वैवाहिक	Conjugal
संयुग्मी	Conjugate
संयुग्मित	Conjugated
संयुग्मन	Conjugation
संयोजन	Conjunction
इलाका	Conjunctive
नेत्रश्लेष्मलाशोथ	Conjunctivitis
जादू	Conjure
कनकी	Conky
क्ोन	Conn
डीलेनीएसी	Connaraceae
जडान	Connect
जडान	Connected
जडान	Connection
संयोजी	Connective
जडान	Connectivity
संबंधक	Connector
यिनी	Connexion
कोनी	Connie
पारखी	Connoisseur
लिन्छन्	Connotation
विजयी	Conquer
विजयी	Conquering
विजेता	Conqueror
विजय	Conquest
कनराड	Conrad
विवेक	Conscience
अन्तस्करणको	Conscientious
कर्तव्यनिष्ठ	Conscientiously
सचेत	Conscious
विवेकशील	Consciously
चेतना	Consciousness
सेनामा भर्ती	Conscription
स्वयंलाई	Consecrate
पवित्रा	Consecrated
अभिषेकको	Consecration
तर्कसंगत अनुक्रम	Consecution
लगातार	Consecutive
लगातार	Consecutively
सहमतिपूर्ण	Consensual
सहमति	Consensus
सहमति	Consent
लागि सहमति	Consenting
परिणाम	Consequence
फलस्वरूप	Consequent
परिणामत	Consequential
तदनुसार	Consequentially
फलस्वरूप	Consequently
बम	Conservancy
संरक्षण	Conservation
करे	Conservationist
रूढि़वादिता	Conservatism
रूढिवादी	Conservative
संरक्षक	Conservator
कंजर्वेटरी	Conservatory
संरक्षण	Conserve
विचार	Consider
निकै	Considerable
एकदम	Considerably
विचारशील	Considerate
ख्याल राख्दै	Considerately
विचार	Consideration
छलफल	Considered
विचार	Considering
सुपुर्द	Consign
परेषिती	Consignee
कंसिग्नर	Consigner
माल	Consignment
मिलेर	Consist
संगति	Consistence
स्थिरता	Consistency
लगातार	Consistent
लगातार	Consistently
सान्त्वना	Consolation
कन्सोलमा	Console
सुदृढ	Consolidate
समेकित	Consolidated
बनाइराख्ने	Consolidation
सान्त्वनादायी	Consoling
सान्त्वनादायी	Consolingly
अनुरूप	Consonance
व्यञ्जनवर्ण	Consonant
कन्सर्ट	Consort
संघ	Consortium
रूपरेखा दिएको	Conspectus
विशिष्ट	Conspicuous
हेर्दैमा	Conspicuousness
षड्यन्त्र	Conspiracy
षड्यन्त्रमूलक	Conspiratorial
षड्यन्त्र	Conspire
षडयन्त्र	Conspiring
कान्स्टेबुल	Constable
निरन्तर	Constancy
निरन्तर	Constant
कांस्टेंटन	Constantan
कन्स्टेन्टाइनले	Constantine
निरन्तर	Constantly
नक्षत्र	Constellation
आतंक	Consternation
कब्जियत	Constipation
निर्वाचन	Constituency
संविधान	Constituent
गठन	Constitute
संविधान	Constitution
संवैधानिक	Constitutional
संविधानवाद	Constitutionalism
संविधानी	Constitutionalist
कांग्रेसजन	Constitutionality
संिवधानसभा	Constitutionalize
संवैधानिक	Constitutionally
विवश	Constrain
विवश	Constrained
बाधा	Constraining
अभावको	Constraint
प्रेसरलाई	Constrict
कसना	Constriction
कंस्ट्रिकटर	Constrictor
निर्माण	Construct
निर्माण	Construction
कंसट्रक्शनल	Constructional
रचनात्मक	Constructive
रचनात्मक	Constructively
निर्माता	Constructor
वाणिज्यदूत	Consul
कांसुली	Consular
कन्सुलर	Consulate
परामर्श	Consult
परामर्शदाता	Consultant
परामर्श	Consultation
परामर्शका	Consultative
परामर्श	Consulting
सलाहकार	Consultor
उपभोज्य	Consumable
उपभोग	Consume
उपभोक्ता	Consumer
खपत	Consuming
घाघ	Consummate
चर्मोत्कर्ष	Consummation
खपत	Consumption
टैबलेट	Consumptive
सम्पर्क	Contact
सरुवा रोग	Contagion
सरुवा	Contagious
समावेश	Contain
कन्टेनर	Container
रोकथाम	Containment
संक्रमित	Contaminant
दूषित	Contaminate
संक्रमण	Contamination
अपहेलनाकर्तालाई	Contemnor
विचार	Contemplate
चिंतन	Contemplation
अध्ययनशील	Contemplative
समकालीन	Contemporaneous
समकालीन	Contemporary
अपहेलना	Contempt
घृणित	Contemptible
अवहेलना	Contemptuous
दावेदार	Contender
सामाग्री	Content
सन्तुष्ट	Contented
सन्तुष्ट	Contentedly
झगडाको	Contention
झगडालु	Contentious
इबी	Contentiousness
सन्तुष्टि	Contentment
सामग्री	Contents
प्रतियोगिता	Contest
प्रतियोगी	Contestant
सन्दर्भ	Context
प्रासंगिक	Contextual
प्रासंगिक	Contextually
समीपता	Contiguity
क्रमिक	Contiguous
महादेशमा	Continent
महाद्वीपीय	Continental
आकस्मिक	Contingency
आकस्मिक	Contingent
निरन्तर	Continual
निरन्तर	Continually
निरन्तरता	Continuance
जारी	Continuation
जारी	Continue
जारी	Continued
निरन्तरता	Continuity
निरन्तर	Continuous
लगातार	Continuously
सातत्य	Continuum
बिगडना	Contort
आकृति	Contour
निषेधीत वस्तु	Contraband
कन्ट्रबास	Contrabass
परिवार नियोजनको	Contraception
गर्भनिरोधक	Contraceptive
ठेक्का	Contract
खुम्चिएको	Contracted
संकुचनशीलता	Contractibility
सिकुडा	Contractile
संकुचन	Contraction
ठेकेदार	Contractor
अनुबंध	Contractual
अनुबंधात्मक	Contractually
मेल खाँदैन	Contradict
खण्डनीय	Contradictable
विरोधाभास	Contradiction
विरोधाभासी	Contradictory
कोंटरापजिशन	Contraposition
विरोधाभास	Contrapositive
कोंटरापशन	Contraption
गमक दिन मा दक्ष	Contrapuntist
विपरीत	Contrary
भिन्नता	Contrast
उल्लंघन	Contravention
योगदान	Contribute
योगदान	Contribution
योगदानकर्ता	Contributor
योगदत्त	Contributory
पश्चातापी	Contrite
पछुताउनु	Contrition
मिलान	Contrive
नियन्त्रण	Control
नियंत्रणीय	Controllable
नियन्त्रक	Controller
विवादास्पद	Controversial
विवादास्पद	Controversially
विवाद	Controversy
पहेली	Conundrum
स्वास्थ्यलाभ	Convalescence
कंवेक्शन	Convection
एकत्र	Convene
प्रवासी	Convener
सुविधा	Convenience
सुविधाजनक	Convenient
सुविधाजनक	Conveniently
आश्रममा	Convent
अधिवेशन	Convention
पारंपरिक	Conventional
प्रवासीलाई	Conventionally
एकाग्र	Converge
कनवर्जेन्स	Convergence
संसृत	Convergent
एकिकरणमुखी	Converging
परिचित	Conversant
कुराकानी	Conversation
कुराकानी	Conversational
कुराकानी	Converse
विपरीत	Conversely
रूपांतरण	Conversion
परिवर्तित	Convert
आफुले	Converted
कनवर्टर	Converter
परिवर्तनीय	Convertible
परिवर्तित	Converting
कनवर्टर	Convertor
उत्तल	Convex
व्यक्त	Convey
कंवायर	Conveyer
कैदीको	Convict
विश्वस्त	Conviction
दोषी कैदियों	Convictism
विश्वस्त	Convince
विश्वस्त	Convinced
चित्तबुझ्दो	Convincing
चित्तबुझ्दो	Convincingly
सभा	Convocation
जटिल	Convoluted
जीउ बटार्ने क्रिया	Convulsion
ऐंठन	Convulsive
भान्से	Cook
पाक	Cookbook
कुकर	Cooker
भान्सा	Cookery
खाना पकाउने	Cooking
सुन्दर	Cool
कूलेंट	Coolant
चिसो	Cooler
ठंडा	Cooling
ठंडे दिमाग	Coolly
ठंडक	Coolness
घाटी	Coomb
कप	Coop
कूपर	Cooper
कुर्ग	Coorg
पुलिस	Cop
स्हभागी	Copartner
सामना	Cope
कपर्निकी	Copernican
प्रतिलिपि	Copied
कापियर	Copier
सामना	Coping
प्रचुर	Copious
तामा	Copper
कपरहेड	Copperhead
नरिवल	Copra
कपटिक	Coptic
प्रतिलिपि	Copy
प्रतिलिपिक	Copyist
प्रतिलिपि अधिकार	Copyright
कोरिन्थी	Cor
मुगा	Coral
प्रवालाकार	Coralloid
ममा केही	Corban
कर्ड	Cord
मैत्रीपूर्ण	Cordial
सरलता	Cordiality
हार्दिक स्वागत	Cordially
करडरय	Corduroy
कोर	Core
कोरी	Corey
धनिया	Coriander
धनियाँ	Coriandrum
कोरिन्थका	Corinth
कोरिन्थका	Corinthian
कोरिन्थीकरण	Corinthianize
काग	Cork
पेच	Corkscrew
कोर्मोरान्ट	Cormorant
मकै	Corn
कर्निया	Cornea
कर्नीलियसले	Cornelius
गाना;	Corneous
कुना	Corner
जगको	Cornerstone
ध्वजवाहाक	Cornet
कंगनी	Cornice
कोर्निश	Cornish
सींग दिन	Cornute
बकवास	Corny
कोरोला	Corolla
गर्दा स्वतः	Corollary
राज्याभिषेक	Coronal
कोरोनरी	Coronary
राज्याभिषेक	Coronation
कोरोनर	Coroner
कर्प	Corp
निगम	Corpora
अपवित्र	Corporal
कर्पोरेट	Corporate
निगम	Corporation
कर्पोरेटिव	Corporative
मूर्त	Corporeal
कोर	Corps
लास	Corpse
स्थूलता	Corpulence
कोष	Corpus
बाडा	Corral
सही	Correct
सच्याउनुभयो	Corrected
सच्याइएको	Correcting
सुधार	Correction
दण्ड	Correctional
सुधारात्मक	Corrective
सही	Correctly
ठीक	Correctness
सच्याउने	Corrector
सहसंबंधी	Correlate
सहसंबद्ध	Correlated
सहसंबंध	Correlation
अनुरूप	Correspond
पत्राचार	Correspondence
संवाददाता	Correspondent
त्यहि	Corresponding
तदनुसार	Correspondingly
करिडोर	Corridor
माघ	Corroborate
त्यसको पुष्टि गर्ने कार्यलगायत	Corroboration
खुरचना	Corrode
जंग	Corrosion
संक्षारक	Corrosive
नालीदार	Corrugated
भ्रष्ट	Corrupt
भ्रष्ट	Corrupted
भ्रष्ट	Corrupter
कुहिने	Corruptible
भ्रष्ट	Corrupting
भ्रष्टाचार	Corruption
दुरुपयोग	Corruptive
भ्रष्ट	Corruptly
कोर्सेट	Corset
कोर्सीकन	Corsican
कोर्टेस	Cortes
प्रांतस्था	Cortex
कोर्तिकोस्तेरोने	Corticosterone
कोर्टोन	Corton
कोरन्डम	Corundum
किनकी	Cos
कोज्या	Cosine
कस्मेटिक	Cosmetic
कस्मिक	Cosmic
महानगरीय	Cosmopolitan
ब्रह्माण्ड	Cosmos
लागत	Cost
कोस्टा	Costa
लागत	Costing
महंगा	Costly
पोशाक	Costume
छोटे	Costumer
आरामदायक	Cosy
खाट	Cot
कोट	Cote
साथी भाडादार	Cotenant
कुटीर	Cottage
कपास	Cotton
कपास	Cottonseed
सूती	Cottony
बीजपत्र	Cotyledon
ओछ्यान	Couch
खोकी	Cough
सक्छ	Could
समिति	Council
सभासद	Councilor
सल्लाह	Counsel
सल्लाहकार	Counselor
गणना	Count
िनधार्रीत गणनागनर्सिकने	Countable
चेहरा	Countenance
काउन्टर	Counter
प्रतिकार	Counteract
प्रतिसंतुलन	Counterbalance
नकली	Counterfeit
प्रतिरोधक	Counterintelligence
काउंटरमेसर	Countermeasure
पलंगपोश	Counterpane
समकक्ष	Counterpart
दबाउन	Counterplan
आभासी	Counterstrike
तोड	Counterweight
कुलीन	Countess
मतगणना	Counting
असंख्य	Countless
देश	Country
देहात	Countryside
गणनाप्रथा	Countship
काउंटी	County
कु	Coup
कूप	Coupe
ताजिर	Couper
दम्पतीले	Couple
मिलेर	Coupled
युग्मक	Coupler
युग्मन	Coupling
कुपन	Coupon
साहस	Courage
साहसी	Courageous
साहसी	Courageously
शूरता	Courageousness
कुरियर	Courier
पाठ्यक्रम	Course
अदालत	Court
शिष्ट	Courteous
शिष्टाचार	Courtesy
अदालत	Courthouse
सभ्य	Courtly
अदालत	Courtroom
विवाहपूर्व भेटघाट	Courtship
चोकमा	Courtyard
भतिज	Cousin
रिश्तदारी	Cousinly
सहसंयोजक	Covalent
कदमले	Covariance
कोव	Cove
करार	Covenant
करार	Covenanted
कोवेंट	Covent
आवरण	Cover
कवरेज	Coverage
कवर	Covered
कवर	Covering
गुप्त	Covert
लालच	Covet
लालच	Coveting
लोभी	Covetous
लोभ	Covetousness
जाल	Covin
गाई	Cow
कायर	Coward
कायरता	Cowardice
कायरतापूर्ण	Cowardly
चरवाहा	Cowboy
लोबियाम्लान	Cowpea
कौडी	Cowrie
चलचित्र	Cox
कोयोट	Coyote
मुफ्त सामाग्री खोजन	Cozier
आरामदायक	Cozy
दरार	Crack
गरेए दमन	Crackdown
बिस्कुट	Crackers
खुर	Cracking
भाँच्नु	Crackle
तीखी	Crackling
बेवकूफ	Crackpot
जन्मथलो	Cradle
गोद मा उठाए झुला	Cradling
शिल्प	Craft
चलाकी	Craftiness
शिल्पकार	Craftsman
शिल्प	Craftsmanship
धूर्त	Crafty
क्र्यागभन्दा	Crag
क्रेग	Craig
काफियाबाजी	Crambo
दुखाइ	Cramp
साँघुरो	Cramped
ऐंठन	Cramping
क्रैनबेरी	Cranberry
क्रेन	Crane
सनकी	Crank
क्रेक केस	Crankcase
क्रैन्कशाफ्ट	Crankshaft
पागल	Cranky
दरारदार	Crannied
बकवास	Crap
क्रेप्स	Craps
दुर्घटना	Crash
बिना आनेवाला	Crasher
क्रेट	Crate
गर्त	Crater
लालसा	Crave
दानवीय	Craven
बडो	Cravenly
लालसा	Craving
क्रल	Crawl
क्रलर	Crawler
क्रलिंग	Crawling
पागलपन	Craziness
पागल	Crazy
बनाएँ	Crea
चरचर	Creak
तर	Cream
क्रीमर	Creamer
उनले अहिलेसम्म नागरिकता नलिएको	Creamy
रनमा	Crease
सिल्की	Creaseless
बढती	Creasing
सिर्जना	Create
क्रीटनीन	Creatinine
सृष्टिको	Creation
सिद्घान्तलाई	Creationist
रचनात्मक	Creative
रचनात्मक	Creatively
रचनात्मकता	Creativity
निर्माता	Creator
सृष्टिकर्ताको	Creatorship
प्राणीको	Creature
प्रामाणिक	Credential
विश्वसनीयताको	Credibility
विश्वसनीय	Credible
विश्वसनीय	Credibly
क्रेडिट	Credit
आकलनीय	Creditable
लेनदार	Creditor
पत्यार	Credulity
क्री	Cree
क्रीक	Creek
रेंगना	Creep
लता	Creeper
साटे	Creeping
क्रेमास्टर पेशी संग	Cremasteric
लाश जलाउनु	Cremate
दाहसंस्कार	Cremation
संस्कार	Crematorium
कारबोलिक अम्ल या तेजाब	Creosote
क्रेप	Crepe
क्रेपोन	Crepon
लाग्यो	Crept
सैंट डेनिस	Crepy
शिखा	Crest
क्रेटका	Cretan
क्रेट	Crete
चालक दल	Crew
पालना	Crib
क्राइबेज	Cribbage
क्रिक्क	Crick
क्रिकेट	Cricket
क्रिकेटर	Cricketer
क्रिकेट	Cricketing
कराए	Cried
अपराध	Crime
क्रिमियनतातर	Crimean
आपराधिक	Criminal
फौजदारी	Criminally
अपराधशास्त्री	Criminologist
चापलूसी रुचि अनुपात	Cringe
आजमा	Cripple
अशक्त बनाउने	Crippling
संकट	Crises
संकट	Crisis
कुरकुरा	Crisp
खस्ता	Crispy
क्रिस्	Criss
रीता	Cristina
मापदण्ड	Criteria
मापदण्ड	Criterion
आलोचक	Critic
महत्वपूर्ण	Critical
गंभीर	Critically
आलोचना	Criticism
आलोचना	Criticize
आलोचना	Critique
क्रोएशन्	Croatian
क्रकरी	Crockery
गोहीको	Crocodile
गोहि	Crocodilus
क्रोकस	Crocus
उन्नत	Cromlech
अपराधी	Crook
टेढो	Crooked
कुटिल	Crookedness
बाली	Crop
नाकामयाब	Cropper
ईद्भोकेट	Croquet
करोड	Crore
ईद्भसबी	Crosby
पार	Cross
क्रसबो	Crossbow
पार	Crossed
पार	Crossing
वक्र स्वभाव	Crossness
विदेशी	Crossover
चौराहा	Crossroads
क्रसवाक	Crosswalk
पहेली	Crossword
झुकन	Crouch
राज्य शक्ति विभाजित	Crouching
काग	Crow
भीड	Crowd
खचाखच	Crowded
मुकुट	Crown
राज्याभिषेक	Crowned
महत्वपूर्ण	Crucial
ठूलोरुपले	Crucially
भाँडालाई	Crucible
क्रूसमा	Crucified
झुण्ड्याएर	Crucifixion
क्रूसमा टाँग्न	Crucify
कच्चा	Crude
क्रूर	Cruel
क्रूर	Cruelly
क्रूरता	Cruelty
क्रूज	Cruise
क्रूजर	Cruiser
टुकडा	Crumb
नभत्काओस्	Crumble
फालतू	Crummy
कमी	Crunch
लचिलोपना	Crunchiness
कुरकुरे	Crunchy
धर्मयुद्घ	Crusade
संघर्षरत	Crusader
क्रश	Crush
चोट	Crushed
क्रेशर	Crusher
कुल्चिरहेका	Crushing
सतहमा	Crust
बैसाखी	Crutch
क्रक्स	Crux
पुकारा	Cry
डुबोना	Crybaby
रोइरहेको	Crying
क्रायोजेनिक	Cryogenic
अस्पष्ट	Cryptic
क्रिप्टो ग्राम	Cryptogram
क्रिप्टोग्राफिक	Cryptographic
क्रिप्टोग्राफी	Cryptography
क्रिस्टल	Crystal
स्फटिक	Crystalline
बिलयो	Crystallize
सघन	Crystallized
क्रिस्टलोग्राफी	Crystallography
छस्	Cub
क्युबा	Cuba
क्युबा	Cuban
घन	Cube
घन	Cubic
क्यूबिकल	Cubical
कक्ष	Cubicle
घनभएको	Cubism
हात	Cubit
व्यभिचारी पति	Cuckold
ककडी	Cucumber
क्युकरबिटा	Cucurbita
उग्राउँदैनन्	Cud
क्यू	Cue
कफ	Cuff
भोजन	Cuisine
कलेक्स	Culex
पाक	Culinary
सं	Culler
कुखुराहरु लाई मारने	Culling
डाँठमा	Culm
परिणति	Culmination
दोषी	Culpable
अपराधी	Culprit
गुटको	Cult
कृषियोग्य	Cultivable
उत्पादित	Cultivar
खेती	Cultivate
खेती	Cultivated
खेती	Cultivation
कल्टीवेटर	Cultivator
सांस्कृतिक	Cultural
सांस्कृतिक	Culturally
संस्कृति	Culture
सुसंस्कृत	Cultured
सह	Cum
बोझिल	Cumbersome
जीरा	Cumin
कमरबंद	Cummerbund
संचयी	Cumulative
संचयी	Cumulatively
कीलाक्षर	Cuneiform
योनी मुखमैथुन	Cunnilingus
धूर्त	Cunning
छलकपट	Cunningly
पैन्डेसी	Cunoniaceae
कचौरा	Cup
साकी	Cupbearer
अल्मारी	Cupboard
गुम्बजमा	Cupola
तांबा	Cuprum
चालू	Cur
उपचारात्मक	Curative
सञ्चालक	Curator
रोकन	Curbing
दही	Curd
उपचार	Cure
कर्फ्यू	Curfew
क्यूरी	Curie
उपचार	Curing
जिज्ञासा	Curiosity
जिज्ञासु	Curious
कौतूहलपूर्वक	Curiously
क्युरियम	Curium
कर्ल	Curl
कर्ल करवाने	Curled
कर्लिंग	Curling
मुद्रा	Currency
वर्तमान	Current
हाल	Currently
पाठ्यक्रममा	Curricula
पाठ्यचर्या	Curricular
शिक्षण	Curriculum
करी	Curry
श्राप	Curse
श्रापित	Cursed
कर्सर	Cursor
सरसरी	Cursory
रूखा	Curt
कटौती	Curtail
सुस्त	Curtailed
कटौती	Curtailment
पर्दा	Curtain
कर्टिस	Curtis
कर्टली ले	Curtly
वक्रता	Curvature
वक्र	Curve
वक्रित	Curved
कुसोहाईग्रीन	Cuscohygrine
कूश	Cush
तकिया	Cushion
तकिये	Cushioned
हिरासत	Custodial
जगेर्ना गर्ने जिम्मा	Custodian
हिरासतमा	Custody
कस्टम	Custom
चलन	Customary
ग्राहक	Customer
भन्सार	Customs
कटौती	Cut
प्यारा	Cute
पत्र हटाइन्छ	Cuticle
प्यारा	Cutie
कटलरी	Cutlery
कटलेट	Cutlet
कटर	Cutter
एकदम कडा	Cutthroat
काटन	Cutting
सियान	Cyan
साइनाइड	Cyanide
साएनोगुआनिडाइन	Cyanoguanidine
साइबरनेटिक	Cybernetic
चक्र	Cycle
चक्रीय	Cyclic
चक्रीय	Cyclical
साइकिल	Cycling
साइक्लोबुटेन	Cyclobutane
चक्रवात	Cyclone
चक्रवाती	Cyclonic
साइक्लोपीडिया	Cyclopedia
हंस	Cygnus
सिलिन्डर	Cylinder
बेलनाकार	Cylindrical
निंदक	Cynic
सनकी	Cynical
सनक	Cynicism
ऋक्ष	Cynosure
सरू	Cypress
सिरिल	Cyril
सिरिलिक	Cyrillic
कोरेसले	Cyrus
पुटी	Cyst
पुटीय	Cystic
पुटियों देखि संबंद्ध क्यान्सर	Cystoadenoma
कोशिकाविज्ञान	Cytological
साइटोसिन	Cytosine
सम्राट्	Czar
चेक	Czech
डी	D
दा	Da
थपका	Dab
भिगोना	Dabble
अमेचर	Dabbler
खेलाउनु	Dabbling
डेस	Dace
डकैती	Dacoity
छन्द को भाग	Dactyl
अंगुल्याकार	Dactylic
पिताजी	Dad
डाडा	Dada
पिताजी	Daddy
डेइमोन	Daemon
भूत	Daemonic
डाफोडिल	Daffodil
बेधडक	Daft
रात्रि	Dag
डैगर	Dagger
दाह	Dah
दैनिक	Daily
अज्ञात तारीख को घटनाएँ	Dain
मिठाइयां	Dainty
डेरी	Dairy
दूध बनाउन काम	Dairying
मञ्चमा	Dais
डेजी	Daisy
दाल	Dal
डेल	Dale
डेल्टन	Dalton
बाँध	Dam
दामा	Dama
क्षति	Damage
क्षति	Damages
दमीशक	Damascus
डामास्क	Damask
लानत	Damn
दण्डको	Damnation
घृणास्पद	Damned
घातक	Damning
नम	Damp
सेलाउन	Dampen
स्पंज	Damper
तर गर्न	Damping
चिस्यान	Dampness
युवती	Damsel
दान	Dan
दाना	Dana
नृत्य	Dance
नर्तकी	Dancer
नाच	Dancing
डन्डेलि	Dandelion
पशुहरुलाई रूसी	Dander
रूसी	Dandruff
खतरा	Danger
खतरनाक	Dangerous
गिहरो	Dangerously
चिढ	Dangle
डानी	Dani
दानियल	Daniel
डेनियल	Daniele
डेनिस	Danish
डैनी	Danny
डेन्यूब	Danube
डेन्जिंग	Danzig
डीएपी	Dap
हिम्मत	Dare
साहसी	Daredevil
डैरन	Daren
हिम्मत	Dares
कुल	Dari
त्यहा	Darien
डरिन	Darin
साहसी	Daring
दारा	Darius
दार्जीलिङ	Darjeeling
अन्धकार	Dark
अँध्यारो	Darken
अँध्यारो	Darkening
अंधेरे	Darkly
अन्धकार	Darkness
झकना	Darn
तब सामाको बोट चाहिं	Darnel
डैरिल	Darryl
बाँण	Dart
डार्टमोर	Dartmoor
भालाहरू	Darts
डार्विनको	Darwinian
डार्विनको	Darwinism
दास	Das
ड्यास	Dash
ड्यासबोर्ड	Dashboard
ड्यास	Dashed
मथानी	Dasher
फुरतीला	Dashing
डेटा	Data
मिति	Date
बुला लिया भयो	Dateless
डेटिङ	Dating
क्लीथ्रेसी	Datiscaceae
समय जनाउने ब्याकरणिक शब्द	Dative
तिथि	Datum
लीपापोत	Daub
छोरी	Daughter
चुनौतीपूर्ण	Daunting
बेधडक	Dauntlessly
हाउत	Dauphine
डेव	Dave
दाऊदले	David
दाऊदसितको	Davidic
डेविट तिर	Davit
डेभीले	Davy
कौवा	Daw
डकेन	Dawkin
डन	Dawn
शुरू गर्छन	Dawning
डावसन	Dawson
दिन	Day
दयाल	Dayal
उज्यालो भएपछि	Daybreak
दिवास्वप्न	Daydream
डेलाइट	Daylight
भर	Daylong
दिन	Days
बिहानको तारा	Daystar
दिउसोको समय	Daytime
घबडाया	Dazed
मद्यपानोत्सव	Dazzle
डी	De
डिकन	Deacon
निष्क्रिय	Deactivate
क्रियाशीलता	Deactivation
मरेका	Dead
वशमा	Deaden
मार्न	Deadening
फंदा	Deadfall
अन्तिम म्याद	Deadline
निर्धारित समय	Deadliness
गतिरोध	Deadlock
घातक	Deadly
मौत	Deadness
बहिरा	Deaf
बधिरता	Deafness
सम्झौता	Deal
व्यापारी	Dealer
डीलरशिप	Dealership
काम	Dealing
व्यवहार	Dealt
डीन	Dean
प्रिय	Dear
असाध्यै	Dearly
महंगाई	Dearness
कमी	Dearth
मृत्यु	Death
मृत्युशय्यामा	Deathbed
घातक चोट	Deathblow
देब	Deb
पराजय	Debacle
मानमर्दन	Debasement
विवादास्पद	Debatable
बहस	Debate
बहस	Debater
बहस	Debating
लंपट	Debauched
भ्रष्टाचार	Debauchery
डेबी	Debbie
डेबी	Debby
डिबेंचर	Debenture
